t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,1.11,1.11,1.18,1.18,0.58,0.56,0.67,0.45
1,1.11,1.11,1.19,1.18,0.65,0.49,1.22,-0.1
2,1.14,1.12,1.11,1.16,0.35,0.77,-1.23,2.17
3,1.1,1.11,1.07,1.14,0.2,0.88,-2.41,3.04
4,1.11,1.11,1.06,1.12,0.19,0.88,-2.51,3.08
5,1.18,1.12,1.04,1.11,0.21,0.86,-2.32,2.84
6,1.2,1.13,1.06,1.1,0.19,0.9,-2.49,3.16
7,1.22,1.14,1.01,1.09,0.0,1.01,-4.0,4.06
8,1.21,1.15,1.0,1.08,0.13,0.89,-3.0,3.14
9,1.22,1.16,1.03,1.07,0.56,0.55,0.5,0.44
10,1.2,1.16,1.06,1.07,0.42,0.69,-0.66,1.55
11,1.16,1.16,1.05,1.07,0.18,0.89,-2.58,3.13
12,1.16,1.16,1.09,1.07,0.09,1.0,-3.26,4.0
13,1.12,1.16,1.1,1.07,0.0,1.1,-4.0,4.78
14,1.18,1.16,1.09,1.08,0.09,1.0,-3.3,4.04
15,1.18,1.16,1.1,1.08,0.55,0.59,0.38,0.69
16,1.15,1.16,1.07,1.08,0.32,0.78,-1.43,2.2
17,1.14,1.16,1.11,1.08,0.0,1.11,-4.0,4.87
18,1.07,1.16,1.12,1.08,0.08,1.04,-3.38,4.31
19,1.03,1.15,1.1,1.08,0.02,1.07,-3.8,4.56
20,1.1,1.15,1.13,1.08,0.12,1.0,-3.01,4.02
21,1.15,1.15,1.13,1.09,0.14,0.99,-2.88,3.95
22,1.13,1.15,1.13,1.09,0.22,0.91,-2.25,3.3
23,1.13,1.15,1.15,1.09,0.17,0.98,-2.67,3.87
24,1.13,1.14,1.15,1.09,0.21,0.94,-2.33,3.52
25,1.14,1.14,1.14,1.09,0.0,1.14,-4.0,5.13
26,1.18,1.15,1.06,1.09,0.19,0.89,-2.49,3.14
27,1.2,1.15,1.07,1.09,0.0,1.07,-4.0,4.6
28,1.14,1.15,1.06,1.09,0.2,0.87,-2.37,2.99
29,1.16,1.15,1.05,1.09,0.0,1.05,-4.0,4.42
30,1.18,1.15,1.06,1.09,0.17,0.91,-2.67,3.3
31,1.23,1.15,1.11,1.09,0.12,1.0,-3.06,4.02
32,1.2,1.15,1.09,1.09,0.32,0.8,-1.44,2.36
33,1.18,1.15,1.13,1.09,0.17,0.97,-2.67,3.77
34,1.14,1.15,1.15,1.09,0.0,1.15,-4.0,5.22
35,1.18,1.15,1.16,1.1,0.0,1.16,-4.0,5.31
36,1.15,1.15,1.12,1.1,0.0,1.12,-4.0,4.96
37,1.22,1.16,1.15,1.1,0.0,1.15,-4.0,5.22
38,1.19,1.16,1.18,1.1,0.0,1.18,-4.0,5.4
39,1.14,1.16,1.16,1.1,0.0,1.16,-4.0,5.31
40,1.1,1.15,1.16,1.1,0.0,1.16,-4.0,5.31
41,1.09,1.15,1.16,1.1,0.1,1.06,-3.24,4.5
42,1.06,1.15,1.18,1.11,0.0,1.18,-4.0,5.4
43,1.1,1.15,1.24,1.11,0.14,1.09,-2.9,4.7
44,1.13,1.15,1.24,1.11,0.46,0.74,-0.32,1.9
45,1.12,1.15,1.2,1.11,0.35,0.82,-1.2,2.58
46,1.11,1.15,1.2,1.12,0.97,0.15,3.74,-2.78
47,1.07,1.15,1.2,1.12,0.94,0.15,3.53,-2.81
48,1.01,1.14,1.12,1.12,0.91,0.11,3.25,-3.11
49,1.05,1.14,1.12,1.12,0.99,0.07,3.91,-3.46
50,1.12,1.14,1.09,1.12,0.67,0.44,1.35,-0.5
51,1.11,1.14,1.15,1.12,1.06,0.05,4.49,-3.61
52,1.14,1.14,1.18,1.12,1.03,0.11,4.26,-3.1
53,1.12,1.14,1.21,1.12,1.12,0.0,4.96,-4.0
54,1.14,1.14,1.18,1.12,1.14,0.0,5.13,-4.0
55,1.15,1.14,1.16,1.12,1.15,0.0,5.22,-4.0
56,1.11,1.14,1.21,1.12,1.11,0.0,4.87,-4.0
57,1.13,1.14,1.23,1.13,1.13,0.0,5.04,-4.0
58,1.05,1.14,1.21,1.13,1.05,0.0,4.42,-4.0
59,1.07,1.14,1.25,1.13,1.07,0.0,4.6,-4.0
60,1.14,1.14,1.18,1.13,1.14,0.0,5.13,-4.0
61,1.16,1.14,1.19,1.13,1.16,0.0,5.31,-4.0
62,1.14,1.14,1.16,1.13,1.14,0.0,5.13,-4.0
63,1.14,1.14,1.19,1.13,1.14,0.0,5.13,-4.0
64,1.18,1.14,1.22,1.13,1.18,0.0,5.4,-4.0
65,1.16,1.14,1.27,1.14,1.16,0.0,5.31,-4.0
66,1.19,1.14,1.2,1.14,1.19,0.0,5.49,-4.0
67,1.16,1.14,1.18,1.14,1.1,0.07,4.76,-3.44
68,1.19,1.14,1.16,1.14,0.78,0.4,2.23,-0.8
69,1.19,1.14,1.14,1.14,0.81,0.37,2.45,-1.07
70,1.15,1.14,1.09,1.14,0.55,0.57,0.38,0.56
71,1.14,1.14,1.07,1.14,0.77,0.35,2.17,-1.21
72,1.11,1.14,1.11,1.14,0.69,0.42,1.49,-0.62
73,1.13,1.14,1.06,1.13,0.7,0.41,1.57,-0.73
74,1.19,1.14,1.01,1.13,0.47,0.61,-0.22,0.85
75,1.2,1.14,0.98,1.13,0.46,0.61,-0.32,0.85
76,1.19,1.14,1.01,1.13,0.48,0.6,-0.17,0.8
77,1.18,1.14,1.07,1.13,0.67,0.46,1.37,-0.31
78,1.19,1.14,1.09,1.13,0.75,0.4,2.02,-0.82
79,1.13,1.14,1.11,1.13,1.09,0.04,4.68,-3.65
80,1.13,1.14,1.06,1.13,0.7,0.4,1.6,-0.76
81,1.1,1.14,1.07,1.13,0.3,0.78,-1.59,2.24
82,1.05,1.14,1.05,1.13,0.51,0.54,0.08,0.34
83,1.06,1.14,1.05,1.12,0.19,0.86,-2.47,2.9
84,1.1,1.14,1.05,1.12,0.33,0.74,-1.38,1.91
85,1.04,1.14,1.05,1.12,0.53,0.52,0.24,0.13
86,1.1,1.14,1.03,1.12,0.66,0.41,1.26,-0.7
87,1.09,1.14,1.0,1.12,0.84,0.23,2.69,-2.16
88,1.1,1.14,1.0,1.12,1.1,0.0,4.78,-4.0
89,1.1,1.14,1.03,1.12,1.1,0.0,4.78,-4.0
90,1.11,1.14,1.02,1.12,1.11,0.0,4.87,-4.0
91,1.03,1.14,1.1,1.12,1.03,0.0,4.24,-4.0
92,1.05,1.13,1.1,1.12,0.97,0.09,3.73,-3.29
93,1.05,1.13,1.11,1.12,0.82,0.24,2.58,-2.07
94,1.07,1.13,1.11,1.12,0.7,0.39,1.59,-0.9
95,1.05,1.13,1.11,1.12,1.05,0.0,4.4,-3.98
96,1.12,1.13,1.11,1.12,0.62,0.49,0.98,-0.07
97,1.03,1.13,1.18,1.12,0.78,0.29,2.23,-1.7
98,1.06,1.13,1.14,1.12,0.53,0.57,0.27,0.55
99,1.1,1.13,1.15,1.12,0.19,0.95,-2.47,3.62
100,1.11,1.13,1.14,1.12,0.2,0.94,-2.44,3.53
101,1.07,1.13,1.12,1.12,0.21,0.9,-2.34,3.23
102,1.1,1.13,1.09,1.12,0.32,0.77,-1.43,2.14
103,1.07,1.13,1.02,1.12,0.55,0.5,0.4,-0.02
104,1.04,1.13,1.0,1.12,0.55,0.47,0.42,-0.26
105,1.01,1.13,1.01,1.11,0.47,0.53,-0.22,0.28
106,0.96,1.13,1.06,1.11,0.47,0.55,-0.25,0.36
107,1.01,1.12,1.03,1.11,0.26,0.76,-1.9,2.09
108,0.96,1.12,1.03,1.11,0.03,1.0,-3.76,3.98
109,0.96,1.12,1.03,1.11,0.07,0.95,-3.41,3.61
110,0.96,1.12,1.04,1.11,0.04,1.0,-3.71,4.01
111,0.96,1.12,1.09,1.11,0.24,0.81,-2.06,2.5
112,0.96,1.12,1.11,1.11,0.3,0.77,-1.63,2.14
113,0.96,1.12,1.14,1.11,0.67,0.35,1.37,-1.24
114,1.04,1.11,1.15,1.11,0.71,0.37,1.67,-1.06
115,1.15,1.12,1.15,1.11,0.42,0.73,-0.66,1.88
116,1.22,1.12,1.12,1.11,0.32,0.83,-1.47,2.63
117,1.22,1.12,1.04,1.11,0.18,0.88,-2.53,3.07
118,1.13,1.12,1.03,1.11,0.0,1.03,-4.0,4.24
119,1.13,1.12,1.05,1.11,0.0,1.05,-4.0,4.42
120,1.1,1.12,1.03,1.11,0.0,1.03,-4.0,4.24
121,1.07,1.12,1.05,1.11,0.0,1.05,-4.0,4.42
122,1.09,1.12,1.04,1.11,0.07,0.98,-3.47,3.82
123,1.06,1.12,1.04,1.11,0.45,0.6,-0.37,0.77
124,1.1,1.12,1.02,1.11,0.11,0.92,-3.16,3.37
125,1.04,1.12,1.0,1.11,0.0,1.0,-4.0,3.97
126,1.04,1.11,1.04,1.11,0.0,1.04,-4.0,4.33
127,1.11,1.11,1.12,1.11,0.0,1.12,-4.0,4.96
128,1.15,1.11,1.12,1.11,0.0,1.12,-4.0,4.96
129,1.22,1.12,1.11,1.11,0.0,1.11,-4.0,4.87
130,1.2,1.12,1.1,1.11,0.0,1.1,-4.0,4.78
131,1.12,1.12,1.07,1.11,0.12,0.95,-3.0,3.64
132,1.05,1.12,1.0,1.1,0.0,1.0,-4.0,3.97
