t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,1.63,1.63,1.75,1.75,0.31,0.28,-1.49,-2.64
1,1.61,1.62,1.75,1.75,0.38,0.19,1.13,-6.13
2,1.57,1.6,1.75,1.75,0.38,0.2,1.04,-5.69
3,1.61,1.6,1.85,1.77,0.42,0.21,2.75,-5.34
4,1.63,1.61,1.83,1.79,0.37,0.29,0.81,-2.28
5,1.81,1.64,1.75,1.78,0.22,0.49,-4.67,5.43
6,1.85,1.67,1.71,1.77,0.18,0.52,-6.3,6.5
7,1.81,1.69,1.73,1.76,0.21,0.49,-5.17,5.39
8,1.77,1.7,1.63,1.75,0.08,0.54,-10.23,7.34
9,1.83,1.71,1.65,1.74,0.11,0.53,-9.02,6.97
10,1.77,1.72,1.63,1.73,0.19,0.44,-6.04,3.55
11,1.67,1.71,1.61,1.72,0.2,0.39,-5.51,1.75
12,1.65,1.71,1.65,1.71,0.34,0.27,-0.18,-2.91
13,1.63,1.7,1.69,1.71,0.43,0.19,2.91,-5.99
14,1.51,1.69,1.57,1.7,0.33,0.18,-0.64,-6.44
15,1.61,1.68,1.51,1.69,0.25,0.29,-3.82,-2.27
16,1.67,1.68,1.49,1.68,0.15,0.37,-7.63,0.77
17,1.65,1.68,1.55,1.67,0.26,0.31,-3.27,-1.56
18,1.53,1.67,1.57,1.67,0.29,0.23,-2.02,-4.29
19,1.53,1.67,1.51,1.66,0.34,0.17,-0.38,-6.88
20,1.53,1.66,1.49,1.65,0.39,0.11,1.65,-8.93
21,1.53,1.65,1.49,1.64,0.41,0.09,2.49,-9.64
22,1.55,1.65,1.59,1.64,0.42,0.11,2.84,-8.94
23,1.53,1.64,1.59,1.64,0.35,0.17,-0.06,-6.89
24,1.59,1.64,1.55,1.63,0.32,0.21,-1.11,-5.11
25,1.65,1.64,1.61,1.63,0.34,0.24,-0.38,-4.23
