t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,0.46,0.46,0.48,0.48,0.06,0.33,-2.55,2.4
1,0.47,0.46,0.49,0.49,0.33,0.3,2.39,1.89
2,0.46,0.46,0.49,0.49,0.35,0.4,2.76,3.71
3,0.46,0.46,0.47,0.48,0.36,0.45,3.12,4.76
4,0.44,0.46,0.48,0.48,0.26,0.29,1.26,1.79
5,0.46,0.46,0.48,0.48,0.3,0.4,2.01,3.7
6,0.47,0.46,0.48,0.48,0.36,0.29,3.1,1.78
7,0.48,0.46,0.48,0.48,0.32,0.41,2.36,3.95
8,0.46,0.46,0.47,0.48,0.09,0.42,-1.88,4.18
9,0.45,0.46,0.46,0.48,0.09,0.38,-1.87,3.34
10,0.47,0.46,0.46,0.48,0.27,0.42,1.43,4.14
11,0.46,0.46,0.46,0.48,0.36,0.58,2.98,7.05
12,0.46,0.46,0.46,0.47,0.36,0.51,2.94,5.89
13,0.45,0.46,0.44,0.47,0.42,0.35,4.05,2.78
14,0.44,0.46,0.43,0.47,0.47,0.33,5.11,2.42
15,0.44,0.46,0.44,0.47,0.28,0.3,1.58,1.99
16,0.45,0.46,0.44,0.47,0.34,0.0,2.73,-3.62
17,0.46,0.46,0.46,0.47,0.27,0.12,1.42,-1.44
18,0.45,0.46,0.46,0.47,0.15,0.0,-0.9,-3.62
19,0.45,0.46,0.46,0.47,0.22,0.0,0.38,-3.62
20,0.47,0.46,0.48,0.47,0.29,0.0,1.82,-3.62
21,0.48,0.46,0.48,0.47,0.08,0.0,-2.2,-3.62
22,0.47,0.46,0.48,0.47,0.26,0.0,1.19,-3.62
23,0.47,0.46,0.48,0.47,0.24,0.0,0.83,-3.62
24,0.47,0.46,0.48,0.47,0.0,0.0,-3.62,-3.62
25,0.48,0.46,0.46,0.47,0.0,0.11,-3.62,-1.59
26,0.49,0.46,0.45,0.47,0.0,0.2,-3.62,0.07
27,0.49,0.46,0.46,0.47,0.0,0.16,-3.55,-0.64
28,0.48,0.46,0.46,0.47,0.0,0.29,-3.62,1.77
29,0.49,0.46,0.46,0.47,0.0,0.4,-3.62,3.79
30,0.49,0.47,0.47,0.47,0.0,0.37,-3.62,3.24
31,0.49,0.47,0.47,0.47,0.0,0.57,-3.62,6.87
32,0.49,0.47,0.49,0.47,0.0,0.61,-3.62,7.63
33,0.49,0.47,0.49,0.47,0.0,0.84,-3.62,11.89
34,0.49,0.47,0.48,0.47,0.0,0.63,-3.62,7.97
35,0.48,0.47,0.47,0.47,0.0,0.64,-3.62,8.13
36,0.48,0.47,0.47,0.47,0.0,0.72,-3.62,9.73
37,0.49,0.47,0.47,0.47,0.0,0.34,-3.62,2.6
38,0.49,0.47,0.47,0.47,0.0,0.5,-3.62,5.66
39,0.5,0.47,0.47,0.47,0.0,0.42,-3.62,4.19
40,0.49,0.47,0.47,0.47,0.0,0.5,-3.62,5.57
41,0.48,0.47,0.45,0.47,0.0,0.36,-3.62,3.04
42,0.48,0.47,0.45,0.47,0.09,0.22,-1.88,0.54
43,0.48,0.47,0.45,0.47,0.15,0.47,-0.76,5.03
44,0.49,0.47,0.43,0.47,0.43,0.35,4.34,2.91
45,0.47,0.47,0.43,0.47,0.45,0.4,4.71,3.86
46,0.47,0.47,0.43,0.46,0.24,0.63,0.8,7.97
47,0.46,0.47,0.44,0.46,0.25,0.62,0.96,7.83
48,0.45,0.47,0.44,0.46,0.58,0.46,7.16,4.96
49,0.44,0.47,0.45,0.46,0.52,0.46,5.97,4.8
50,0.43,0.47,0.45,0.46,0.39,0.47,3.6,5.02
51,0.42,0.47,0.46,0.46,0.29,0.48,1.82,5.28
52,0.43,0.47,0.47,0.46,0.15,0.45,-0.84,4.65
53,0.43,0.47,0.46,0.46,0.0,0.28,-3.62,1.56
54,0.42,0.47,0.47,0.46,0.0,0.31,-3.62,2.12
55,0.42,0.47,0.48,0.46,0.04,0.08,-2.88,-2.12
56,0.44,0.46,0.48,0.46,0.0,0.13,-3.62,-1.27
57,0.44,0.46,0.49,0.46,0.0,0.06,-3.62,-2.59
58,0.47,0.46,0.5,0.46,0.0,0.04,-3.62,-2.85
59,0.47,0.46,0.49,0.46,0.0,0.14,-3.62,-1.04
60,0.48,0.46,0.48,0.46,0.0,0.0,-3.62,-3.62
61,0.47,0.46,0.49,0.47,0.0,0.0,-3.62,-3.62
62,0.47,0.46,0.49,0.47,0.0,0.11,-3.62,-1.64
63,0.48,0.47,0.5,0.47,0.0,0.15,-3.62,-0.9
64,0.47,0.47,0.5,0.47,0.0,0.27,-3.62,1.36
65,0.49,0.47,0.49,0.47,0.0,0.13,-3.62,-1.22
66,0.49,0.47,0.48,0.47,0.07,0.0,-2.29,-3.62
67,0.49,0.47,0.49,0.47,0.08,0.03,-2.12,-3.1
68,0.48,0.47,0.48,0.47,0.36,0.07,2.99,-2.31
69,0.47,0.47,0.48,0.47,0.55,0.14,6.63,-1.09
70,0.48,0.47,0.47,0.47,0.64,0.0,8.19,-3.62
71,0.48,0.47,0.46,0.47,0.53,0.25,6.09,1.05
72,0.46,0.47,0.45,0.47,0.33,0.43,2.44,4.36
73,0.46,0.47,0.46,0.47,0.0,0.68,-3.55,8.92
74,0.48,0.47,0.46,0.47,0.04,0.72,-2.88,9.66
75,0.46,0.47,0.46,0.47,0.01,0.9,-3.51,12.99
76,0.47,0.47,0.48,0.47,0.06,0.78,-2.48,10.77
77,0.46,0.47,0.48,0.47,0.25,0.71,0.94,9.59
78,0.46,0.47,0.48,0.47,0.24,0.83,0.86,11.77
79,0.46,0.47,0.47,0.47,0.22,1.09,0.37,16.57
80,0.45,0.47,0.46,0.47,0.11,1.18,-1.57,18.22
