t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,1.71,1.71,1.75,1.75,0.33,0.29,0.92,0.63
1,1.69,1.7,1.65,1.7,0.28,0.31,0.49,0.75
2,1.71,1.7,1.73,1.71,0.32,0.3,0.82,0.68
3,1.77,1.72,1.71,1.71,0.29,0.34,0.57,1.01
4,1.73,1.72,1.65,1.7,0.27,0.33,0.39,0.93
5,1.77,1.73,1.59,1.68,0.22,0.35,-0.01,1.12
6,1.87,1.75,1.59,1.67,0.19,0.39,-0.33,1.44
7,1.81,1.76,1.59,1.66,0.21,0.37,-0.14,1.26
8,1.79,1.76,1.47,1.63,0.16,0.33,-0.59,0.98
9,1.85,1.77,1.57,1.63,0.18,0.38,-0.35,1.36
10,1.89,1.78,1.57,1.62,0.17,0.39,-0.48,1.47
11,1.83,1.79,1.67,1.63,0.24,0.37,0.17,1.32
12,1.97,1.8,1.67,1.63,0.18,0.43,-0.34,1.79
13,1.87,1.8,1.69,1.63,0.24,0.39,0.13,1.45
14,1.85,1.81,1.75,1.64,0.28,0.37,0.49,1.27
15,1.73,1.8,1.77,1.65,0.33,0.3,0.96,0.66
16,1.73,1.8,1.75,1.66,0.32,0.31,0.87,0.72
17,1.75,1.8,1.73,1.66,0.31,0.32,0.72,0.87
18,1.83,1.8,1.79,1.67,0.31,0.35,0.76,1.08
19,1.73,1.79,1.75,1.67,0.32,0.31,0.87,0.72
20,1.67,1.79,1.77,1.68,0.35,0.27,1.07,0.37
21,1.71,1.78,1.79,1.68,0.35,0.28,1.1,0.5
22,1.73,1.78,1.67,1.68,0.28,0.33,0.49,0.9
23,1.75,1.78,1.75,1.68,0.32,0.32,0.82,0.82
24,1.77,1.78,1.73,1.68,0.3,0.33,0.66,0.96
25,1.81,1.78,1.75,1.69,0.3,0.35,0.63,1.1
26,1.73,1.78,1.73,1.69,0.31,0.31,0.78,0.78
27,1.73,1.78,1.73,1.69,0.31,0.31,0.78,0.78
28,1.65,1.77,1.73,1.69,0.33,0.27,0.93,0.39
29,1.65,1.77,1.73,1.69,0.33,0.27,0.93,0.39
30,1.77,1.77,1.75,1.69,0.31,0.33,0.76,0.91
31,1.67,1.77,1.65,1.69,0.28,0.3,0.54,0.67
32,1.61,1.76,1.69,1.69,0.31,0.26,0.8,0.31
33,1.59,1.76,1.61,1.69,0.28,0.27,0.48,0.37
34,1.59,1.75,1.55,1.69,0.25,0.27,0.22,0.43
