t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,0.48,0.48,0.47,0.47,0.2,0.2,0.05,0.08
1,0.48,0.48,0.47,0.47,0.2,0.2,0.05,0.08
2,0.49,0.48,0.48,0.47,0.2,0.2,0.05,0.09
3,0.47,0.48,0.48,0.47,0.2,0.2,0.08,0.05
4,0.49,0.48,0.47,0.47,0.2,0.2,0.04,0.09
5,0.49,0.48,0.47,0.47,0.2,0.2,0.03,0.1
6,0.49,0.48,0.48,0.47,0.2,0.2,0.04,0.1
7,0.5,0.48,0.48,0.47,0.2,0.2,0.02,0.12
8,0.48,0.48,0.48,0.47,0.2,0.2,0.06,0.08
9,0.48,0.48,0.48,0.47,0.2,0.2,0.08,0.06
10,0.46,0.48,0.48,0.47,0.2,0.2,0.09,0.03
11,0.46,0.48,0.49,0.48,0.2,0.2,0.11,0.01
12,0.46,0.48,0.5,0.48,0.2,0.19,0.14,-0.03
13,0.46,0.48,0.5,0.48,0.2,0.19,0.14,-0.02
14,0.45,0.47,0.49,0.48,0.2,0.19,0.13,-0.02
15,0.44,0.47,0.5,0.48,0.2,0.19,0.15,-0.06
16,0.45,0.47,0.5,0.48,0.2,0.19,0.15,-0.04
17,0.44,0.47,0.5,0.48,0.2,0.19,0.15,-0.08
18,0.44,0.47,0.5,0.48,0.2,0.19,0.15,-0.06
19,0.45,0.47,0.49,0.48,0.2,0.19,0.14,-0.03
20,0.45,0.47,0.48,0.48,0.2,0.2,0.11,-0.01
21,0.44,0.47,0.49,0.48,0.2,0.19,0.14,-0.06
22,0.43,0.46,0.49,0.48,0.2,0.19,0.13,-0.07
23,0.43,0.46,0.49,0.49,0.2,0.19,0.13,-0.08
24,0.46,0.46,0.48,0.48,0.2,0.2,0.09,0.02
25,0.46,0.46,0.47,0.48,0.2,0.2,0.06,0.05
26,0.45,0.46,0.47,0.48,0.2,0.2,0.08,0.01
27,0.43,0.46,0.46,0.48,0.2,0.2,0.07,-0.01
28,0.43,0.46,0.44,0.48,0.2,0.2,0.02,0.0
29,0.43,0.46,0.45,0.48,0.2,0.2,0.04,-0.0
30,0.43,0.46,0.45,0.48,0.2,0.2,0.04,0.01
31,0.45,0.46,0.44,0.48,0.2,0.2,0.02,0.04
32,0.44,0.46,0.44,0.48,0.2,0.2,0.02,0.02
33,0.43,0.46,0.43,0.48,0.2,0.2,0.01,0.01
34,0.43,0.46,0.43,0.47,0.2,0.2,0.0,0.0
35,0.45,0.46,0.42,0.47,0.19,0.2,-0.04,0.05
36,0.46,0.46,0.43,0.47,0.2,0.2,-0.01,0.06
37,0.47,0.46,0.45,0.47,0.2,0.2,0.02,0.08
38,0.47,0.46,0.45,0.47,0.2,0.2,0.02,0.07
39,0.47,0.46,0.44,0.47,0.2,0.2,-0.01,0.09
40,0.48,0.46,0.43,0.47,0.19,0.2,-0.05,0.1
41,0.47,0.46,0.44,0.47,0.2,0.2,-0.01,0.09
42,0.48,0.46,0.45,0.47,0.2,0.2,0.01,0.1
43,0.48,0.46,0.45,0.47,0.2,0.2,0.01,0.1
44,0.48,0.46,0.46,0.47,0.2,0.2,0.02,0.1
45,0.48,0.46,0.47,0.47,0.2,0.2,0.04,0.09
46,0.47,0.46,0.45,0.47,0.2,0.2,0.02,0.09
47,0.47,0.46,0.46,0.47,0.2,0.2,0.05,0.07
48,0.47,0.46,0.48,0.47,0.2,0.2,0.09,0.05
49,0.47,0.46,0.48,0.47,0.2,0.2,0.08,0.04
50,0.47,0.46,0.47,0.47,0.2,0.2,0.07,0.05
51,0.46,0.46,0.47,0.47,0.2,0.2,0.08,0.04
52,0.47,0.46,0.47,0.47,0.2,0.2,0.06,0.07
53,0.46,0.46,0.46,0.47,0.2,0.2,0.05,0.06
54,0.46,0.46,0.45,0.47,0.2,0.2,0.03,0.06
55,0.46,0.46,0.46,0.47,0.2,0.2,0.05,0.06
56,0.46,0.46,0.47,0.47,0.2,0.2,0.07,0.04
57,0.47,0.46,0.46,0.47,0.2,0.2,0.04,0.07
58,0.47,0.46,0.43,0.47,0.2,0.2,-0.02,0.08
59,0.48,0.46,0.44,0.47,0.19,0.2,-0.04,0.11
60,0.47,0.46,0.44,0.46,0.2,0.2,-0.01,0.08
61,0.47,0.46,0.45,0.46,0.2,0.2,0.01,0.08
62,0.45,0.46,0.44,0.46,0.2,0.2,0.02,0.05
63,0.45,0.46,0.45,0.46,0.2,0.2,0.05,0.03
64,0.45,0.46,0.46,0.46,0.2,0.2,0.06,0.02
65,0.45,0.46,0.46,0.46,0.2,0.2,0.06,0.02
66,0.46,0.46,0.46,0.46,0.2,0.2,0.05,0.04
67,0.45,0.46,0.47,0.46,0.2,0.2,0.08,0.01
