t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,1.09,1.09,1.15,1.15,0.58,0.54,0.64,0.3
1,1.06,1.07,1.13,1.14,0.57,0.53,0.54,0.22
2,1.06,1.07,1.14,1.14,0.57,0.53,0.59,0.21
3,1.07,1.07,1.14,1.14,0.57,0.53,0.59,0.26
4,1.05,1.07,1.12,1.14,0.56,0.52,0.49,0.18
5,1.13,1.08,1.12,1.13,0.56,0.57,0.47,0.53
6,1.14,1.09,1.11,1.13,0.55,0.57,0.41,0.58
7,1.11,1.09,1.07,1.12,0.54,0.56,0.28,0.44
8,1.1,1.09,1.04,1.11,0.52,0.55,0.14,0.4
9,1.14,1.1,1.02,1.1,0.5,0.57,0.0,0.58
10,1.15,1.1,1.07,1.1,0.53,0.58,0.25,0.64
11,1.19,1.11,1.1,1.1,0.54,0.6,0.32,0.78
12,1.2,1.12,1.06,1.1,0.52,0.6,0.15,0.83
13,1.2,1.12,1.06,1.1,0.52,0.6,0.15,0.83
14,1.2,1.13,1.03,1.09,0.5,0.6,-0.01,0.81
15,1.19,1.13,1.06,1.09,0.52,0.6,0.16,0.78
16,1.19,1.13,1.05,1.09,0.51,0.6,0.11,0.77
17,1.18,1.14,1.05,1.09,0.52,0.59,0.12,0.73
18,1.13,1.14,1.09,1.09,0.54,0.57,0.32,0.54
19,1.14,1.14,1.05,1.08,0.52,0.57,0.16,0.59
20,1.13,1.14,1.12,1.09,0.56,0.57,0.47,0.53
21,1.18,1.14,1.1,1.09,0.54,0.59,0.33,0.73
22,1.15,1.14,1.07,1.09,0.53,0.58,0.25,0.64
23,1.2,1.14,1.11,1.09,0.55,0.6,0.36,0.83
24,1.13,1.14,1.13,1.09,0.57,0.57,0.52,0.52
25,1.14,1.14,1.13,1.09,0.56,0.57,0.52,0.57
26,1.18,1.14,1.09,1.09,0.54,0.59,0.28,0.73
27,1.21,1.14,1.11,1.09,0.54,0.61,0.35,0.88
28,1.13,1.14,1.18,1.09,0.59,0.56,0.73,0.49
29,1.14,1.14,1.13,1.09,0.56,0.57,0.52,0.57
30,1.19,1.14,1.12,1.1,0.55,0.6,0.43,0.78
31,1.14,1.14,1.15,1.1,0.58,0.57,0.62,0.56
32,1.19,1.15,1.12,1.1,0.55,0.6,0.43,0.78
33,1.2,1.15,1.14,1.1,0.57,0.6,0.52,0.82
34,1.24,1.15,1.16,1.1,0.57,0.63,0.58,1.02
35,1.24,1.15,1.15,1.1,0.57,0.63,0.53,1.03
36,1.27,1.16,1.16,1.1,0.57,0.64,0.55,1.13
37,1.19,1.16,1.15,1.11,0.57,0.6,0.59,0.77
38,1.19,1.16,1.13,1.11,0.56,0.6,0.48,0.78
39,1.13,1.16,1.12,1.11,0.56,0.57,0.47,0.53
40,1.13,1.16,1.19,1.11,0.6,0.56,0.78,0.48
41,1.16,1.16,1.15,1.11,0.58,0.58,0.6,0.66
42,1.21,1.16,1.12,1.11,0.55,0.61,0.4,0.88
43,1.19,1.16,1.06,1.11,0.52,0.6,0.16,0.78
44,1.16,1.16,1.07,1.11,0.53,0.59,0.24,0.68
45,1.14,1.16,1.09,1.11,0.54,0.57,0.31,0.59
46,1.15,1.16,1.09,1.11,0.54,0.58,0.3,0.64
47,1.1,1.16,1.13,1.11,0.57,0.55,0.54,0.37
48,1.11,1.16,1.05,1.11,0.52,0.56,0.18,0.44
49,1.06,1.15,1.07,1.11,0.54,0.53,0.3,0.25
50,1.05,1.15,1.12,1.11,0.56,0.52,0.49,0.18
51,1.07,1.15,1.14,1.11,0.57,0.53,0.59,0.26
52,1.11,1.15,1.11,1.11,0.55,0.55,0.43,0.43
53,1.07,1.15,1.12,1.11,0.56,0.53,0.49,0.28
54,1.05,1.15,1.12,1.11,0.56,0.52,0.49,0.18
55,1.11,1.15,1.11,1.11,0.55,0.55,0.43,0.43
56,1.07,1.14,1.1,1.11,0.55,0.54,0.39,0.29
57,1.07,1.14,1.1,1.11,0.55,0.54,0.39,0.29
58,1.13,1.14,1.09,1.11,0.54,0.57,0.32,0.54
59,1.11,1.14,1.04,1.11,0.52,0.56,0.13,0.44
60,1.12,1.14,1.05,1.1,0.52,0.56,0.18,0.49
61,1.09,1.14,1.06,1.1,0.53,0.54,0.25,0.35
62,1.07,1.14,1.11,1.1,0.56,0.54,0.44,0.28
63,1.04,1.14,1.1,1.1,0.55,0.52,0.4,0.14
64,1.04,1.14,1.1,1.1,0.55,0.52,0.4,0.14
65,1.06,1.14,1.11,1.1,0.56,0.53,0.44,0.23
66,1.04,1.13,1.1,1.1,0.55,0.52,0.4,0.14
67,1.03,1.13,1.11,1.1,0.56,0.51,0.44,0.09
68,1.04,1.13,1.06,1.1,0.53,0.52,0.26,0.16
69,1.11,1.13,1.09,1.1,0.54,0.56,0.33,0.44
70,1.07,1.13,1.09,1.1,0.54,0.54,0.35,0.29
71,1.02,1.13,1.09,1.1,0.54,0.51,0.35,0.05
72,1.1,1.13,1.1,1.1,0.55,0.55,0.39,0.39
73,1.12,1.13,1.12,1.1,0.56,0.56,0.48,0.48
74,1.14,1.13,1.12,1.1,0.56,0.57,0.46,0.58
75,1.11,1.13,1.13,1.1,0.57,0.55,0.53,0.42
76,1.13,1.13,1.13,1.1,0.57,0.57,0.52,0.52
77,1.11,1.13,1.07,1.1,0.54,0.56,0.28,0.44
78,1.11,1.13,1.1,1.1,0.55,0.55,0.38,0.44
79,1.11,1.13,1.13,1.1,0.57,0.55,0.53,0.42
80,1.09,1.13,1.12,1.1,0.56,0.54,0.49,0.33
81,1.04,1.13,1.06,1.1,0.53,0.52,0.26,0.16
82,1.11,1.13,1.11,1.1,0.55,0.55,0.43,0.43
83,1.12,1.13,1.18,1.1,0.59,0.55,0.73,0.44
84,1.18,1.13,1.19,1.11,0.59,0.59,0.75,0.69
85,1.12,1.13,1.22,1.11,0.62,0.55,0.93,0.39
86,1.14,1.13,1.15,1.11,0.58,0.57,0.62,0.56
87,1.12,1.13,1.11,1.11,0.55,0.56,0.43,0.48
88,1.14,1.13,1.04,1.11,0.51,0.57,0.11,0.58
89,1.12,1.13,1.12,1.11,0.56,0.56,0.48,0.48
90,1.16,1.13,1.09,1.11,0.54,0.59,0.29,0.68
91,1.13,1.13,1.1,1.11,0.55,0.57,0.37,0.54
92,1.15,1.13,1.13,1.11,0.56,0.58,0.51,0.62
93,1.21,1.13,1.1,1.11,0.54,0.61,0.29,0.88
94,1.19,1.13,1.07,1.11,0.53,0.6,0.21,0.78
95,1.16,1.13,1.01,1.1,0.49,0.58,-0.07,0.66
96,1.21,1.13,1.04,1.1,0.5,0.61,0.02,0.86
97,1.19,1.13,1.03,1.1,0.5,0.6,0.0,0.77
98,1.12,1.13,1.04,1.1,0.52,0.56,0.13,0.49
99,1.14,1.13,1.05,1.1,0.52,0.57,0.16,0.59
100,1.14,1.13,1.12,1.1,0.56,0.57,0.46,0.58
101,1.13,1.13,1.13,1.1,0.57,0.57,0.52,0.52
102,1.15,1.13,1.15,1.1,0.58,0.58,0.61,0.61
103,1.21,1.13,1.11,1.1,0.54,0.61,0.35,0.88
104,1.18,1.13,1.12,1.1,0.55,0.59,0.44,0.73
105,1.21,1.13,1.12,1.1,0.55,0.61,0.4,0.88
106,1.18,1.13,1.11,1.1,0.55,0.59,0.39,0.73
107,1.21,1.13,1.12,1.1,0.55,0.61,0.4,0.88
108,1.21,1.13,1.07,1.1,0.52,0.61,0.19,0.88
109,1.2,1.13,1.11,1.1,0.55,0.6,0.36,0.83
110,1.21,1.14,1.19,1.1,0.59,0.61,0.73,0.85
111,1.16,1.14,1.13,1.1,0.56,0.58,0.5,0.67
112,1.11,1.14,1.14,1.1,0.57,0.55,0.58,0.41
113,1.12,1.14,1.16,1.11,0.58,0.56,0.68,0.45
114,1.15,1.14,1.11,1.11,0.55,0.58,0.41,0.63
115,1.15,1.14,1.05,1.1,0.52,0.58,0.15,0.63
116,1.15,1.14,1.1,1.1,0.54,0.58,0.35,0.63
117,1.14,1.14,1.03,1.1,0.51,0.57,0.06,0.58
118,1.09,1.14,1.11,1.1,0.56,0.54,0.44,0.33
119,1.14,1.14,1.12,1.1,0.56,0.57,0.46,0.58
120,1.16,1.14,1.09,1.1,0.54,0.59,0.29,0.68
121,1.12,1.14,1.11,1.1,0.55,0.56,0.43,0.48
122,1.09,1.14,1.14,1.1,0.57,0.54,0.59,0.31
123,1.12,1.14,1.12,1.1,0.56,0.56,0.48,0.48
124,1.11,1.13,1.12,1.1,0.56,0.55,0.48,0.43
125,1.11,1.13,1.09,1.1,0.54,0.56,0.33,0.44
126,1.05,1.13,1.13,1.1,0.57,0.52,0.54,0.17
127,1.05,1.13,1.06,1.1,0.53,0.53,0.26,0.21
128,1.0,1.13,1.07,1.1,0.54,0.5,0.3,-0.04
129,1.01,1.13,1.0,1.1,0.5,0.5,-0.02,0.03
130,0.97,1.13,1.02,1.1,0.51,0.49,0.07,-0.11
131,1.06,1.13,1.04,1.1,0.52,0.53,0.16,0.26
132,1.03,1.13,1.12,1.1,0.56,0.51,0.49,0.08
133,1.05,1.13,1.09,1.1,0.54,0.52,0.35,0.2
134,1.05,1.13,1.15,1.1,0.58,0.52,0.63,0.15
135,1.1,1.13,1.07,1.1,0.54,0.55,0.29,0.39
136,1.02,1.13,1.06,1.1,0.53,0.51,0.26,0.06
137,1.0,1.13,1.02,1.1,0.51,0.5,0.07,-0.02
138,0.97,1.12,0.98,1.1,0.49,0.49,-0.06,-0.1
139,0.96,1.12,0.96,1.1,0.48,0.48,-0.15,-0.15
140,0.96,1.12,0.96,1.1,0.48,0.48,-0.15,-0.15
141,0.96,1.12,0.96,1.1,0.48,0.48,-0.15,-0.15
142,0.96,1.12,0.96,1.1,0.48,0.48,-0.15,-0.15
143,0.97,1.12,0.96,1.1,0.48,0.49,-0.15,-0.11
144,1.0,1.12,0.96,1.1,0.48,0.5,-0.15,-0.02
145,1.0,1.12,0.96,1.09,0.48,0.5,-0.15,-0.02
146,1.0,1.12,1.0,1.09,0.5,0.5,-0.02,-0.02
147,1.05,1.12,1.05,1.09,0.53,0.53,0.21,0.21
148,1.07,1.12,1.07,1.09,0.54,0.54,0.3,0.3
149,1.12,1.12,1.1,1.09,0.55,0.56,0.38,0.49
150,1.09,1.12,0.97,1.09,0.48,0.54,-0.14,0.33
151,1.11,1.12,1.02,1.09,0.5,0.55,0.04,0.44
152,1.13,1.12,1.07,1.09,0.53,0.57,0.27,0.54
153,1.19,1.12,1.05,1.09,0.51,0.6,0.11,0.77
154,1.2,1.12,1.07,1.09,0.53,0.6,0.2,0.83
155,1.24,1.12,1.06,1.09,0.51,0.63,0.08,1.02
156,1.24,1.12,0.98,1.09,0.46,0.62,-0.31,0.96
157,1.25,1.12,1.0,1.09,0.47,0.63,-0.28,1.01
158,1.21,1.12,0.98,1.09,0.47,0.6,-0.25,0.82
159,1.12,1.12,1.03,1.09,0.51,0.56,0.08,0.49
160,1.1,1.12,1.06,1.09,0.53,0.55,0.24,0.4
161,1.09,1.12,1.02,1.09,0.51,0.54,0.05,0.35
162,1.09,1.12,1.02,1.09,0.51,0.54,0.05,0.35
163,1.07,1.12,0.97,1.09,0.48,0.54,-0.14,0.29
164,1.04,1.12,0.98,1.09,0.49,0.52,-0.07,0.16
165,1.03,1.12,1.03,1.09,0.51,0.51,0.12,0.12
166,1.06,1.12,1.01,1.09,0.5,0.53,0.02,0.26
167,1.05,1.12,0.96,1.08,0.48,0.52,-0.17,0.2
168,1.07,1.12,0.97,1.08,0.48,0.54,-0.14,0.29
169,1.07,1.12,1.06,1.08,0.53,0.54,0.25,0.3
170,1.09,1.12,1.04,1.08,0.52,0.54,0.15,0.35
171,1.02,1.12,1.06,1.08,0.53,0.51,0.26,0.06
172,1.02,1.12,1.09,1.08,0.54,0.51,0.35,0.05
173,1.09,1.12,1.14,1.08,0.57,0.54,0.59,0.31
174,1.12,1.12,1.09,1.08,0.54,0.56,0.33,0.49
175,1.06,1.12,1.05,1.08,0.53,0.53,0.21,0.26
176,0.98,1.11,1.07,1.08,0.54,0.49,0.29,-0.09
177,0.98,1.11,1.07,1.08,0.54,0.49,0.29,-0.09
178,1.02,1.11,1.1,1.08,0.55,0.51,0.39,0.04
179,1.02,1.11,1.12,1.08,0.56,0.5,0.49,0.03
180,1.07,1.11,1.1,1.08,0.55,0.54,0.39,0.29
181,1.1,1.11,1.09,1.08,0.54,0.55,0.34,0.39
182,1.15,1.11,1.04,1.08,0.51,0.58,0.1,0.63
183,1.15,1.11,1.03,1.08,0.51,0.58,0.04,0.63
184,1.1,1.11,1.07,1.08,0.54,0.55,0.29,0.39
185,1.09,1.11,1.09,1.08,0.54,0.54,0.34,0.34
186,1.05,1.11,1.09,1.08,0.54,0.52,0.35,0.2
187,1.09,1.11,1.1,1.08,0.55,0.54,0.39,0.34
188,1.04,1.11,1.11,1.08,0.56,0.52,0.44,0.13
189,1.07,1.11,1.11,1.08,0.56,0.54,0.44,0.28
190,1.11,1.11,1.14,1.08,0.57,0.55,0.58,0.41
191,1.07,1.11,1.13,1.08,0.57,0.53,0.54,0.27
192,1.09,1.11,1.12,1.08,0.56,0.54,0.49,0.33
193,1.07,1.11,1.05,1.08,0.53,0.54,0.2,0.3
194,0.97,1.11,1.12,1.08,0.56,0.48,0.46,-0.17
195,0.98,1.11,1.1,1.08,0.55,0.49,0.38,-0.1
196,0.96,1.11,1.05,1.08,0.52,0.48,0.2,-0.17
197,0.96,1.11,1.07,1.08,0.54,0.48,0.28,-0.18
198,0.96,1.11,1.11,1.08,0.55,0.47,0.41,-0.21
199,0.98,1.11,1.12,1.08,0.56,0.48,0.47,-0.12
200,1.03,1.11,1.06,1.08,0.53,0.51,0.26,0.11
201,1.06,1.11,1.06,1.08,0.53,0.53,0.25,0.25
202,1.1,1.11,1.09,1.08,0.54,0.55,0.34,0.39
203,1.06,1.11,1.07,1.08,0.54,0.53,0.3,0.25
204,1.15,1.11,1.07,1.08,0.53,0.58,0.25,0.64
205,1.1,1.11,1.05,1.08,0.52,0.55,0.19,0.4
206,1.03,1.11,1.06,1.08,0.53,0.51,0.26,0.11
207,1.03,1.11,1.05,1.08,0.53,0.51,0.21,0.11
208,1.03,1.1,1.06,1.08,0.53,0.51,0.26,0.11
209,1.03,1.1,1.02,1.08,0.51,0.51,0.07,0.12
210,1.01,1.1,1.04,1.08,0.52,0.5,0.16,0.02
211,1.0,1.1,1.03,1.08,0.51,0.5,0.12,-0.02
212,1.04,1.1,1.02,1.08,0.51,0.52,0.07,0.17
213,1.05,1.1,1.01,1.08,0.5,0.53,0.02,0.21
214,1.03,1.1,0.96,1.08,0.48,0.51,-0.16,0.11
215,1.03,1.1,0.96,1.08,0.48,0.51,-0.16,0.11
216,1.0,1.1,0.96,1.08,0.48,0.5,-0.15,-0.02
217,0.96,1.1,0.96,1.08,0.48,0.48,-0.15,-0.15
218,0.96,1.1,0.96,1.08,0.48,0.48,-0.15,-0.15
219,0.97,1.1,0.96,1.08,0.48,0.49,-0.15,-0.11
220,0.97,1.1,0.96,1.08,0.48,0.49,-0.15,-0.11
221,1.01,1.1,0.96,1.08,0.48,0.5,-0.15,0.02
222,1.05,1.1,0.96,1.08,0.48,0.52,-0.17,0.2
223,1.06,1.1,0.96,1.08,0.48,0.53,-0.18,0.24
224,1.06,1.1,0.96,1.08,0.48,0.53,-0.18,0.24
225,1.09,1.1,0.96,1.08,0.48,0.54,-0.19,0.32
226,1.06,1.1,0.96,1.08,0.48,0.53,-0.18,0.24
227,0.98,1.1,0.96,1.08,0.48,0.49,-0.15,-0.06
228,1.0,1.1,0.96,1.07,0.48,0.5,-0.15,-0.02
229,0.96,1.1,0.96,1.07,0.48,0.48,-0.15,-0.15
230,0.96,1.1,0.96,1.07,0.48,0.48,-0.15,-0.15
231,0.96,1.1,0.96,1.07,0.48,0.48,-0.15,-0.15
232,0.96,1.1,0.96,1.07,0.48,0.48,-0.15,-0.15
233,0.98,1.09,0.96,1.07,0.48,0.49,-0.15,-0.06
234,0.98,1.09,0.96,1.07,0.48,0.49,-0.15,-0.06
235,1.01,1.09,0.96,1.07,0.48,0.5,-0.15,0.02
236,1.01,1.09,0.96,1.07,0.48,0.5,-0.15,0.02
237,1.0,1.09,0.96,1.07,0.48,0.5,-0.15,-0.02
238,1.03,1.09,0.96,1.07,0.48,0.51,-0.16,0.11
239,1.04,1.09,0.96,1.07,0.48,0.52,-0.16,0.15
240,1.0,1.09,0.96,1.07,0.48,0.5,-0.15,-0.02
241,0.96,1.09,0.96,1.07,0.48,0.48,-0.15,-0.15
242,1.02,1.09,0.96,1.07,0.48,0.51,-0.15,0.07
243,1.05,1.09,0.96,1.07,0.48,0.52,-0.17,0.2
244,1.04,1.09,0.96,1.07,0.48,0.52,-0.16,0.15
245,1.0,1.09,1.0,1.07,0.5,0.5,-0.02,-0.02
246,0.97,1.09,0.97,1.07,0.49,0.49,-0.11,-0.11
247,0.96,1.09,0.97,1.07,0.49,0.48,-0.11,-0.15
248,0.96,1.09,0.98,1.07,0.49,0.48,-0.06,-0.15
249,0.96,1.09,0.98,1.07,0.49,0.48,-0.06,-0.15
250,0.96,1.09,0.96,1.07,0.48,0.48,-0.15,-0.15
251,0.96,1.09,0.96,1.06,0.48,0.48,-0.15,-0.15
252,0.96,1.09,0.96,1.06,0.48,0.48,-0.15,-0.15
253,0.96,1.09,0.96,1.06,0.48,0.48,-0.15,-0.15
254,0.96,1.09,0.96,1.06,0.48,0.48,-0.15,-0.15
255,0.96,1.09,0.96,1.06,0.48,0.48,-0.15,-0.15
256,0.96,1.09,0.96,1.06,0.48,0.48,-0.15,-0.15
257,0.96,1.08,0.96,1.06,0.48,0.48,-0.15,-0.15
258,0.96,1.08,0.96,1.06,0.48,0.48,-0.15,-0.15
