run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.98,1.23,,
2,1.21,1.27,,
3,1.03,1.27,1.07,1.26
4,1.16,0.99,1.13,1.18
5,0.99,1.27,1.06,1.18
6,0.99,1.01,1.05,1.09
7,1.02,0.99,1.0,1.09
8,1.25,1.25,1.09,1.08
9,1.14,0.99,1.14,1.08
10,0.98,1.26,1.12,1.17
11,1.24,0.99,1.12,1.08
12,1.15,1.26,1.12,1.17
13,1.08,1.27,1.16,1.17
14,0.99,1.26,1.07,1.26
15,1.27,0.99,1.11,1.17
16,1.02,1.03,1.09,1.09
17,1.27,1.24,1.19,1.09
18,1.01,1.0,1.1,1.09
19,1.24,0.99,1.17,1.08
20,1.03,1.01,1.09,1.0
21,1.25,0.99,1.17,1.0
22,1.25,0.98,1.18,0.99
23,1.26,0.99,1.25,0.99
24,0.99,1.24,1.17,1.07
25,1.06,1.25,1.1,1.16
26,0.98,1.27,1.01,1.25
27,1.27,1.0,1.1,1.17
28,1.26,0.99,1.17,1.09
29,1.26,1.03,1.26,1.01
30,1.27,1.26,1.26,1.09
31,1.23,0.98,1.25,1.09
32,1.26,1.26,1.25,1.17
33,0.99,1.01,1.16,1.08
34,0.98,1.25,1.08,1.17
35,1.25,0.98,1.07,1.08
36,1.27,1.27,1.17,1.17
37,1.27,0.98,1.26,1.08
38,1.27,1.01,1.27,1.09
39,1.26,0.99,1.27,0.99
40,1.2,1.26,1.24,1.09
41,1.25,1.01,1.24,1.09
42,1.27,1.27,1.24,1.18
43,1.26,0.98,1.26,1.09
44,1.24,1.01,1.26,1.09
45,1.01,0.98,1.17,0.99
46,1.26,1.25,1.17,1.08
47,1.19,0.98,1.15,1.07
48,1.27,1.16,1.24,1.13
49,1.26,0.98,1.24,1.04
50,0.98,1.09,1.17,1.08
