run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.5,0.5,,
2,0.5,0.44,,
3,0.5,0.5,0.5,0.48
4,0.46,0.42,0.49,0.45
5,0.42,0.49,0.46,0.47
6,0.5,0.42,0.46,0.44
7,0.48,0.47,0.47,0.46
8,0.5,0.49,0.49,0.46
9,0.44,0.43,0.47,0.46
10,0.43,0.5,0.46,0.47
11,0.42,0.49,0.43,0.47
12,0.46,0.42,0.44,0.47
13,0.42,0.42,0.43,0.44
14,0.51,0.51,0.46,0.45
15,0.5,0.45,0.48,0.46
16,0.43,0.5,0.48,0.49
17,0.43,0.42,0.45,0.46
18,0.5,0.43,0.45,0.45
19,0.5,0.5,0.48,0.45
20,0.42,0.5,0.47,0.48
21,0.43,0.5,0.45,0.5
22,0.5,0.44,0.45,0.48
23,0.51,0.42,0.48,0.45
24,0.43,0.49,0.48,0.45
25,0.46,0.51,0.47,0.47
26,0.5,0.43,0.46,0.48
27,0.5,0.43,0.49,0.46
28,0.42,0.43,0.47,0.43
29,0.42,0.44,0.45,0.43
30,0.42,0.5,0.42,0.46
31,0.5,0.5,0.45,0.48
32,0.5,0.51,0.47,0.5
33,0.43,0.42,0.48,0.48
34,0.42,0.42,0.45,0.45
35,0.42,0.51,0.42,0.45
36,0.43,0.49,0.42,0.47
37,0.47,0.49,0.44,0.5
38,0.43,0.42,0.44,0.47
39,0.5,0.5,0.47,0.47
40,0.42,0.44,0.45,0.45
41,0.48,0.49,0.47,0.48
42,0.42,0.43,0.44,0.45
43,0.45,0.5,0.45,0.47
44,0.42,0.42,0.43,0.45
45,0.42,0.44,0.43,0.45
46,0.42,0.5,0.42,0.45
47,0.42,0.48,0.42,0.47
48,0.43,0.43,0.42,0.47
49,0.42,0.51,0.42,0.47
50,0.42,0.5,0.42,0.48
