run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.45,1.44,,
2,1.97,1.93,,
3,1.95,1.55,1.79,1.64
4,1.44,1.45,1.79,1.64
5,1.95,1.44,1.78,1.48
6,1.95,1.91,1.78,1.6
7,1.88,1.96,1.93,1.77
8,1.45,1.46,1.76,1.78
9,1.45,1.89,1.59,1.77
10,1.96,1.44,1.62,1.6
11,1.44,1.45,1.62,1.59
12,1.92,1.86,1.77,1.58
13,1.96,1.96,1.77,1.76
14,1.69,1.94,1.86,1.92
15,1.84,1.95,1.83,1.95
16,1.95,1.87,1.83,1.92
17,1.45,1.45,1.75,1.76
18,1.45,1.95,1.62,1.76
19,1.45,1.95,1.45,1.78
20,1.44,1.95,1.45,1.95
21,1.95,1.95,1.61,1.95
22,1.67,1.44,1.69,1.78
23,1.97,1.45,1.86,1.61
24,1.94,1.44,1.86,1.44
25,1.94,1.78,1.95,1.56
26,1.96,1.9,1.95,1.71
27,1.44,1.96,1.78,1.88
28,1.92,1.45,1.77,1.77
29,1.89,1.94,1.75,1.78
30,1.93,1.95,1.91,1.78
31,1.54,1.95,1.79,1.95
32,1.45,1.96,1.64,1.95
33,1.59,1.44,1.53,1.78
34,1.48,1.48,1.51,1.63
35,1.45,1.45,1.51,1.46
36,1.62,1.45,1.52,1.46
37,1.96,1.95,1.68,1.62
38,1.95,1.93,1.84,1.78
39,1.95,1.96,1.95,1.95
40,1.45,1.44,1.78,1.78
41,1.45,1.96,1.62,1.79
42,1.86,1.95,1.59,1.78
43,1.94,1.95,1.75,1.95
44,1.9,1.96,1.9,1.95
45,1.96,1.96,1.93,1.96
46,1.95,1.94,1.94,1.95
47,1.96,1.44,1.96,1.78
48,1.82,1.95,1.91,1.78
49,1.45,1.43,1.74,1.61
50,1.91,1.95,1.73,1.78
