run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.43,0.5,,
2,0.5,0.5,,
3,0.42,0.5,0.45,0.5
4,0.43,0.44,0.45,0.48
5,0.42,0.51,0.42,0.48
6,0.43,0.5,0.43,0.48
7,0.42,0.49,0.42,0.5
8,0.51,0.42,0.45,0.47
9,0.43,0.49,0.45,0.47
10,0.5,0.5,0.48,0.47
11,0.5,0.5,0.48,0.5
12,0.43,0.42,0.48,0.47
13,0.5,0.42,0.48,0.45
14,0.5,0.42,0.48,0.42
15,0.42,0.5,0.47,0.45
16,0.42,0.42,0.45,0.45
17,0.51,0.43,0.45,0.45
18,0.5,0.5,0.48,0.45
19,0.5,0.5,0.5,0.48
20,0.5,0.43,0.5,0.48
21,0.43,0.43,0.48,0.45
22,0.45,0.44,0.46,0.43
23,0.5,0.42,0.46,0.43
24,0.44,0.42,0.46,0.43
25,0.5,0.43,0.48,0.42
26,0.43,0.45,0.46,0.43
27,0.42,0.42,0.45,0.43
28,0.43,0.43,0.43,0.43
29,0.51,0.5,0.45,0.45
30,0.43,0.44,0.46,0.46
31,0.42,0.5,0.45,0.48
32,0.49,0.5,0.45,0.48
33,0.5,0.42,0.47,0.47
34,0.42,0.43,0.47,0.45
35,0.42,0.51,0.45,0.45
36,0.42,0.5,0.42,0.48
37,0.5,0.5,0.45,0.5
38,0.51,0.42,0.48,0.47
39,0.43,0.43,0.48,0.45
40,0.42,0.48,0.45,0.44
41,0.43,0.42,0.43,0.44
42,0.5,0.5,0.45,0.47
43,0.5,0.49,0.48,0.47
44,0.51,0.43,0.5,0.47
45,0.43,0.5,0.48,0.47
46,0.5,0.42,0.48,0.45
47,0.42,0.5,0.45,0.47
48,0.5,0.43,0.47,0.45
49,0.5,0.5,0.47,0.48
50,0.42,0.5,0.47,0.48
