run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.01,1.19,,
2,1.24,1.26,,
3,1.21,1.22,1.15,1.22
4,1.17,1.09,1.21,1.19
5,1.24,0.98,1.21,1.1
6,1.25,1.0,1.22,1.02
7,1.19,1.23,1.23,1.07
8,1.27,1.26,1.24,1.16
9,1.26,1.26,1.24,1.25
10,1.03,1.0,1.19,1.17
11,1.08,1.27,1.12,1.18
12,1.24,0.99,1.12,1.09
13,0.99,1.26,1.1,1.17
14,0.99,1.27,1.07,1.17
15,1.08,1.26,1.02,1.26
16,1.05,1.0,1.04,1.18
17,1.25,1.02,1.13,1.09
18,1.0,1.04,1.1,1.02
19,1.22,1.27,1.16,1.11
20,1.25,1.23,1.16,1.18
21,1.26,1.22,1.24,1.24
22,1.14,1.05,1.22,1.17
23,1.25,1.21,1.22,1.16
24,1.05,1.01,1.15,1.09
25,0.98,1.23,1.09,1.15
26,1.23,1.23,1.09,1.16
27,1.21,1.21,1.14,1.22
28,1.26,1.17,1.23,1.2
29,1.27,1.0,1.25,1.13
30,1.27,1.08,1.27,1.08
31,1.22,1.23,1.25,1.1
32,1.22,1.26,1.24,1.19
33,1.26,1.0,1.23,1.16
34,1.12,1.01,1.2,1.09
35,1.23,1.23,1.2,1.08
36,1.27,1.06,1.21,1.1
37,1.18,1.09,1.23,1.13
38,1.11,0.98,1.19,1.04
39,1.25,1.24,1.18,1.1
40,1.27,1.0,1.21,1.07
41,1.06,1.09,1.19,1.11
42,0.99,0.99,1.11,1.03
43,1.17,0.98,1.07,1.02
44,1.27,1.03,1.14,1.0
45,1.06,1.26,1.17,1.09
46,1.25,1.03,1.19,1.11
47,1.01,0.99,1.11,1.09
48,1.24,1.24,1.17,1.09
49,1.01,1.27,1.09,1.17
50,1.26,1.01,1.17,1.17
