run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.45,0.46,,
2,0.43,0.42,,
3,0.51,0.5,0.46,0.46
4,0.49,0.44,0.48,0.45
5,0.44,0.5,0.48,0.48
6,0.5,0.42,0.48,0.45
7,0.46,0.46,0.47,0.46
8,0.5,0.48,0.49,0.45
9,0.49,0.5,0.48,0.48
10,0.42,0.49,0.47,0.49
11,0.44,0.47,0.45,0.49
12,0.5,0.51,0.45,0.49
13,0.44,0.47,0.46,0.48
14,0.48,0.42,0.47,0.47
15,0.47,0.44,0.46,0.44
16,0.48,0.49,0.48,0.45
17,0.51,0.5,0.49,0.48
18,0.5,0.5,0.5,0.5
19,0.5,0.5,0.5,0.5
20,0.5,0.49,0.5,0.5
21,0.43,0.5,0.48,0.5
22,0.42,0.51,0.45,0.5
23,0.5,0.5,0.45,0.5
24,0.5,0.5,0.47,0.5
25,0.49,0.43,0.5,0.48
26,0.44,0.42,0.48,0.45
27,0.5,0.5,0.48,0.45
28,0.46,0.47,0.47,0.46
29,0.49,0.5,0.48,0.49
30,0.42,0.5,0.46,0.49
31,0.46,0.51,0.46,0.5
32,0.46,0.49,0.45,0.5
33,0.48,0.5,0.47,0.5
34,0.43,0.42,0.46,0.47
35,0.5,0.5,0.47,0.47
36,0.43,0.45,0.45,0.46
37,0.45,0.49,0.46,0.48
38,0.49,0.51,0.46,0.48
39,0.42,0.49,0.45,0.5
40,0.42,0.43,0.44,0.48
41,0.5,0.5,0.45,0.47
42,0.43,0.49,0.45,0.47
43,0.42,0.47,0.45,0.49
44,0.48,0.5,0.44,0.49
45,0.45,0.42,0.45,0.46
46,0.43,0.51,0.45,0.48
47,0.44,0.5,0.44,0.48
48,0.49,0.5,0.45,0.5
49,0.43,0.5,0.45,0.5
50,0.43,0.43,0.45,0.48
