run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.01,0.98,,
2,1.27,0.98,,
3,1.0,1.02,1.09,0.99
4,1.11,0.99,1.13,1.0
5,0.99,0.98,1.03,1.0
6,1.27,1.26,1.12,1.08
7,0.98,0.99,1.08,1.08
8,1.02,0.99,1.09,1.08
9,1.0,0.99,1.0,0.99
10,0.98,1.27,1.0,1.08
11,1.26,1.09,1.08,1.12
12,0.98,0.98,1.07,1.11
13,0.99,1.07,1.08,1.05
14,1.27,0.98,1.08,1.01
15,1.26,1.26,1.17,1.1
16,1.21,0.99,1.25,1.08
17,0.99,1.27,1.15,1.17
18,1.27,0.98,1.16,1.08
19,0.99,0.98,1.08,1.08
20,1.27,0.99,1.18,0.98
21,0.99,0.99,1.08,0.99
22,0.99,1.25,1.08,1.08
23,1.25,0.98,1.08,1.07
24,1.16,1.25,1.13,1.16
25,1.21,1.26,1.21,1.16
26,1.27,1.23,1.21,1.25
27,0.99,0.99,1.16,1.16
28,1.27,0.98,1.18,1.07
29,1.26,0.98,1.17,0.98
30,0.99,1.25,1.17,1.07
31,1.26,1.26,1.17,1.16
32,0.98,0.99,1.08,1.17
33,1.24,0.99,1.16,1.08
34,0.99,1.27,1.07,1.08
35,0.99,1.27,1.07,1.18
36,1.25,0.98,1.08,1.17
37,1.26,0.99,1.17,1.08
38,1.23,1.18,1.25,1.05
39,1.27,1.22,1.25,1.13
40,0.98,0.98,1.16,1.13
41,1.26,1.01,1.17,1.07
42,1.0,1.0,1.08,1.0
43,0.98,0.99,1.08,1.0
44,1.01,1.01,1.0,1.0
45,0.99,1.27,0.99,1.09
46,0.98,1.27,0.99,1.18
47,0.98,0.98,0.98,1.17
48,1.27,1.27,1.08,1.17
49,1.27,1.27,1.17,1.17
50,0.98,1.26,1.17,1.27
