run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.05,1.16,,
2,1.27,1.04,,
3,0.99,1.04,1.1,1.08
4,1.02,1.22,1.09,1.1
5,0.98,1.26,1.0,1.17
6,1.14,1.24,1.05,1.24
7,1.07,1.24,1.06,1.25
8,1.19,1.0,1.13,1.16
9,1.23,1.03,1.16,1.09
10,1.21,1.04,1.21,1.02
11,1.19,1.02,1.21,1.03
12,1.11,1.26,1.17,1.11
13,1.27,1.24,1.19,1.17
14,1.25,1.27,1.21,1.26
15,1.04,0.99,1.19,1.17
16,1.23,1.06,1.17,1.11
17,1.17,1.01,1.15,1.02
18,1.01,1.23,1.14,1.1
19,1.09,1.08,1.09,1.11
20,1.03,1.23,1.04,1.18
21,1.22,1.12,1.11,1.14
22,1.03,1.25,1.09,1.2
23,1.05,1.26,1.1,1.21
24,1.1,0.98,1.06,1.16
25,0.99,1.25,1.05,1.16
26,1.15,1.26,1.08,1.16
27,1.11,1.09,1.08,1.2
28,1.0,1.01,1.09,1.12
29,1.11,0.98,1.07,1.03
30,1.24,1.2,1.12,1.06
31,0.98,1.27,1.11,1.15
32,1.27,1.22,1.16,1.23
33,1.12,0.98,1.12,1.16
34,1.27,1.27,1.22,1.16
35,1.0,1.11,1.13,1.12
36,1.01,1.01,1.09,1.13
37,1.26,1.26,1.09,1.13
38,1.1,1.12,1.12,1.13
39,1.25,1.16,1.2,1.18
40,1.27,1.12,1.21,1.13
41,1.27,1.2,1.26,1.16
42,1.2,1.26,1.25,1.19
43,1.0,1.27,1.16,1.24
44,1.19,1.03,1.13,1.19
45,1.23,1.09,1.14,1.13
46,1.15,1.13,1.19,1.08
47,1.19,1.26,1.19,1.16
48,1.12,1.26,1.15,1.22
49,1.21,1.26,1.17,1.26
50,1.23,1.03,1.19,1.18
