run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.45,1.44,,
2,1.95,1.95,,
3,1.43,1.94,1.61,1.78
4,1.86,1.89,1.75,1.93
5,1.9,1.96,1.73,1.93
6,1.94,1.91,1.9,1.92
7,1.95,1.95,1.93,1.94
8,1.95,1.45,1.95,1.77
9,1.95,1.44,1.95,1.61
10,1.44,1.45,1.78,1.45
11,1.87,1.93,1.75,1.61
12,1.95,1.91,1.75,1.76
13,1.45,1.5,1.76,1.78
14,1.95,1.96,1.78,1.79
15,1.94,1.93,1.78,1.8
16,1.91,1.93,1.93,1.94
17,1.95,1.92,1.93,1.93
18,1.92,1.82,1.93,1.89
19,1.91,1.9,1.93,1.88
20,1.9,1.95,1.91,1.89
21,1.91,1.86,1.91,1.9
22,1.94,1.44,1.92,1.75
23,1.97,1.96,1.94,1.75
24,1.96,1.95,1.96,1.78
25,1.9,1.44,1.94,1.78
26,1.96,1.95,1.94,1.78
27,1.94,1.45,1.93,1.61
28,1.85,1.94,1.92,1.78
29,1.45,1.43,1.75,1.61
30,1.96,1.95,1.75,1.77
31,1.95,1.64,1.79,1.67
32,1.95,1.77,1.95,1.79
33,1.83,1.94,1.91,1.78
34,1.44,1.94,1.74,1.88
35,1.45,1.45,1.57,1.78
36,1.45,1.95,1.45,1.78
37,1.92,1.92,1.61,1.77
38,1.95,1.44,1.77,1.77
39,1.44,1.65,1.77,1.67
40,1.44,1.95,1.61,1.68
41,1.94,1.45,1.61,1.68
42,1.94,1.95,1.77,1.78
43,1.46,1.45,1.78,1.62
44,1.95,1.85,1.78,1.75
45,1.96,1.95,1.79,1.75
46,1.95,1.44,1.95,1.75
47,1.95,1.95,1.95,1.78
48,1.95,1.45,1.95,1.61
49,1.96,1.45,1.95,1.62
50,1.95,1.44,1.95,1.45
