run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.95,1.45,,
2,1.96,1.46,,
3,1.96,1.45,1.96,1.45
4,1.96,1.46,1.96,1.46
5,1.95,1.45,1.96,1.45
6,1.95,1.96,1.95,1.62
7,1.89,1.95,1.93,1.79
8,1.91,1.95,1.92,1.95
9,1.93,1.9,1.91,1.93
10,1.87,1.95,1.9,1.93
11,1.94,1.94,1.91,1.93
12,1.96,1.95,1.92,1.95
13,1.95,1.94,1.95,1.94
14,1.87,1.87,1.93,1.92
15,1.96,1.93,1.93,1.91
16,1.9,1.48,1.91,1.76
17,1.95,1.44,1.94,1.62
18,1.45,1.44,1.77,1.45
19,1.93,1.94,1.78,1.61
20,1.45,1.45,1.61,1.61
21,1.45,1.45,1.61,1.61
22,1.53,1.94,1.48,1.61
23,1.95,1.94,1.64,1.78
24,1.96,1.93,1.81,1.94
25,1.95,1.93,1.95,1.93
26,1.94,1.93,1.95,1.93
27,1.91,1.94,1.93,1.93
28,1.93,1.95,1.93,1.94
29,1.91,1.95,1.92,1.95
30,1.94,1.81,1.93,1.9
31,1.45,1.95,1.77,1.9
32,1.96,1.95,1.78,1.9
33,1.44,1.44,1.62,1.78
34,1.45,1.44,1.62,1.61
35,1.96,1.44,1.62,1.44
36,1.88,1.85,1.76,1.58
37,1.88,1.95,1.91,1.75
38,1.96,1.95,1.91,1.92
39,1.96,1.95,1.93,1.95
40,1.95,1.8,1.96,1.9
41,1.95,1.72,1.95,1.82
42,1.44,1.44,1.78,1.65
43,1.96,1.96,1.78,1.71
44,1.45,1.96,1.62,1.79
45,1.44,1.95,1.62,1.96
46,1.94,1.45,1.61,1.79
47,1.44,1.95,1.61,1.78
48,1.94,1.94,1.77,1.78
49,1.45,1.44,1.61,1.78
50,1.95,1.94,1.78,1.77
