run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.95,1.96,,
2,1.45,1.45,,
3,1.86,1.46,1.75,1.62
4,1.91,1.95,1.74,1.62
5,1.44,1.44,1.74,1.62
6,1.96,1.44,1.77,1.61
7,1.95,1.95,1.78,1.61
8,1.95,1.45,1.95,1.61
9,1.87,1.9,1.92,1.77
10,1.95,1.82,1.92,1.72
11,1.96,1.89,1.93,1.87
12,1.44,1.94,1.78,1.88
13,1.89,1.45,1.76,1.76
14,1.93,1.91,1.75,1.77
15,1.95,1.44,1.92,1.6
16,1.94,1.95,1.94,1.77
17,1.44,1.95,1.78,1.78
18,1.95,1.44,1.78,1.78
19,1.95,1.91,1.78,1.77
20,1.44,1.95,1.78,1.77
21,1.95,1.95,1.78,1.94
22,1.45,1.96,1.61,1.95
23,1.44,1.96,1.61,1.96
24,1.95,1.93,1.61,1.95
25,1.95,1.45,1.78,1.78
26,1.91,1.92,1.94,1.77
27,1.44,1.44,1.77,1.6
28,1.44,1.95,1.6,1.77
29,1.96,1.94,1.61,1.78
30,1.88,1.94,1.76,1.94
31,1.94,1.96,1.93,1.95
32,1.92,1.93,1.91,1.94
33,1.95,1.94,1.94,1.94
34,1.9,1.95,1.92,1.94
35,1.96,1.44,1.94,1.78
36,1.96,1.45,1.94,1.61
37,1.96,1.82,1.96,1.57
38,1.92,1.96,1.95,1.74
39,1.83,1.44,1.9,1.74
40,1.44,1.44,1.73,1.61
41,1.44,1.45,1.57,1.44
42,1.44,1.94,1.44,1.61
43,1.92,1.94,1.6,1.78
44,1.96,1.44,1.77,1.77
45,1.45,1.95,1.78,1.78
46,1.91,1.89,1.77,1.76
47,1.85,1.8,1.74,1.88
48,1.83,1.96,1.86,1.88
49,1.91,1.92,1.86,1.89
50,1.52,1.95,1.75,1.94
