run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.48,0.49,,
2,0.5,0.44,,
3,0.5,0.46,0.49,0.46
4,0.46,0.43,0.49,0.44
5,0.49,0.44,0.48,0.44
6,0.5,0.45,0.48,0.44
7,0.5,0.5,0.5,0.46
8,0.46,0.5,0.49,0.48
9,0.48,0.48,0.48,0.49
10,0.43,0.44,0.46,0.47
11,0.44,0.45,0.45,0.46
12,0.5,0.48,0.46,0.46
13,0.43,0.42,0.46,0.45
14,0.47,0.48,0.47,0.46
15,0.45,0.49,0.45,0.46
16,0.5,0.48,0.47,0.48
17,0.42,0.5,0.46,0.49
18,0.5,0.48,0.47,0.49
19,0.43,0.45,0.45,0.48
20,0.49,0.43,0.47,0.45
21,0.49,0.5,0.47,0.46
22,0.48,0.5,0.49,0.48
23,0.46,0.44,0.48,0.48
24,0.45,0.5,0.46,0.48
25,0.46,0.47,0.46,0.47
26,0.47,0.46,0.46,0.48
27,0.45,0.49,0.46,0.47
28,0.5,0.43,0.47,0.46
29,0.46,0.42,0.47,0.45
30,0.5,0.49,0.49,0.45
31,0.49,0.5,0.48,0.47
32,0.5,0.51,0.5,0.5
33,0.44,0.5,0.48,0.5
34,0.44,0.49,0.46,0.5
35,0.43,0.45,0.44,0.48
36,0.47,0.47,0.45,0.47
37,0.46,0.45,0.45,0.46
38,0.5,0.48,0.48,0.47
39,0.5,0.49,0.49,0.47
40,0.46,0.45,0.49,0.47
41,0.5,0.46,0.49,0.47
42,0.46,0.47,0.47,0.46
43,0.45,0.47,0.47,0.47
44,0.51,0.45,0.47,0.46
45,0.49,0.43,0.48,0.45
46,0.45,0.49,0.48,0.46
47,0.42,0.48,0.45,0.47
48,0.48,0.43,0.45,0.47
49,0.47,0.47,0.46,0.46
50,0.46,0.47,0.47,0.46
