t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,1.63,1.63,1.73,1.73,0.21,0.4,-5.5,1.61
1,1.73,1.68,1.71,1.72,0.27,0.35,-3.31,-0.01
2,1.41,1.59,1.73,1.72,0.3,0.16,-2.19,-7.59
3,1.87,1.66,1.79,1.74,0.31,0.43,-1.64,2.76
4,1.65,1.66,1.73,1.74,0.3,0.32,-1.95,-1.53
5,1.85,1.69,1.77,1.74,0.25,0.39,-3.9,1.52
6,1.85,1.71,1.85,1.76,0.27,0.38,-3.21,0.84
7,1.93,1.74,1.79,1.76,0.25,0.4,-4.18,1.6
8,1.55,1.72,1.69,1.75,0.36,0.17,0.02,-7.05
9,1.81,1.73,1.67,1.75,0.41,0.24,2.06,-4.5
10,1.89,1.74,1.73,1.74,0.33,0.29,-1.09,-2.36
11,1.69,1.74,1.63,1.73,0.37,0.2,0.41,-6.05
12,1.99,1.76,1.71,1.73,0.27,0.35,-3.45,-0.17
13,1.45,1.74,1.73,1.73,0.32,0.14,-1.27,-8.36
14,1.51,1.72,1.67,1.73,0.37,0.11,0.61,-9.37
15,1.79,1.72,1.61,1.72,0.36,0.23,0.24,-5.02
16,1.41,1.71,1.63,1.72,0.32,0.09,-1.46,-10.25
17,1.73,1.71,1.59,1.71,0.3,0.28,-2.22,-2.93
18,1.67,1.7,1.63,1.7,0.3,0.27,-1.94,-3.18
19,1.79,1.71,1.73,1.71,0.47,0.17,4.65,-7.32
20,1.91,1.72,1.71,1.71,0.47,0.22,4.44,-5.41
21,1.53,1.71,1.81,1.71,0.45,0.06,3.9,-11.53
22,1.61,1.71,1.71,1.71,0.38,0.18,1.16,-6.85
23,1.53,1.7,1.81,1.71,0.43,0.1,2.87,-10.01
24,1.79,1.7,1.79,1.72,0.38,0.29,1.04,-2.59
25,1.77,1.7,1.83,1.72,0.39,0.26,1.38,-3.62
26,1.75,1.71,1.89,1.73,0.4,0.28,1.62,-3.0
27,1.53,1.7,1.77,1.73,0.3,0.28,-2.12,-3.05
28,1.55,1.69,1.71,1.73,0.2,0.41,-6.19,2.2
29,1.77,1.7,1.61,1.72,0.14,0.45,-8.27,3.7
30,1.45,1.69,1.63,1.72,0.21,0.29,-5.59,-2.57
31,1.91,1.7,1.57,1.72,0.09,0.46,-10.45,4.3
32,1.45,1.69,1.61,1.71,0.19,0.31,-6.57,-1.78
