t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,0.45,0.45,0.48,0.48,0.31,0.17,2.03,-0.49
1,0.46,0.45,0.47,0.47,0.11,0.36,-1.51,2.97
2,0.49,0.47,0.47,0.47,0.06,0.49,-2.59,5.4
3,0.44,0.46,0.47,0.47,0.38,0.37,3.35,3.27
4,0.5,0.47,0.47,0.47,0.26,0.53,1.23,6.16
5,0.46,0.47,0.47,0.47,0.5,0.36,5.57,3.1
6,0.46,0.47,0.48,0.47,0.59,0.2,7.35,0.0
7,0.45,0.46,0.47,0.47,0.19,0.46,-0.15,4.8
8,0.47,0.46,0.49,0.47,0.26,0.44,1.12,4.58
9,0.47,0.46,0.48,0.47,0.26,0.4,1.18,3.72
10,0.46,0.46,0.49,0.47,0.25,0.31,1.04,2.17
11,0.46,0.46,0.48,0.47,0.17,0.37,-0.54,3.22
12,0.42,0.46,0.47,0.47,0.22,0.41,0.37,3.97
13,0.45,0.46,0.46,0.47,0.19,0.32,-0.13,2.32
14,0.43,0.46,0.46,0.47,0.0,0.47,-3.62,5.15
15,0.5,0.46,0.47,0.47,0.11,0.42,-1.61,4.21
16,0.43,0.46,0.48,0.47,0.01,0.49,-3.47,5.52
17,0.44,0.46,0.49,0.47,0.0,0.78,-3.62,10.8
18,0.44,0.46,0.49,0.47,0.0,0.76,-3.62,10.39
19,0.42,0.45,0.49,0.48,0.0,0.57,-3.62,6.98
20,0.47,0.46,0.49,0.48,0.18,0.58,-0.25,7.01
21,0.43,0.45,0.46,0.48,0.3,0.38,1.89,3.33
22,0.46,0.45,0.46,0.47,0.32,0.25,2.39,0.95
23,0.49,0.46,0.45,0.47,0.44,0.27,4.56,1.35
24,0.48,0.46,0.47,0.47,0.3,0.45,1.93,4.71
25,0.47,0.46,0.47,0.47,0.18,0.39,-0.27,3.66
26,0.5,0.46,0.46,0.47,0.43,0.46,4.27,4.9
27,0.46,0.46,0.46,0.47,0.06,0.63,-2.53,8.11
28,0.42,0.46,0.47,0.47,0.0,0.63,-3.62,8.02
29,0.49,0.46,0.48,0.47,0.0,0.76,-3.62,10.39
30,0.51,0.46,0.49,0.47,0.19,0.61,-0.16,7.66
31,0.42,0.46,0.5,0.47,0.04,0.72,-2.96,9.72
32,0.42,0.46,0.49,0.47,0.16,0.66,-0.67,8.67
33,0.47,0.46,0.49,0.47,0.46,0.19,4.95,-0.07
34,0.43,0.46,0.48,0.47,0.11,0.45,-1.57,4.79
35,0.42,0.46,0.46,0.47,0.0,0.4,-3.62,3.74
36,0.47,0.46,0.47,0.47,0.0,0.58,-3.62,7.15
37,0.46,0.46,0.48,0.47,0.0,0.7,-3.62,9.36
38,0.5,0.46,0.46,0.47,0.0,0.77,-3.62,10.61
39,0.44,0.46,0.45,0.47,0.0,0.79,-3.62,11.05
40,0.47,0.46,0.44,0.47,0.0,0.42,-3.62,4.18
41,0.48,0.46,0.45,0.47,0.02,0.73,-3.25,9.92
42,0.42,0.46,0.45,0.47,0.07,0.86,-2.38,12.29
43,0.47,0.46,0.46,0.47,0.2,0.99,0.12,14.66
44,0.44,0.46,0.46,0.47,0.04,0.94,-2.85,13.75
45,0.49,0.46,0.46,0.47,0.0,0.98,-3.62,14.58
46,0.49,0.46,0.46,0.47,0.0,0.84,-3.62,11.94
47,0.46,0.46,0.46,0.47,0.26,0.74,1.23,10.15
48,0.46,0.46,0.49,0.47,0.14,0.68,-1.02,9.02
49,0.42,0.46,0.48,0.47,0.1,0.71,-1.83,9.59
50,0.46,0.46,0.47,0.47,0.14,0.73,-1.05,9.92
51,0.5,0.46,0.48,0.47,0.04,0.63,-2.81,8.11
52,0.48,0.46,0.49,0.47,0.0,0.74,-3.62,10.11
53,0.44,0.46,0.49,0.47,0.07,0.74,-2.38,10.04
54,0.48,0.46,0.47,0.47,0.17,0.65,-0.55,8.41
55,0.43,0.46,0.46,0.47,0.04,0.79,-2.89,11.06
56,0.51,0.46,0.47,0.47,0.0,0.9,-3.62,13.08
57,0.5,0.46,0.48,0.47,0.24,0.83,0.75,11.8
58,0.43,0.46,0.47,0.47,0.22,0.85,0.49,12.14
59,0.46,0.46,0.48,0.47,0.28,0.68,1.55,8.89
60,0.51,0.46,0.48,0.47,0.23,0.77,0.66,10.63
61,0.44,0.46,0.48,0.47,0.03,0.66,-3.12,8.57
62,0.49,0.46,0.47,0.47,0.08,0.7,-2.16,9.36
63,0.49,0.46,0.47,0.47,0.1,0.68,-1.82,8.9
64,0.43,0.46,0.46,0.47,0.34,0.39,2.72,3.52
65,0.45,0.46,0.45,0.47,0.46,0.18,4.92,-0.27
66,0.42,0.46,0.45,0.47,0.64,0.03,8.22,-3.01
67,0.45,0.46,0.45,0.47,0.47,0.11,5.11,-1.54
68,0.51,0.46,0.46,0.47,0.95,0.0,13.91,-3.62
69,0.5,0.46,0.46,0.47,1.03,0.0,15.45,-3.62
