t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,0.46,0.46,0.45,0.45,0.2,0.2,0.04,0.06
1,0.51,0.48,0.47,0.46,0.19,0.2,-0.03,0.15
2,0.49,0.48,0.46,0.46,0.2,0.2,0.01,0.11
3,0.44,0.47,0.46,0.46,0.2,0.2,0.06,0.02
4,0.48,0.47,0.45,0.46,0.2,0.2,0.01,0.1
5,0.43,0.47,0.44,0.46,0.2,0.2,0.03,0.01
6,0.51,0.47,0.45,0.45,0.19,0.21,-0.08,0.17
7,0.42,0.47,0.46,0.45,0.2,0.19,0.05,-0.04
8,0.49,0.47,0.46,0.45,0.2,0.2,-0.0,0.12
9,0.46,0.47,0.45,0.45,0.2,0.2,0.03,0.05
10,0.43,0.46,0.45,0.45,0.2,0.2,0.05,-0.01
11,0.48,0.47,0.44,0.45,0.2,0.2,-0.01,0.1
12,0.42,0.46,0.45,0.45,0.2,0.19,0.05,-0.03
13,0.47,0.46,0.45,0.45,0.2,0.2,0.01,0.08
14,0.46,0.46,0.47,0.45,0.2,0.2,0.08,0.03
15,0.43,0.46,0.47,0.45,0.2,0.19,0.09,-0.04
16,0.48,0.46,0.48,0.46,0.2,0.2,0.06,0.07
17,0.48,0.46,0.49,0.46,0.2,0.2,0.09,0.05
18,0.49,0.46,0.49,0.46,0.2,0.2,0.07,0.08
19,0.49,0.46,0.48,0.46,0.2,0.2,0.06,0.09
20,0.45,0.46,0.48,0.46,0.2,0.2,0.11,-0.01
21,0.51,0.47,0.48,0.46,0.2,0.2,0.01,0.13
22,0.44,0.46,0.48,0.46,0.2,0.19,0.11,-0.03
23,0.46,0.46,0.49,0.46,0.2,0.2,0.12,-0.0
24,0.47,0.46,0.49,0.47,0.2,0.2,0.1,0.03
25,0.42,0.46,0.47,0.47,0.2,0.19,0.09,-0.05
26,0.44,0.46,0.47,0.47,0.2,0.2,0.09,-0.0
27,0.45,0.46,0.46,0.47,0.2,0.2,0.07,0.03
28,0.49,0.46,0.45,0.47,0.19,0.2,-0.03,0.13
29,0.5,0.46,0.44,0.46,0.19,0.2,-0.08,0.16
30,0.45,0.46,0.45,0.46,0.2,0.2,0.04,0.05
31,0.44,0.46,0.46,0.46,0.2,0.2,0.07,0.0
32,0.42,0.46,0.47,0.46,0.2,0.19,0.09,-0.05
33,0.47,0.46,0.47,0.46,0.2,0.2,0.05,0.07
34,0.42,0.46,0.47,0.46,0.2,0.19,0.08,-0.04
35,0.5,0.46,0.47,0.46,0.2,0.2,-0.0,0.13
36,0.49,0.46,0.46,0.46,0.19,0.2,-0.02,0.13
37,0.48,0.46,0.44,0.46,0.2,0.2,-0.01,0.1
38,0.48,0.46,0.44,0.46,0.19,0.2,-0.02,0.11
39,0.42,0.46,0.45,0.46,0.2,0.19,0.04,-0.02
40,0.44,0.46,0.43,0.46,0.2,0.2,0.01,0.02
41,0.47,0.46,0.45,0.46,0.2,0.2,0.01,0.09
42,0.51,0.46,0.45,0.46,0.19,0.2,-0.08,0.17
43,0.5,0.46,0.44,0.46,0.19,0.2,-0.07,0.15
44,0.5,0.47,0.44,0.46,0.19,0.2,-0.08,0.16
45,0.47,0.47,0.43,0.46,0.19,0.2,-0.02,0.09
46,0.42,0.46,0.46,0.46,0.2,0.19,0.06,-0.03
47,0.49,0.46,0.48,0.46,0.2,0.2,0.05,0.09
48,0.51,0.47,0.45,0.46,0.19,0.21,-0.07,0.17
49,0.47,0.47,0.45,0.46,0.2,0.2,0.03,0.07
50,0.47,0.47,0.47,0.46,0.2,0.2,0.06,0.06
51,0.49,0.47,0.46,0.46,0.2,0.2,0.0,0.12
52,0.5,0.47,0.47,0.46,0.2,0.2,-0.0,0.13
53,0.46,0.47,0.46,0.46,0.2,0.2,0.05,0.05
54,0.48,0.47,0.45,0.46,0.2,0.2,0.0,0.11
55,0.48,0.47,0.46,0.46,0.2,0.2,0.01,0.1
56,0.46,0.47,0.45,0.46,0.2,0.2,0.04,0.06
57,0.46,0.47,0.45,0.46,0.2,0.2,0.03,0.07
58,0.43,0.47,0.44,0.46,0.2,0.2,0.03,0.01
59,0.48,0.47,0.45,0.46,0.2,0.2,-0.01,0.11
60,0.45,0.47,0.43,0.46,0.2,0.2,-0.0,0.05
61,0.46,0.47,0.44,0.46,0.2,0.2,0.01,0.07
62,0.48,0.47,0.47,0.46,0.2,0.2,0.05,0.08
63,0.45,0.47,0.48,0.46,0.2,0.2,0.09,0.01
64,0.49,0.47,0.46,0.46,0.2,0.2,0.02,0.11
65,0.42,0.47,0.46,0.46,0.2,0.19,0.07,-0.04
66,0.46,0.47,0.45,0.46,0.2,0.2,0.03,0.05
67,0.45,0.47,0.43,0.46,0.2,0.2,-0.0,0.05
68,0.42,0.47,0.44,0.46,0.2,0.19,0.02,-0.02
69,0.51,0.47,0.44,0.46,0.19,0.21,-0.1,0.18
70,0.51,0.47,0.45,0.46,0.19,0.21,-0.08,0.17
71,0.5,0.47,0.45,0.46,0.19,0.2,-0.05,0.15
72,0.5,0.47,0.47,0.46,0.2,0.2,-0.01,0.14
73,0.5,0.47,0.46,0.46,0.19,0.2,-0.02,0.14
74,0.51,0.47,0.46,0.46,0.19,0.21,-0.06,0.17
75,0.43,0.47,0.46,0.46,0.2,0.19,0.07,-0.03
76,0.48,0.47,0.45,0.46,0.2,0.2,0.0,0.1
77,0.51,0.47,0.48,0.46,0.2,0.2,-0.01,0.15
78,0.49,0.47,0.48,0.46,0.2,0.2,0.05,0.09
79,0.42,0.47,0.48,0.46,0.2,0.19,0.1,-0.06
80,0.45,0.47,0.46,0.46,0.2,0.2,0.05,0.04
81,0.42,0.47,0.45,0.46,0.2,0.19,0.04,-0.03
82,0.46,0.47,0.46,0.46,0.2,0.2,0.05,0.05
83,0.44,0.47,0.44,0.46,0.2,0.2,0.02,0.03
84,0.49,0.47,0.45,0.46,0.19,0.2,-0.02,0.12
85,0.49,0.47,0.46,0.46,0.2,0.2,0.02,0.11
86,0.5,0.47,0.48,0.46,0.2,0.2,0.0,0.13
87,0.42,0.47,0.47,0.46,0.2,0.19,0.08,-0.04
88,0.48,0.47,0.47,0.46,0.2,0.2,0.04,0.08
89,0.46,0.47,0.46,0.46,0.2,0.2,0.06,0.04
90,0.5,0.47,0.47,0.46,0.2,0.2,-0.01,0.14
91,0.43,0.47,0.48,0.46,0.2,0.19,0.1,-0.04
92,0.42,0.47,0.47,0.46,0.2,0.19,0.08,-0.06
93,0.44,0.47,0.47,0.46,0.2,0.2,0.09,-0.01
94,0.47,0.47,0.46,0.46,0.2,0.2,0.04,0.07
95,0.43,0.47,0.46,0.46,0.2,0.2,0.06,-0.0
96,0.5,0.47,0.45,0.46,0.19,0.2,-0.03,0.14
97,0.47,0.47,0.45,0.46,0.2,0.2,0.02,0.08
98,0.45,0.47,0.44,0.46,0.2,0.2,0.02,0.04
99,0.44,0.47,0.44,0.46,0.2,0.2,0.02,0.03
100,0.49,0.47,0.44,0.46,0.19,0.2,-0.04,0.12
101,0.5,0.47,0.44,0.46,0.19,0.2,-0.08,0.15
102,0.47,0.47,0.44,0.46,0.2,0.2,0.01,0.08
103,0.42,0.47,0.44,0.46,0.2,0.2,0.03,-0.01
104,0.5,0.47,0.45,0.46,0.19,0.2,-0.05,0.15
105,0.47,0.47,0.44,0.46,0.2,0.2,-0.0,0.08
106,0.45,0.47,0.42,0.46,0.2,0.2,-0.02,0.04
107,0.48,0.47,0.47,0.46,0.2,0.2,0.03,0.09
108,0.43,0.47,0.45,0.46,0.2,0.2,0.05,-0.01
109,0.49,0.47,0.46,0.46,0.2,0.2,0.0,0.12
110,0.44,0.47,0.46,0.46,0.2,0.2,0.07,0.0
111,0.44,0.47,0.46,0.46,0.2,0.2,0.07,0.01
112,0.45,0.47,0.46,0.46,0.2,0.2,0.07,0.03
113,0.49,0.47,0.46,0.46,0.2,0.2,0.02,0.11
114,0.43,0.47,0.45,0.46,0.2,0.2,0.05,-0.01
115,0.49,0.47,0.46,0.46,0.2,0.2,0.01,0.11
116,0.45,0.47,0.46,0.46,0.2,0.2,0.06,0.04
117,0.44,0.47,0.45,0.46,0.2,0.2,0.04,0.02
118,0.48,0.47,0.46,0.46,0.2,0.2,0.02,0.1
119,0.48,0.47,0.47,0.46,0.2,0.2,0.06,0.07
120,0.44,0.47,0.49,0.46,0.2,0.19,0.12,-0.03
121,0.44,0.47,0.48,0.46,0.2,0.19,0.11,-0.03
122,0.5,0.47,0.48,0.46,0.2,0.2,0.02,0.12
123,0.45,0.47,0.48,0.46,0.2,0.2,0.09,0.01
124,0.42,0.47,0.49,0.46,0.2,0.19,0.12,-0.08
125,0.45,0.46,0.48,0.46,0.2,0.2,0.09,0.01
126,0.43,0.46,0.47,0.46,0.2,0.19,0.09,-0.04
127,0.42,0.46,0.47,0.46,0.2,0.19,0.08,-0.04
128,0.47,0.46,0.48,0.46,0.2,0.2,0.08,0.04
129,0.44,0.46,0.45,0.46,0.2,0.2,0.05,0.01
130,0.44,0.46,0.46,0.46,0.2,0.2,0.07,-0.0
131,0.5,0.46,0.47,0.46,0.19,0.2,-0.02,0.15
132,0.48,0.46,0.46,0.46,0.2,0.2,0.02,0.09
133,0.49,0.46,0.45,0.46,0.19,0.2,-0.03,0.13
134,0.51,0.46,0.44,0.46,0.19,0.21,-0.1,0.18
135,0.47,0.46,0.44,0.46,0.2,0.2,-0.0,0.09
136,0.47,0.47,0.44,0.46,0.2,0.2,-0.01,0.09
137,0.5,0.47,0.45,0.46,0.19,0.2,-0.06,0.15
138,0.42,0.46,0.44,0.46,0.2,0.19,0.02,-0.02
139,0.45,0.46,0.43,0.46,0.2,0.2,-0.0,0.05
140,0.42,0.46,0.44,0.46,0.2,0.2,0.03,-0.01
141,0.46,0.46,0.46,0.46,0.2,0.2,0.05,0.05
142,0.46,0.46,0.46,0.46,0.2,0.2,0.05,0.06
143,0.43,0.46,0.45,0.46,0.2,0.2,0.04,-0.01
144,0.42,0.46,0.46,0.46,0.2,0.19,0.07,-0.05
145,0.5,0.46,0.45,0.46,0.19,0.2,-0.04,0.15
146,0.47,0.46,0.45,0.46,0.2,0.2,0.01,0.08
147,0.48,0.46,0.45,0.46,0.2,0.2,-0.0,0.1
148,0.47,0.46,0.43,0.46,0.2,0.2,-0.02,0.08
149,0.48,0.46,0.45,0.46,0.2,0.2,-0.01,0.11
150,0.5,0.46,0.45,0.46,0.19,0.2,-0.06,0.16
151,0.42,0.46,0.44,0.46,0.2,0.19,0.02,-0.02
152,0.46,0.46,0.44,0.46,0.2,0.2,0.01,0.06
153,0.51,0.46,0.45,0.46,0.19,0.21,-0.09,0.17
154,0.48,0.46,0.45,0.46,0.2,0.2,-0.01,0.11
155,0.48,0.46,0.44,0.46,0.19,0.2,-0.04,0.11
156,0.51,0.47,0.43,0.46,0.19,0.21,-0.11,0.17
157,0.46,0.47,0.43,0.46,0.19,0.2,-0.03,0.07
158,0.46,0.47,0.42,0.46,0.19,0.2,-0.05,0.07
159,0.46,0.47,0.42,0.46,0.19,0.2,-0.04,0.06
160,0.49,0.47,0.43,0.46,0.19,0.2,-0.07,0.12
161,0.42,0.46,0.42,0.46,0.2,0.2,-0.02,-0.01
162,0.5,0.47,0.42,0.46,0.19,0.2,-0.13,0.15
163,0.44,0.47,0.43,0.46,0.2,0.2,-0.01,0.02
164,0.42,0.46,0.43,0.46,0.2,0.2,-0.0,-0.01
165,0.49,0.46,0.42,0.45,0.19,0.2,-0.07,0.12
166,0.48,0.46,0.42,0.45,0.19,0.2,-0.07,0.11
167,0.45,0.46,0.42,0.45,0.19,0.2,-0.03,0.05
168,0.5,0.47,0.42,0.45,0.19,0.2,-0.14,0.15
169,0.45,0.47,0.43,0.45,0.2,0.2,-0.0,0.05
170,0.44,0.46,0.44,0.45,0.2,0.2,0.03,0.02
