t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,1.87,1.87,1.65,1.65,0.22,0.39,-0.06,1.47
1,1.53,1.7,1.69,1.67,0.31,0.22,0.8,-0.07
2,1.75,1.72,1.71,1.68,0.29,0.33,0.63,0.92
3,1.87,1.75,1.69,1.68,0.24,0.39,0.13,1.45
4,1.93,1.79,1.73,1.69,0.23,0.41,0.08,1.62
5,1.99,1.82,1.67,1.69,0.18,0.43,-0.41,1.85
6,1.65,1.8,1.57,1.67,0.25,0.3,0.21,0.66
7,1.81,1.8,1.57,1.66,0.2,0.36,-0.23,1.24
8,1.97,1.82,1.53,1.64,0.12,0.4,-0.86,1.54
9,1.41,1.78,1.63,1.64,0.27,0.17,0.41,-0.45
10,1.47,1.75,1.67,1.64,0.3,0.19,0.66,-0.29
11,1.61,1.74,1.67,1.65,0.31,0.26,0.72,0.35
12,1.83,1.74,1.65,1.65,0.23,0.38,0.08,1.33
13,1.59,1.73,1.67,1.65,0.31,0.25,0.73,0.26
14,1.49,1.72,1.67,1.65,0.3,0.2,0.69,-0.2
15,1.99,1.73,1.71,1.65,0.2,0.43,-0.24,1.84
16,1.77,1.74,1.83,1.66,0.35,0.3,1.13,0.66
17,1.79,1.74,1.85,1.67,0.36,0.3,1.17,0.68
18,1.51,1.73,1.73,1.68,0.33,0.19,0.91,-0.26
19,1.97,1.74,1.77,1.68,0.23,0.42,0.1,1.7
20,1.77,1.74,1.75,1.69,0.31,0.33,0.76,0.91
21,1.41,1.73,1.81,1.69,0.31,0.12,0.8,-0.86
22,1.75,1.73,1.83,1.7,0.36,0.29,1.18,0.56
23,1.73,1.73,1.79,1.7,0.34,0.29,1.05,0.6
24,1.47,1.72,1.81,1.71,0.34,0.15,1.02,-0.64
25,1.55,1.71,1.87,1.71,0.38,0.17,1.38,-0.5
26,1.83,1.71,1.83,1.72,0.33,0.33,0.95,0.95
27,1.47,1.71,1.81,1.72,0.34,0.15,1.02,-0.64
28,1.53,1.7,1.87,1.72,0.38,0.16,1.33,-0.58
29,1.73,1.7,1.85,1.73,0.37,0.27,1.31,0.39
30,1.55,1.7,1.89,1.73,0.39,0.16,1.43,-0.56
31,1.47,1.69,1.89,1.74,0.36,0.12,1.18,-0.86
32,1.41,1.68,1.75,1.74,0.3,0.14,0.68,-0.72
33,1.85,1.68,1.79,1.74,0.3,0.36,0.68,1.17
34,1.95,1.69,1.77,1.74,0.24,0.41,0.19,1.63
35,1.83,1.7,1.79,1.74,0.31,0.35,0.76,1.08
36,1.93,1.7,1.79,1.74,0.26,0.4,0.36,1.5
37,1.67,1.7,1.85,1.75,0.38,0.23,1.39,0.1
38,1.83,1.7,1.89,1.75,0.36,0.3,1.22,0.72
39,1.95,1.71,1.89,1.75,0.31,0.37,0.73,1.25
40,1.51,1.71,1.91,1.76,0.38,0.13,1.36,-0.77
41,1.67,1.71,1.89,1.76,0.4,0.22,1.54,-0.04
42,1.59,1.7,1.83,1.76,0.37,0.2,1.32,-0.2
43,1.93,1.71,1.75,1.76,0.24,0.41,0.17,1.59
44,1.75,1.71,1.83,1.76,0.36,0.29,1.18,0.56
45,1.83,1.71,1.85,1.77,0.34,0.32,1.04,0.87
46,1.57,1.71,1.77,1.77,0.35,0.21,1.11,-0.1
47,1.51,1.7,1.77,1.77,0.34,0.18,1.03,-0.37
48,1.83,1.71,1.77,1.77,0.3,0.35,0.66,1.13
49,1.89,1.71,1.69,1.76,0.23,0.4,0.05,1.52
50,1.99,1.72,1.67,1.76,0.18,0.43,-0.41,1.85
51,1.45,1.71,1.69,1.76,0.3,0.18,0.67,-0.42
52,1.83,1.71,1.67,1.76,0.24,0.37,0.17,1.32
53,1.45,1.71,1.73,1.76,0.31,0.16,0.77,-0.52
54,1.63,1.71,1.71,1.76,0.32,0.26,0.87,0.35
55,1.63,1.71,1.71,1.76,0.32,0.26,0.87,0.35
56,1.83,1.71,1.85,1.76,0.34,0.32,1.04,0.87
57,1.55,1.7,1.79,1.76,0.35,0.19,1.15,-0.25
58,1.45,1.7,1.83,1.76,0.34,0.13,0.99,-0.77
59,1.43,1.7,1.83,1.76,0.33,0.13,0.91,-0.84
60,1.83,1.7,1.83,1.76,0.33,0.33,0.95,0.95
61,1.85,1.7,1.89,1.77,0.35,0.32,1.15,0.81
62,1.85,1.7,1.85,1.77,0.33,0.33,0.97,0.97
63,1.53,1.7,1.87,1.77,0.38,0.16,1.33,-0.58
64,1.91,1.7,1.85,1.77,0.31,0.36,0.73,1.24
65,1.57,1.7,1.69,1.77,0.32,0.24,0.82,0.12
66,1.71,1.7,1.61,1.77,0.25,0.32,0.26,0.88
67,1.97,1.71,1.59,1.76,0.15,0.42,-0.65,1.7
68,1.99,1.71,1.61,1.76,0.15,0.43,-0.64,1.78
69,1.83,1.71,1.77,1.76,0.3,0.35,0.66,1.13
70,1.75,1.71,1.81,1.76,0.35,0.3,1.1,0.63
71,1.73,1.71,1.77,1.76,0.33,0.3,0.96,0.66
72,1.97,1.72,1.69,1.76,0.19,0.43,-0.25,1.79
73,1.61,1.71,1.67,1.76,0.31,0.26,0.72,0.35
74,1.81,1.72,1.65,1.76,0.24,0.37,0.15,1.26
75,1.63,1.71,1.69,1.76,0.31,0.27,0.78,0.4
76,1.43,1.71,1.61,1.76,0.27,0.19,0.4,-0.33
77,1.51,1.71,1.59,1.75,0.27,0.23,0.43,0.05
78,1.75,1.71,1.61,1.75,0.24,0.34,0.14,1.04
79,1.47,1.71,1.73,1.75,0.32,0.17,0.83,-0.43
80,1.61,1.7,1.81,1.75,0.37,0.22,1.26,-0.04
81,1.45,1.7,1.75,1.75,0.32,0.16,0.82,-0.57
82,1.67,1.7,1.67,1.75,0.3,0.3,0.63,0.63
83,1.83,1.7,1.61,1.75,0.21,0.38,-0.11,1.33
84,1.61,1.7,1.63,1.75,0.29,0.27,0.54,0.43
85,1.83,1.7,1.73,1.75,0.28,0.36,0.46,1.23
86,1.43,1.7,1.77,1.75,0.31,0.14,0.8,-0.69
87,1.41,1.7,1.81,1.75,0.31,0.12,0.8,-0.86
88,1.87,1.7,1.73,1.75,0.26,0.38,0.32,1.39
89,1.43,1.69,1.67,1.75,0.29,0.17,0.57,-0.45
90,1.73,1.7,1.59,1.75,0.24,0.33,0.11,0.97
91,1.79,1.7,1.61,1.74,0.23,0.36,0.02,1.19
92,1.63,1.7,1.61,1.74,0.27,0.29,0.43,0.54
93,1.73,1.7,1.55,1.74,0.21,0.33,-0.08,0.96
94,1.61,1.7,1.57,1.74,0.25,0.28,0.28,0.5
95,1.99,1.7,1.53,1.74,0.12,0.4,-0.92,1.58
96,1.57,1.7,1.61,1.74,0.28,0.25,0.5,0.28
97,1.59,1.7,1.65,1.73,0.3,0.26,0.65,0.3
98,1.63,1.7,1.67,1.73,0.3,0.27,0.69,0.44
99,1.45,1.69,1.73,1.73,0.31,0.16,0.77,-0.52
100,1.79,1.69,1.69,1.73,0.27,0.35,0.41,1.13
101,1.95,1.7,1.65,1.73,0.18,0.42,-0.35,1.73
102,1.43,1.69,1.67,1.73,0.29,0.17,0.57,-0.45
103,1.59,1.69,1.69,1.73,0.32,0.25,0.81,0.21
104,1.43,1.69,1.67,1.73,0.29,0.17,0.57,-0.45
105,1.43,1.69,1.71,1.73,0.3,0.16,0.67,-0.55
106,1.97,1.69,1.61,1.73,0.16,0.42,-0.58,1.74
107,1.93,1.69,1.55,1.73,0.15,0.4,-0.68,1.52
108,1.63,1.69,1.59,1.73,0.26,0.29,0.34,0.57
109,1.83,1.69,1.69,1.73,0.25,0.37,0.27,1.3
110,1.97,1.7,1.61,1.72,0.16,0.42,-0.58,1.74
111,1.51,1.69,1.65,1.72,0.3,0.22,0.65,-0.07
112,1.87,1.7,1.77,1.72,0.28,0.37,0.51,1.31
113,1.85,1.7,1.57,1.72,0.18,0.38,-0.35,1.36
114,1.67,1.7,1.91,1.72,0.41,0.21,1.6,-0.12
115,1.49,1.69,1.51,1.72,0.24,0.23,0.12,0.04
116,1.73,1.69,1.99,1.73,0.43,0.21,1.83,-0.16
117,1.41,1.69,1.65,1.72,0.28,0.17,0.46,-0.49
118,1.91,1.69,1.99,1.73,0.38,0.3,1.34,0.64
119,1.83,1.7,1.65,1.73,0.23,0.38,0.08,1.33
120,1.97,1.7,1.95,1.73,0.33,0.35,0.9,1.08
121,1.49,1.7,1.63,1.73,0.29,0.21,0.56,-0.11
122,1.97,1.7,1.99,1.73,0.35,0.32,1.07,0.89
123,1.99,1.7,1.59,1.73,0.14,0.42,-0.71,1.74
124,1.41,1.7,1.91,1.73,0.33,0.1,0.94,-1.09
125,1.49,1.7,1.87,1.73,0.36,0.14,1.22,-0.73
126,1.83,1.7,1.81,1.73,0.32,0.34,0.85,1.01
127,1.45,1.7,1.77,1.73,0.32,0.15,0.87,-0.62
128,1.89,1.7,1.95,1.73,0.37,0.31,1.25,0.73
129,1.89,1.7,1.69,1.73,0.23,0.4,0.05,1.52
