t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,1.05,1.05,1.11,1.11,0.56,0.52,0.44,0.18
1,1.04,1.05,1.13,1.12,0.57,0.51,0.54,0.12
2,1.1,1.06,1.16,1.13,0.59,0.54,0.68,0.34
3,0.96,1.04,1.15,1.14,0.57,0.47,0.58,-0.27
4,1.07,1.05,1.16,1.14,0.59,0.53,0.68,0.24
5,1.28,1.08,1.09,1.13,0.52,0.65,0.13,1.17
6,1.15,1.09,1.11,1.13,0.55,0.58,0.41,0.63
7,1.11,1.1,1.13,1.13,0.57,0.55,0.53,0.42
8,0.97,1.08,1.1,1.13,0.55,0.48,0.37,-0.15
9,1.04,1.08,1.15,1.13,0.58,0.51,0.63,0.1
10,1.09,1.08,1.18,1.13,0.59,0.54,0.73,0.28
11,1.27,1.09,1.11,1.13,0.53,0.64,0.27,1.13
12,1.03,1.09,1.07,1.13,0.54,0.51,0.3,0.11
13,1.06,1.09,1.11,1.13,0.56,0.53,0.44,0.23
14,1.23,1.1,1.1,1.12,0.53,0.62,0.26,0.98
15,1.05,1.09,1.15,1.13,0.58,0.52,0.63,0.15
16,1.06,1.09,1.12,1.13,0.56,0.53,0.49,0.23
17,1.18,1.1,1.15,1.13,0.57,0.59,0.6,0.72
18,1.07,1.1,1.16,1.13,0.59,0.53,0.68,0.24
19,1.07,1.09,1.19,1.13,0.6,0.53,0.78,0.21
20,1.1,1.09,1.15,1.13,0.58,0.54,0.63,0.35
21,1.11,1.1,1.16,1.13,0.59,0.55,0.68,0.4
22,1.21,1.1,1.13,1.13,0.56,0.61,0.46,0.88
23,0.96,1.09,1.09,1.13,0.54,0.48,0.32,-0.19
24,1.1,1.09,1.1,1.13,0.55,0.55,0.39,0.39
25,1.29,1.1,1.07,1.13,0.51,0.65,0.05,1.21
26,1.1,1.1,1.13,1.13,0.57,0.55,0.54,0.37
27,1.25,1.11,1.15,1.13,0.56,0.63,0.51,1.08
28,1.07,1.11,1.13,1.13,0.57,0.53,0.54,0.27
29,1.22,1.11,1.13,1.13,0.56,0.62,0.44,0.93
30,0.96,1.11,1.13,1.13,0.56,0.47,0.5,-0.24
31,1.11,1.11,1.15,1.13,0.58,0.55,0.63,0.41
32,1.01,1.1,1.19,1.13,0.59,0.49,0.75,-0.1
33,0.96,1.1,1.15,1.13,0.57,0.47,0.58,-0.27
34,1.07,1.1,1.18,1.13,0.59,0.53,0.73,0.23
35,1.04,1.1,1.14,1.13,0.57,0.51,0.58,0.11
36,1.01,1.09,1.14,1.13,0.57,0.49,0.57,-0.05
37,1.18,1.1,1.18,1.14,0.59,0.59,0.7,0.7
38,1.05,1.09,1.18,1.14,0.59,0.52,0.73,0.12
39,1.03,1.09,1.2,1.14,0.6,0.5,0.81,-0.01
40,1.02,1.09,1.2,1.14,0.6,0.49,0.8,-0.07
41,1.01,1.09,1.25,1.14,0.63,0.47,1.02,-0.22
42,1.09,1.09,1.29,1.15,0.65,0.51,1.22,0.11
43,1.21,1.09,1.28,1.15,0.65,0.6,1.16,0.76
44,1.29,1.1,1.28,1.15,0.64,0.65,1.09,1.16
45,1.13,1.1,1.29,1.15,0.65,0.54,1.23,0.34
46,1.21,1.1,1.28,1.16,0.65,0.6,1.16,0.76
47,1.24,1.1,1.27,1.16,0.64,0.62,1.08,0.95
48,1.2,1.1,1.23,1.16,0.62,0.6,0.95,0.76
49,1.09,1.1,1.22,1.16,0.62,0.53,0.93,0.22
50,1.29,1.11,1.23,1.16,0.61,0.65,0.86,1.2
51,1.09,1.11,1.25,1.16,0.63,0.52,1.07,0.17
52,1.25,1.11,1.29,1.17,0.65,0.62,1.18,0.98
53,1.12,1.11,1.27,1.17,0.64,0.54,1.13,0.32
54,1.06,1.11,1.28,1.17,0.64,0.5,1.16,0.02
55,1.29,1.11,1.24,1.17,0.61,0.65,0.92,1.19
56,1.2,1.11,1.22,1.17,0.61,0.6,0.9,0.77
57,1.28,1.12,1.23,1.17,0.61,0.64,0.88,1.15
58,1.01,1.11,1.2,1.17,0.6,0.48,0.8,-0.12
59,1.09,1.11,1.2,1.17,0.6,0.53,0.83,0.25
60,1.28,1.12,1.12,1.17,0.54,0.65,0.3,1.18
61,1.27,1.12,1.09,1.17,0.52,0.64,0.15,1.12
62,1.25,1.12,1.11,1.17,0.54,0.63,0.28,1.08
63,1.27,1.12,1.12,1.17,0.54,0.64,0.32,1.13
64,1.18,1.12,1.12,1.17,0.55,0.59,0.44,0.73
65,1.05,1.12,1.1,1.17,0.55,0.52,0.4,0.19
66,1.1,1.12,1.09,1.17,0.54,0.55,0.34,0.39
67,1.01,1.12,1.02,1.17,0.51,0.5,0.07,0.03
68,1.23,1.12,1.01,1.16,0.48,0.62,-0.18,0.93
69,1.15,1.12,1.1,1.16,0.54,0.58,0.35,0.63
70,1.03,1.12,1.06,1.16,0.53,0.51,0.26,0.11
71,0.98,1.12,1.13,1.16,0.56,0.48,0.51,-0.14
72,1.09,1.12,1.07,1.16,0.54,0.54,0.29,0.35
73,1.02,1.12,1.05,1.16,0.53,0.51,0.21,0.07
74,1.2,1.12,1.09,1.16,0.53,0.6,0.25,0.83
75,1.21,1.12,1.1,1.16,0.54,0.61,0.29,0.88
76,1.14,1.12,1.07,1.15,0.53,0.57,0.26,0.59
77,1.2,1.12,1.06,1.15,0.52,0.6,0.15,0.83
78,1.18,1.12,1.11,1.15,0.55,0.59,0.39,0.73
79,1.24,1.12,1.11,1.15,0.54,0.63,0.3,1.03
80,0.98,1.12,1.13,1.15,0.56,0.48,0.51,-0.14
81,1.03,1.12,1.18,1.15,0.59,0.5,0.72,0.02
82,1.29,1.12,1.18,1.15,0.57,0.65,0.57,1.23
83,1.13,1.12,1.18,1.15,0.59,0.56,0.73,0.49
84,1.19,1.12,1.2,1.15,0.6,0.59,0.8,0.74
85,1.04,1.12,1.23,1.15,0.62,0.5,0.96,-0.01
86,1.25,1.12,1.22,1.16,0.61,0.63,0.85,1.05
87,1.19,1.13,1.19,1.16,0.59,0.59,0.75,0.75
88,1.18,1.13,1.18,1.16,0.59,0.59,0.7,0.7
89,1.2,1.13,1.22,1.16,0.61,0.6,0.9,0.77
90,0.96,1.12,1.22,1.16,0.61,0.45,0.84,-0.38
91,1.2,1.13,1.19,1.16,0.59,0.6,0.74,0.8
92,0.96,1.12,1.2,1.16,0.59,0.46,0.76,-0.34
93,1.2,1.12,1.12,1.16,0.55,0.6,0.42,0.83
94,1.07,1.12,1.2,1.16,0.6,0.53,0.83,0.2
95,1.18,1.12,1.23,1.16,0.62,0.58,0.97,0.65
96,1.1,1.12,1.23,1.16,0.62,0.53,0.98,0.26
97,1.11,1.12,1.23,1.16,0.62,0.54,0.98,0.32
98,1.15,1.12,1.21,1.16,0.61,0.57,0.87,0.57
99,1.15,1.12,1.18,1.16,0.59,0.57,0.72,0.6
100,1.14,1.12,1.2,1.16,0.6,0.57,0.82,0.52
101,1.25,1.13,1.16,1.16,0.57,0.63,0.57,1.07
102,1.04,1.13,1.11,1.16,0.56,0.52,0.44,0.13
103,1.25,1.13,1.05,1.16,0.5,0.63,0.0,1.06
104,0.98,1.13,1.05,1.16,0.53,0.49,0.2,-0.07
105,1.02,1.12,1.06,1.16,0.53,0.51,0.26,0.06
106,1.23,1.13,1.11,1.16,0.54,0.62,0.32,0.98
107,1.29,1.13,1.12,1.16,0.54,0.65,0.28,1.23
108,1.18,1.13,1.11,1.16,0.55,0.59,0.39,0.73
109,1.01,1.13,1.07,1.16,0.54,0.5,0.3,0.01
110,1.03,1.13,1.05,1.15,0.53,0.51,0.21,0.11
111,1.07,1.12,1.05,1.15,0.53,0.54,0.2,0.3
112,1.25,1.13,1.09,1.15,0.52,0.63,0.17,1.07
113,1.05,1.13,1.15,1.15,0.58,0.52,0.63,0.15
114,1.24,1.13,1.15,1.15,0.57,0.63,0.53,1.03
115,0.98,1.13,1.14,1.15,0.57,0.48,0.56,-0.15
116,1.01,1.12,1.19,1.15,0.59,0.49,0.75,-0.1
117,1.23,1.12,1.21,1.15,0.6,0.62,0.82,0.94
118,1.29,1.13,1.2,1.15,0.59,0.65,0.69,1.22
119,1.01,1.13,1.23,1.16,0.62,0.48,0.93,-0.18
120,1.22,1.13,1.23,1.16,0.62,0.61,0.94,0.87
121,1.05,1.13,1.23,1.16,0.62,0.51,0.96,0.04
122,0.97,1.12,1.22,1.16,0.61,0.46,0.86,-0.32
123,1.2,1.12,1.29,1.16,0.65,0.59,1.22,0.69
124,1.25,1.13,1.29,1.16,0.65,0.62,1.18,0.98
125,1.12,1.13,1.29,1.16,0.65,0.54,1.23,0.28
126,1.14,1.13,1.29,1.16,0.65,0.55,1.23,0.4
127,1.07,1.13,1.29,1.16,0.65,0.51,1.21,0.05
128,1.28,1.13,1.29,1.16,0.65,0.64,1.16,1.09
129,0.96,1.13,1.29,1.16,0.64,0.43,1.1,-0.52
130,1.23,1.13,1.29,1.16,0.65,0.61,1.2,0.86
131,1.07,1.13,1.27,1.17,0.64,0.51,1.12,0.1
132,1.07,1.13,1.21,1.17,0.61,0.52,0.88,0.19
133,1.06,1.13,1.16,1.17,0.59,0.52,0.68,0.19
134,1.19,1.13,1.18,1.17,0.59,0.59,0.69,0.75
135,1.29,1.13,1.22,1.17,0.6,0.65,0.8,1.21
136,1.1,1.13,1.22,1.17,0.62,0.53,0.93,0.28
137,1.27,1.13,1.22,1.17,0.6,0.64,0.83,1.1
138,1.09,1.13,1.21,1.17,0.61,0.53,0.88,0.24
