run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.47,0.45,,
2,0.47,0.49,,
3,0.47,0.5,0.47,0.48
4,0.47,0.48,0.47,0.49
5,0.47,0.45,0.47,0.48
6,0.47,0.48,0.47,0.47
7,0.47,0.45,0.47,0.46
8,0.47,0.5,0.47,0.48
9,0.46,0.45,0.47,0.47
10,0.47,0.46,0.47,0.47
11,0.47,0.47,0.47,0.46
12,0.47,0.42,0.47,0.45
13,0.46,0.48,0.47,0.46
14,0.47,0.5,0.47,0.47
15,0.47,0.47,0.47,0.48
16,0.47,0.47,0.47,0.48
17,0.47,0.5,0.47,0.48
18,0.46,0.47,0.47,0.48
19,0.47,0.5,0.47,0.49
20,0.47,0.42,0.47,0.46
21,0.46,0.45,0.47,0.46
22,0.47,0.45,0.47,0.44
23,0.47,0.48,0.47,0.46
24,0.46,0.43,0.47,0.45
25,0.47,0.48,0.47,0.46
26,0.47,0.43,0.47,0.45
27,0.47,0.45,0.47,0.45
28,0.47,0.43,0.47,0.44
29,0.47,0.48,0.47,0.45
30,0.47,0.44,0.47,0.45
31,0.46,0.42,0.47,0.45
32,0.47,0.46,0.47,0.44
33,0.47,0.42,0.47,0.43
34,0.47,0.42,0.47,0.43
35,0.47,0.48,0.47,0.44
36,0.47,0.43,0.47,0.44
37,0.46,0.5,0.47,0.47
38,0.46,0.47,0.46,0.47
39,0.47,0.48,0.46,0.48
40,0.47,0.42,0.47,0.46
41,0.47,0.48,0.47,0.46
42,0.47,0.47,0.47,0.46
43,0.47,0.46,0.47,0.47
44,0.46,0.51,0.47,0.48
45,0.47,0.43,0.47,0.47
46,0.47,0.49,0.47,0.48
47,0.47,0.47,0.47,0.46
48,0.47,0.43,0.47,0.46
49,0.47,0.42,0.47,0.44
50,0.47,0.45,0.47,0.43
