run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.11,1.26,,
2,1.13,1.27,,
3,1.13,1.07,1.12,1.2
4,1.12,1.27,1.13,1.2
5,1.13,1.02,1.13,1.12
6,1.13,1.24,1.13,1.18
7,1.12,0.99,1.13,1.08
8,1.12,0.98,1.12,1.07
9,1.12,1.0,1.12,0.99
10,1.12,1.26,1.12,1.08
11,1.12,1.27,1.12,1.18
12,1.12,1.26,1.12,1.26
13,1.13,0.99,1.12,1.17
14,1.13,0.98,1.13,1.08
15,1.13,1.23,1.13,1.07
16,1.12,1.24,1.13,1.15
17,1.12,1.25,1.12,1.24
18,1.13,1.0,1.12,1.16
19,1.13,0.98,1.13,1.08
20,1.12,1.26,1.13,1.08
21,1.12,1.22,1.12,1.15
22,1.13,1.25,1.12,1.24
23,1.13,1.26,1.13,1.24
24,1.13,1.04,1.13,1.18
25,1.12,0.99,1.13,1.1
26,1.13,1.27,1.13,1.1
27,1.13,1.26,1.13,1.17
28,1.13,1.27,1.13,1.27
29,1.13,1.0,1.13,1.18
30,1.12,1.23,1.13,1.17
31,1.12,1.0,1.12,1.08
32,1.13,0.98,1.12,1.07
33,1.14,0.98,1.13,0.99
34,1.13,1.0,1.13,0.99
35,1.14,1.27,1.14,1.08
36,1.13,0.99,1.13,1.09
37,1.12,1.25,1.13,1.17
38,1.13,0.99,1.13,1.08
39,1.12,0.98,1.12,1.07
40,1.13,0.99,1.13,0.99
41,1.13,1.26,1.13,1.08
42,1.13,0.99,1.13,1.08
43,1.13,0.99,1.13,1.08
44,1.13,1.26,1.13,1.08
45,1.12,0.99,1.13,1.08
46,1.14,1.26,1.13,1.17
47,1.12,1.26,1.13,1.17
48,1.13,1.03,1.13,1.18
49,1.13,1.27,1.13,1.19
50,1.13,1.27,1.13,1.19
