run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.13,1.22,,
2,1.14,1.26,,
3,1.14,1.09,1.14,1.19
4,1.13,1.1,1.14,1.15
5,1.13,0.98,1.13,1.06
6,1.13,1.11,1.13,1.06
7,1.12,1.27,1.13,1.12
8,1.14,1.19,1.13,1.19
9,1.13,1.01,1.13,1.16
10,1.13,1.27,1.13,1.16
11,1.12,0.99,1.13,1.09
12,1.12,0.98,1.12,1.08
13,1.12,1.22,1.12,1.06
14,1.13,1.19,1.12,1.13
15,1.13,1.26,1.13,1.22
16,1.12,0.98,1.13,1.14
17,1.12,0.99,1.12,1.08
18,1.13,1.19,1.12,1.05
19,1.14,1.11,1.13,1.1
20,1.13,1.11,1.13,1.14
21,1.14,1.27,1.14,1.16
22,1.14,1.0,1.14,1.13
23,1.13,1.02,1.14,1.1
24,1.13,1.0,1.13,1.01
25,1.13,1.1,1.13,1.04
26,1.14,1.04,1.13,1.05
27,1.14,1.24,1.14,1.13
28,1.13,1.22,1.14,1.17
29,1.12,1.25,1.13,1.24
30,1.13,0.99,1.13,1.15
31,1.14,1.19,1.13,1.14
32,1.13,1.02,1.13,1.07
33,1.14,1.11,1.14,1.11
34,1.13,1.27,1.13,1.13
35,1.13,1.03,1.13,1.14
36,1.13,1.1,1.13,1.13
37,1.13,1.04,1.13,1.06
38,1.13,1.27,1.13,1.14
39,1.14,1.17,1.13,1.16
40,1.14,1.26,1.14,1.23
41,1.13,1.25,1.14,1.23
42,1.14,1.27,1.14,1.26
43,1.13,1.03,1.13,1.18
44,1.14,1.02,1.14,1.11
45,1.13,1.1,1.13,1.05
46,1.13,1.24,1.13,1.12
47,1.13,1.26,1.13,1.2
48,1.13,1.26,1.13,1.25
49,1.13,1.01,1.13,1.18
50,1.13,1.16,1.13,1.14
