run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.46,0.42,,
2,0.46,0.5,,
3,0.46,0.5,0.46,0.47
4,0.47,0.5,0.46,0.5
5,0.47,0.42,0.47,0.47
6,0.46,0.42,0.47,0.45
7,0.47,0.49,0.47,0.44
8,0.46,0.49,0.46,0.47
9,0.46,0.5,0.46,0.49
10,0.47,0.43,0.46,0.47
11,0.46,0.5,0.46,0.48
12,0.47,0.43,0.47,0.45
13,0.47,0.51,0.47,0.48
14,0.47,0.43,0.47,0.46
15,0.46,0.45,0.47,0.46
16,0.46,0.5,0.46,0.46
17,0.47,0.43,0.46,0.46
18,0.47,0.48,0.47,0.47
19,0.47,0.5,0.47,0.47
20,0.47,0.42,0.47,0.47
21,0.46,0.42,0.47,0.45
22,0.46,0.43,0.46,0.42
23,0.46,0.43,0.46,0.43
24,0.47,0.43,0.46,0.43
25,0.47,0.43,0.47,0.43
26,0.46,0.42,0.47,0.43
27,0.46,0.49,0.46,0.45
28,0.47,0.5,0.46,0.47
29,0.46,0.42,0.46,0.47
30,0.46,0.43,0.46,0.45
31,0.47,0.42,0.46,0.42
32,0.46,0.44,0.46,0.43
33,0.47,0.49,0.47,0.45
34,0.47,0.5,0.47,0.48
35,0.47,0.43,0.47,0.47
36,0.47,0.42,0.47,0.45
37,0.47,0.46,0.47,0.44
38,0.46,0.48,0.47,0.45
39,0.47,0.5,0.47,0.48
40,0.46,0.49,0.46,0.49
41,0.47,0.42,0.47,0.47
42,0.46,0.42,0.46,0.44
43,0.46,0.43,0.46,0.42
44,0.47,0.5,0.46,0.45
45,0.46,0.5,0.46,0.48
46,0.47,0.42,0.47,0.47
47,0.47,0.42,0.47,0.45
48,0.47,0.44,0.47,0.43
49,0.47,0.5,0.47,0.45
50,0.46,0.42,0.47,0.45
