run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.46,0.5,,
2,0.47,0.43,,
3,0.47,0.5,0.47,0.48
4,0.46,0.5,0.47,0.48
5,0.47,0.43,0.47,0.48
6,0.47,0.49,0.47,0.47
7,0.47,0.43,0.47,0.45
8,0.47,0.44,0.47,0.45
9,0.47,0.5,0.47,0.46
10,0.46,0.43,0.47,0.46
11,0.47,0.42,0.47,0.45
12,0.46,0.42,0.46,0.42
13,0.46,0.5,0.46,0.45
14,0.47,0.5,0.46,0.47
15,0.46,0.43,0.46,0.48
16,0.47,0.43,0.47,0.45
17,0.47,0.5,0.47,0.45
18,0.46,0.44,0.47,0.46
19,0.46,0.43,0.46,0.46
20,0.47,0.5,0.46,0.46
21,0.46,0.42,0.46,0.45
22,0.46,0.42,0.46,0.45
23,0.46,0.5,0.46,0.45
24,0.47,0.43,0.46,0.45
25,0.47,0.42,0.47,0.45
26,0.47,0.42,0.47,0.42
27,0.47,0.42,0.47,0.42
28,0.46,0.5,0.47,0.45
29,0.47,0.5,0.47,0.47
30,0.46,0.42,0.46,0.47
31,0.47,0.5,0.47,0.47
32,0.46,0.43,0.46,0.45
33,0.47,0.49,0.47,0.47
34,0.46,0.42,0.46,0.45
35,0.46,0.5,0.46,0.47
36,0.46,0.5,0.46,0.47
37,0.47,0.43,0.46,0.48
38,0.47,0.5,0.47,0.48
39,0.46,0.42,0.47,0.45
40,0.46,0.42,0.46,0.45
41,0.46,0.43,0.46,0.42
42,0.47,0.42,0.46,0.42
43,0.47,0.5,0.47,0.45
44,0.47,0.42,0.47,0.45
45,0.47,0.42,0.47,0.45
46,0.47,0.5,0.47,0.45
47,0.46,0.42,0.47,0.45
48,0.46,0.42,0.46,0.45
49,0.47,0.43,0.46,0.42
50,0.47,0.51,0.47,0.45
