run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.68,1.89,,
2,1.7,1.92,,
3,1.68,1.91,1.69,1.91
4,1.68,1.45,1.69,1.76
5,1.69,1.92,1.68,1.76
6,1.67,1.9,1.68,1.76
7,1.69,1.96,1.68,1.93
8,1.69,1.94,1.68,1.93
9,1.67,1.45,1.68,1.78
10,1.68,1.88,1.68,1.76
11,1.68,1.94,1.68,1.76
12,1.67,1.44,1.68,1.75
13,1.69,1.95,1.68,1.78
14,1.67,1.45,1.68,1.61
15,1.68,1.9,1.68,1.77
16,1.68,1.45,1.68,1.6
17,1.68,1.93,1.68,1.76
18,1.69,1.95,1.68,1.78
19,1.67,1.45,1.68,1.78
20,1.69,1.93,1.68,1.78
21,1.68,1.94,1.68,1.77
22,1.69,1.88,1.69,1.92
23,1.68,1.94,1.68,1.92
24,1.69,1.93,1.69,1.92
25,1.69,1.94,1.69,1.94
26,1.68,1.92,1.69,1.93
27,1.66,1.44,1.68,1.77
28,1.69,1.95,1.68,1.77
29,1.68,1.91,1.68,1.77
30,1.69,1.86,1.69,1.91
31,1.68,1.96,1.68,1.91
32,1.69,1.95,1.69,1.92
33,1.68,1.85,1.68,1.92
34,1.69,1.96,1.69,1.92
35,1.68,1.88,1.68,1.9
36,1.69,1.94,1.69,1.93
37,1.69,1.9,1.69,1.91
38,1.69,1.95,1.69,1.93
39,1.69,1.93,1.69,1.93
40,1.69,1.92,1.69,1.93
41,1.7,1.95,1.69,1.93
42,1.68,1.95,1.69,1.94
43,1.66,1.44,1.68,1.78
44,1.69,1.94,1.68,1.78
45,1.68,1.43,1.68,1.6
46,1.68,1.93,1.68,1.77
47,1.69,1.94,1.68,1.77
48,1.69,1.96,1.69,1.94
49,1.69,1.95,1.69,1.95
50,1.7,1.94,1.69,1.95
