run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.68,1.44,,
2,1.69,1.95,,
3,1.68,1.45,1.68,1.61
4,1.68,1.92,1.68,1.77
5,1.68,1.95,1.68,1.77
6,1.69,1.86,1.68,1.91
7,1.69,1.95,1.69,1.92
8,1.67,1.44,1.68,1.75
9,1.68,1.44,1.68,1.61
10,1.7,1.93,1.68,1.6
11,1.7,1.94,1.69,1.77
12,1.68,1.94,1.69,1.94
13,1.69,1.96,1.69,1.95
14,1.69,1.96,1.69,1.95
15,1.69,1.96,1.69,1.96
16,1.68,1.87,1.69,1.93
17,1.7,1.44,1.69,1.76
18,1.68,1.89,1.69,1.73
19,1.7,1.45,1.69,1.59
20,1.7,1.95,1.69,1.76
21,1.67,1.44,1.69,1.61
22,1.68,1.94,1.68,1.78
23,1.68,1.87,1.68,1.75
24,1.68,1.9,1.68,1.9
25,1.69,1.95,1.68,1.91
26,1.69,1.45,1.69,1.77
27,1.68,1.44,1.69,1.61
28,1.68,1.45,1.68,1.45
29,1.68,1.9,1.68,1.6
30,1.68,1.96,1.68,1.77
31,1.69,1.92,1.68,1.93
32,1.68,1.92,1.68,1.93
33,1.68,1.46,1.68,1.77
34,1.68,1.94,1.68,1.77
35,1.69,1.94,1.68,1.78
36,1.68,1.44,1.68,1.77
37,1.69,1.9,1.69,1.76
38,1.68,1.95,1.68,1.76
39,1.68,1.95,1.68,1.93
40,1.69,1.93,1.68,1.94
41,1.7,1.94,1.69,1.94
42,1.67,1.94,1.69,1.94
43,1.69,1.94,1.69,1.94
44,1.69,1.94,1.68,1.94
45,1.69,1.96,1.69,1.95
46,1.69,1.92,1.69,1.94
47,1.68,1.92,1.69,1.93
48,1.69,1.44,1.69,1.76
49,1.69,1.45,1.69,1.6
50,1.69,1.95,1.69,1.61
