run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.67,1.45,,
2,1.68,1.45,,
3,1.69,1.93,1.68,1.61
4,1.69,1.87,1.69,1.75
5,1.69,1.92,1.69,1.91
6,1.7,1.92,1.69,1.9
7,1.69,1.91,1.69,1.92
8,1.69,1.95,1.69,1.93
9,1.69,1.95,1.69,1.94
10,1.69,1.95,1.69,1.95
11,1.69,1.44,1.69,1.78
12,1.69,1.91,1.69,1.77
13,1.69,1.87,1.69,1.74
14,1.68,1.9,1.69,1.89
15,1.69,1.87,1.69,1.88
16,1.7,1.89,1.69,1.89
17,1.69,1.93,1.69,1.9
18,1.69,1.95,1.69,1.92
19,1.69,1.96,1.69,1.95
20,1.7,1.96,1.69,1.96
21,1.69,1.95,1.69,1.96
22,1.69,1.96,1.69,1.96
23,1.69,1.93,1.69,1.95
24,1.69,1.92,1.69,1.94
25,1.69,1.95,1.69,1.93
26,1.68,1.45,1.69,1.77
27,1.69,1.95,1.69,1.78
28,1.67,1.44,1.68,1.61
29,1.7,1.84,1.69,1.74
30,1.67,1.45,1.68,1.58
31,1.67,1.44,1.68,1.58
32,1.69,1.95,1.68,1.61
33,1.7,1.96,1.69,1.78
34,1.69,1.84,1.69,1.92
35,1.68,1.93,1.69,1.91
36,1.68,1.96,1.68,1.91
37,1.69,1.89,1.68,1.93
38,1.69,1.91,1.69,1.92
39,1.68,1.45,1.69,1.75
40,1.67,1.45,1.68,1.6
41,1.69,1.94,1.68,1.61
42,1.67,1.45,1.68,1.61
43,1.67,1.45,1.68,1.61
44,1.69,1.44,1.68,1.45
45,1.68,1.95,1.68,1.61
46,1.68,1.44,1.68,1.61
47,1.69,1.89,1.68,1.76
48,1.69,1.96,1.69,1.76
49,1.69,1.94,1.69,1.93
50,1.69,1.95,1.69,1.95
