run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.69,1.44,,
2,1.69,1.45,,
3,1.7,1.83,1.69,1.57
4,1.68,1.93,1.69,1.74
5,1.69,1.84,1.69,1.87
6,1.68,1.44,1.68,1.74
7,1.69,1.44,1.69,1.57
8,1.69,1.95,1.69,1.61
9,1.69,1.96,1.69,1.78
10,1.69,1.43,1.69,1.78
11,1.68,1.95,1.69,1.78
12,1.69,1.43,1.69,1.6
13,1.7,1.97,1.69,1.78
14,1.68,1.96,1.69,1.79
15,1.68,1.96,1.69,1.96
16,1.71,1.5,1.69,1.81
17,1.68,1.45,1.69,1.64
18,1.71,1.46,1.7,1.47
19,1.7,1.9,1.7,1.6
20,1.7,1.47,1.7,1.61
21,1.7,1.95,1.7,1.77
22,1.68,1.43,1.69,1.62
23,1.69,1.81,1.69,1.73
24,1.68,1.96,1.68,1.73
25,1.71,1.91,1.69,1.89
26,1.69,1.44,1.69,1.77
27,1.68,1.91,1.69,1.75
28,1.7,1.85,1.69,1.73
29,1.71,1.45,1.7,1.74
30,1.69,1.91,1.7,1.74
31,1.7,1.96,1.7,1.77
32,1.68,1.95,1.69,1.94
33,1.69,1.45,1.69,1.79
34,1.68,1.44,1.68,1.61
35,1.69,1.95,1.69,1.61
36,1.67,1.74,1.68,1.71
37,1.71,1.96,1.69,1.88
38,1.68,1.44,1.69,1.71
39,1.69,1.89,1.69,1.76
40,1.69,1.95,1.69,1.76
41,1.69,1.46,1.69,1.77
42,1.68,1.96,1.69,1.79
43,1.69,1.45,1.69,1.62
44,1.68,1.94,1.68,1.78
45,1.68,1.72,1.68,1.7
46,1.7,1.82,1.69,1.83
47,1.71,1.45,1.7,1.66
48,1.69,1.95,1.7,1.74
49,1.7,1.89,1.7,1.76
50,1.68,1.95,1.69,1.93
