run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.13,1.25,,
2,1.13,1.03,,
3,1.12,1.23,1.13,1.17
4,1.13,1.24,1.13,1.17
5,1.12,0.99,1.12,1.15
6,1.12,1.26,1.12,1.16
7,1.13,1.02,1.12,1.09
8,1.14,1.06,1.13,1.11
9,1.14,0.99,1.14,1.02
10,1.13,1.25,1.14,1.1
11,1.13,1.01,1.13,1.08
12,1.12,1.21,1.13,1.16
13,1.13,1.05,1.13,1.09
14,1.13,0.99,1.13,1.08
15,1.14,1.04,1.13,1.03
16,1.13,1.26,1.13,1.1
17,1.14,1.0,1.14,1.1
18,1.13,1.01,1.13,1.09
19,1.12,1.22,1.13,1.08
20,1.12,1.25,1.12,1.16
21,1.13,1.22,1.12,1.23
22,1.13,1.23,1.13,1.23
23,1.13,1.01,1.13,1.15
24,1.13,1.1,1.13,1.11
25,1.14,1.0,1.13,1.04
26,1.12,1.24,1.13,1.11
27,1.13,1.0,1.13,1.08
28,1.13,1.13,1.13,1.12
29,1.14,1.26,1.13,1.13
30,1.14,1.25,1.14,1.21
31,1.13,1.0,1.14,1.17
32,1.13,1.02,1.13,1.09
33,1.14,1.01,1.13,1.01
34,1.12,1.26,1.13,1.1
35,1.13,1.06,1.13,1.11
36,1.13,1.27,1.13,1.2
37,1.13,1.15,1.13,1.16
38,1.13,1.0,1.13,1.14
39,1.13,0.99,1.13,1.05
40,1.13,1.23,1.13,1.07
41,1.13,1.05,1.13,1.09
42,1.13,1.04,1.13,1.11
43,1.12,1.25,1.13,1.11
44,1.13,1.26,1.13,1.18
45,1.14,1.1,1.13,1.2
46,1.13,1.25,1.13,1.2
47,1.12,1.03,1.13,1.13
48,1.13,1.0,1.13,1.09
49,1.14,1.01,1.13,1.01
50,1.13,1.27,1.13,1.09
