run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.13,1.01,,
2,1.13,0.98,,
3,1.12,1.23,1.13,1.07
4,1.13,1.27,1.13,1.16
5,1.12,0.98,1.12,1.16
6,1.12,0.99,1.12,1.08
7,1.13,0.99,1.12,0.99
8,1.12,0.99,1.12,0.99
9,1.13,1.27,1.13,1.08
10,1.12,1.0,1.12,1.09
11,1.12,1.26,1.12,1.18
12,1.12,0.99,1.12,1.08
13,1.13,0.99,1.12,1.08
14,1.12,1.25,1.12,1.08
15,1.13,1.01,1.13,1.08
16,1.13,1.02,1.13,1.09
17,1.13,1.26,1.13,1.1
18,1.13,1.2,1.13,1.16
19,1.13,0.98,1.13,1.15
20,1.12,0.98,1.13,1.05
21,1.12,0.99,1.12,0.98
22,1.12,1.25,1.12,1.07
23,1.12,1.23,1.12,1.16
24,1.13,0.99,1.12,1.16
25,1.13,1.0,1.13,1.07
26,1.13,1.01,1.13,1.0
27,1.13,1.26,1.13,1.09
28,1.13,1.25,1.13,1.17
29,1.13,1.23,1.13,1.25
30,1.12,1.26,1.13,1.25
31,1.12,0.98,1.12,1.16
32,1.12,1.24,1.12,1.16
33,1.13,1.25,1.12,1.16
34,1.12,1.26,1.12,1.25
35,1.12,0.98,1.12,1.16
36,1.12,1.0,1.12,1.08
37,1.12,0.98,1.12,0.99
38,1.13,0.98,1.12,0.99
39,1.12,1.27,1.12,1.08
40,1.13,0.99,1.13,1.08
41,1.12,0.99,1.12,1.08
42,1.13,1.27,1.13,1.08
43,1.12,0.98,1.12,1.08
44,1.12,0.98,1.12,1.08
45,1.13,1.26,1.12,1.07
46,1.12,0.99,1.12,1.08
47,1.12,1.02,1.12,1.09
48,1.12,0.99,1.12,1.0
49,1.13,1.0,1.12,1.0
50,1.12,0.99,1.12,0.99
