run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.47,0.5,,
2,0.46,0.47,,
3,0.47,0.43,0.47,0.47
4,0.47,0.51,0.47,0.47
5,0.47,0.51,0.47,0.48
6,0.47,0.48,0.47,0.5
7,0.47,0.42,0.47,0.47
8,0.47,0.42,0.47,0.44
9,0.46,0.5,0.47,0.45
10,0.47,0.5,0.47,0.47
11,0.46,0.5,0.46,0.5
12,0.47,0.46,0.47,0.49
13,0.47,0.44,0.47,0.47
14,0.47,0.46,0.47,0.45
15,0.46,0.49,0.47,0.46
16,0.47,0.45,0.47,0.47
17,0.46,0.44,0.46,0.46
18,0.46,0.42,0.46,0.44
19,0.47,0.42,0.46,0.43
20,0.46,0.43,0.46,0.42
21,0.47,0.42,0.47,0.42
22,0.47,0.5,0.47,0.45
23,0.47,0.5,0.47,0.47
24,0.47,0.5,0.47,0.5
25,0.47,0.42,0.47,0.47
26,0.47,0.51,0.47,0.48
27,0.47,0.42,0.47,0.45
28,0.47,0.43,0.47,0.45
29,0.47,0.5,0.47,0.45
30,0.46,0.43,0.47,0.45
31,0.47,0.5,0.47,0.48
32,0.47,0.5,0.47,0.48
33,0.47,0.5,0.47,0.5
34,0.47,0.42,0.47,0.47
35,0.47,0.5,0.47,0.47
36,0.46,0.5,0.47,0.47
37,0.47,0.43,0.47,0.48
38,0.47,0.48,0.47,0.47
39,0.47,0.5,0.47,0.47
40,0.46,0.5,0.47,0.49
41,0.47,0.42,0.47,0.47
42,0.47,0.42,0.47,0.45
43,0.47,0.42,0.47,0.42
44,0.47,0.47,0.47,0.44
45,0.46,0.5,0.47,0.46
46,0.47,0.5,0.47,0.49
47,0.47,0.46,0.47,0.49
48,0.47,0.47,0.47,0.48
49,0.46,0.5,0.47,0.48
50,0.46,0.49,0.46,0.49
