t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,1.23,1.23,1.0,1.0,0.52,0.58,0.16,0.61
1,1.05,1.14,1.12,1.06,0.76,0.31,2.12,-1.55
2,1.11,1.13,1.13,1.08,0.91,0.2,3.3,-2.4
3,1.25,1.16,1.02,1.07,0.99,0.22,3.91,-2.28
4,1.25,1.18,1.01,1.05,0.91,0.27,3.32,-1.82
5,1.21,1.18,1.25,1.09,0.65,0.58,1.17,0.67
6,1.28,1.2,1.12,1.09,0.25,0.9,-2.03,3.22
7,1.09,1.18,1.19,1.1,0.11,1.07,-3.13,4.55
8,0.98,1.16,1.1,1.1,0.29,0.77,-1.67,2.18
9,1.1,1.16,1.12,1.1,0.27,0.84,-1.83,2.74
10,1.14,1.15,1.09,1.1,0.36,0.74,-1.08,1.91
11,0.98,1.14,1.11,1.1,0.1,1.0,-3.21,3.98
12,1.27,1.15,1.01,1.1,0.0,1.01,-4.0,4.06
13,1.2,1.15,1.12,1.1,0.08,1.04,-3.36,4.35
14,1.16,1.15,1.16,1.1,0.31,0.86,-1.53,2.85
15,1.11,1.15,1.1,1.1,0.29,0.81,-1.71,2.51
16,1.18,1.15,1.07,1.1,0.02,1.06,-3.83,4.44
17,0.96,1.14,0.98,1.09,0.19,0.79,-2.46,2.31
18,1.14,1.14,1.24,1.1,0.09,1.15,-3.31,5.2
19,1.29,1.15,0.98,1.1,0.13,0.88,-2.94,3.07
20,1.15,1.15,1.25,1.1,0.52,0.69,0.16,1.51
21,1.05,1.14,1.04,1.1,0.23,0.82,-2.18,2.53
22,1.13,1.14,1.22,1.11,0.42,0.76,-0.6,2.09
23,1.13,1.14,1.21,1.11,0.05,1.15,-3.56,5.21
24,1.0,1.14,1.0,1.11,0.0,1.0,-4.0,3.97
25,0.97,1.13,1.2,1.11,0.22,0.93,-2.26,3.44
26,1.01,1.13,1.13,1.11,0.32,0.77,-1.46,2.2
27,1.1,1.13,1.14,1.11,0.19,0.95,-2.49,3.56
28,1.2,1.13,1.29,1.12,0.3,0.97,-1.62,3.75
29,1.19,1.13,1.09,1.12,0.42,0.7,-0.61,1.59
30,1.01,1.13,1.12,1.12,0.65,0.4,1.19,-0.81
31,1.14,1.13,1.0,1.11,0.53,0.53,0.25,0.26
32,1.07,1.13,1.29,1.12,0.6,0.57,0.8,0.55
33,1.18,1.13,1.13,1.12,0.85,0.31,2.82,-1.51
34,1.21,1.13,1.16,1.12,0.64,0.55,1.1,0.4
35,0.97,1.12,1.07,1.12,0.57,0.44,0.59,-0.47
36,1.27,1.13,1.12,1.12,0.39,0.77,-0.86,2.18
37,1.04,1.13,1.21,1.12,0.21,0.97,-2.33,3.73
38,1.12,1.13,1.27,1.12,0.63,0.55,1.05,0.41
39,1.25,1.13,1.25,1.13,0.63,0.62,1.05,0.98
40,1.16,1.13,1.24,1.13,0.35,0.87,-1.18,2.94
41,1.01,1.13,1.18,1.13,0.99,0.02,3.91,-3.83
42,1.23,1.13,1.0,1.13,0.65,0.47,1.19,-0.23
43,1.21,1.13,1.07,1.13,0.79,0.37,2.34,-1.04
44,1.11,1.13,1.19,1.13,0.98,0.13,3.88,-2.94
45,1.19,1.13,1.18,1.13,1.14,0.05,5.1,-3.61
46,1.25,1.13,1.29,1.13,1.25,0.0,6.03,-4.0
47,1.19,1.14,1.06,1.13,0.98,0.19,3.82,-2.5
48,1.04,1.13,1.29,1.13,1.02,0.03,4.16,-3.79
49,1.1,1.13,1.19,1.14,0.91,0.2,3.29,-2.39
50,0.98,1.13,1.22,1.14,0.98,0.0,3.88,-4.0
51,1.15,1.13,1.24,1.14,1.15,0.0,5.22,-4.0
52,1.09,1.13,1.13,1.14,0.99,0.1,3.94,-3.23
53,1.28,1.13,1.19,1.14,0.74,0.49,1.96,-0.05
54,1.15,1.13,1.19,1.14,0.42,0.75,-0.61,2.0
55,1.09,1.13,1.09,1.14,0.94,0.15,3.52,-2.83
56,1.07,1.13,0.96,1.14,1.07,0.0,4.6,-4.0
57,1.1,1.13,1.25,1.14,1.1,0.0,4.78,-4.0
58,1.05,1.13,0.97,1.14,1.05,0.0,4.42,-4.0
59,1.16,1.13,1.07,1.13,1.03,0.12,4.28,-3.04
60,1.02,1.13,1.15,1.14,0.89,0.14,3.14,-2.86
61,1.16,1.13,1.13,1.14,0.97,0.19,3.72,-2.45
62,1.16,1.13,1.0,1.13,1.16,0.0,5.31,-4.0
63,1.01,1.13,1.11,1.13,1.01,0.0,4.06,-4.0
64,1.24,1.13,1.01,1.13,1.24,0.0,5.94,-4.0
65,1.04,1.13,1.11,1.13,1.04,0.0,4.33,-4.0
66,1.28,1.13,1.23,1.13,1.2,0.07,5.62,-3.43
67,1.23,1.13,1.28,1.13,1.23,0.0,5.85,-4.0
68,1.18,1.13,1.0,1.13,0.9,0.23,3.23,-2.16
69,0.98,1.13,1.28,1.13,0.85,0.17,2.83,-2.64
70,1.24,1.13,1.09,1.13,0.52,0.63,0.19,1.03
71,1.23,1.13,1.18,1.13,0.65,0.56,1.17,0.46
72,0.96,1.13,1.14,1.13,0.54,0.5,0.34,-0.01
73,1.03,1.13,1.23,1.14,0.51,0.62,0.07,0.98
74,1.13,1.13,1.16,1.14,0.26,0.9,-1.93,3.18
75,1.25,1.13,1.22,1.14,0.26,0.96,-1.9,3.72
76,0.97,1.13,0.96,1.13,0.26,0.7,-1.9,1.63
77,1.28,1.13,1.0,1.13,0.64,0.49,1.15,-0.05
78,1.06,1.13,1.24,1.13,0.81,0.3,2.48,-1.63
79,1.28,1.13,1.22,1.14,1.17,0.1,5.36,-3.19
80,1.01,1.13,1.21,1.14,1.01,0.0,4.06,-4.0
81,1.02,1.13,1.24,1.14,1.02,0.0,4.15,-4.0
82,0.98,1.13,1.05,1.14,0.98,0.0,3.88,-4.0
83,1.24,1.13,1.15,1.14,1.24,0.0,5.94,-4.0
84,1.14,1.13,1.22,1.14,1.14,0.0,5.13,-4.0
85,1.21,1.13,1.06,1.14,0.9,0.27,3.23,-1.86
86,1.24,1.13,1.16,1.14,1.24,0.0,5.94,-4.0
87,1.13,1.13,1.1,1.14,1.13,0.0,5.04,-4.0
88,1.06,1.13,1.15,1.14,1.06,0.0,4.51,-4.0
89,1.16,1.13,0.97,1.13,1.09,0.06,4.73,-3.51
90,1.27,1.13,1.19,1.14,1.2,0.06,5.62,-3.53
91,1.12,1.13,1.23,1.14,0.67,0.49,1.39,-0.07
92,1.25,1.13,1.23,1.14,0.92,0.33,3.34,-1.36
93,1.05,1.13,1.28,1.14,0.87,0.23,2.93,-2.19
94,0.97,1.13,1.02,1.14,0.56,0.44,0.45,-0.5
95,1.23,1.13,1.09,1.14,0.74,0.44,1.9,-0.51
96,1.07,1.13,0.97,1.14,0.71,0.33,1.66,-1.34
97,1.21,1.13,1.14,1.14,0.94,0.25,3.53,-1.98
98,1.23,1.13,1.16,1.14,0.78,0.43,2.21,-0.56
99,0.96,1.13,1.21,1.14,0.84,0.15,2.71,-2.76
100,1.28,1.13,1.0,1.14,0.83,0.35,2.6,-1.18
101,1.16,1.13,1.12,1.14,1.05,0.11,4.39,-3.12
102,1.28,1.13,1.09,1.13,1.28,0.0,6.21,-4.0
103,1.09,1.13,1.03,1.13,1.09,0.0,4.69,-4.0
