t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,0.49,0.49,0.48,0.48,0.19,0.24,-0.08,0.75
1,0.49,0.49,0.45,0.46,0.11,0.16,-1.63,-0.74
2,0.42,0.46,0.51,0.48,0.16,0.21,-0.59,0.19
3,0.44,0.46,0.46,0.47,0.41,0.0,4.02,-3.62
4,0.43,0.45,0.49,0.48,0.7,0.0,9.3,-3.62
5,0.47,0.45,0.49,0.48,0.62,0.0,7.91,-3.62
6,0.49,0.46,0.46,0.48,0.39,0.18,3.51,-0.31
7,0.47,0.46,0.5,0.48,0.29,0.22,1.66,0.45
8,0.51,0.47,0.46,0.48,0.42,0.27,4.21,1.38
9,0.42,0.46,0.51,0.48,0.31,0.23,2.19,0.57
10,0.47,0.46,0.48,0.48,0.5,0.32,5.59,2.36
11,0.47,0.46,0.42,0.47,0.33,0.26,2.52,1.09
12,0.43,0.46,0.48,0.47,0.27,0.22,1.44,0.51
13,0.47,0.46,0.5,0.48,0.34,0.14,2.66,-1.05
14,0.47,0.46,0.47,0.48,0.24,0.0,0.77,-3.62
15,0.49,0.46,0.45,0.47,0.15,0.0,-0.85,-3.62
16,0.45,0.46,0.49,0.48,0.43,0.0,4.35,-3.62
17,0.49,0.46,0.44,0.47,0.5,0.0,5.6,-3.62
18,0.5,0.47,0.49,0.47,0.49,0.0,5.39,-3.62
19,0.45,0.47,0.47,0.47,0.38,0.0,3.39,-3.62
20,0.5,0.47,0.5,0.48,0.34,0.0,2.75,-3.62
21,0.42,0.46,0.47,0.48,0.42,0.0,4.07,-3.62
22,0.45,0.46,0.48,0.48,0.22,0.0,0.46,-3.62
23,0.44,0.46,0.47,0.48,0.04,0.0,-2.86,-3.62
24,0.49,0.46,0.43,0.47,0.07,0.0,-2.28,-3.62
25,0.44,0.46,0.46,0.47,0.19,0.0,-0.2,-3.62
26,0.51,0.46,0.46,0.47,0.41,0.0,4.03,-3.62
27,0.48,0.47,0.5,0.47,0.84,0.0,11.82,-3.62
28,0.49,0.47,0.47,0.47,0.74,0.0,10.1,-3.62
29,0.49,0.47,0.42,0.47,0.78,0.0,10.84,-3.62
