t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,1.89,1.89,1.47,1.47,0.09,0.37,-10.19,0.99
1,1.67,1.78,1.87,1.67,0.32,0.25,-1.2,-3.73
2,1.99,1.85,1.55,1.63,0.07,0.42,-10.98,2.97
3,1.61,1.79,1.41,1.57,0.14,0.27,-8.2,-3.07
4,1.61,1.75,1.83,1.62,0.39,0.14,1.87,-8.17
5,1.45,1.7,1.99,1.69,0.35,0.07,-0.07,-10.89
6,1.45,1.67,1.53,1.66,0.22,0.19,-5.14,-6.15
7,1.89,1.69,1.83,1.68,0.19,0.2,-6.17,-5.69
8,1.91,1.72,1.93,1.71,0.23,0.14,-4.76,-8.08
9,1.91,1.74,1.79,1.72,0.24,0.18,-4.31,-6.65
10,1.61,1.73,1.99,1.74,0.41,0.06,2.69,-11.37
11,1.43,1.7,1.91,1.76,0.34,0.05,-0.37,-11.71
12,1.47,1.68,1.83,1.76,0.34,0.07,-0.09,-10.97
13,1.61,1.68,1.53,1.75,0.32,0.18,-1.19,-6.52
14,1.89,1.69,1.81,1.75,0.42,0.16,2.86,-7.37
15,1.63,1.69,1.99,1.77,0.35,0.14,0.09,-8.33
16,1.69,1.69,1.57,1.75,0.26,0.23,-3.42,-4.6
17,1.77,1.69,1.71,1.75,0.27,0.29,-3.03,-2.29
18,1.75,1.7,1.95,1.76,0.47,0.11,4.78,-9.44
19,1.95,1.71,1.95,1.77,0.38,0.21,1.49,-5.4
20,1.45,1.7,1.51,1.76,0.17,0.28,-7.09,-2.8
21,1.85,1.7,1.93,1.77,0.23,0.39,-4.76,1.65
22,1.41,1.69,1.85,1.77,0.23,0.25,-4.47,-3.93
23,1.55,1.68,1.73,1.77,0.19,0.39,-6.26,1.62
24,1.43,1.67,1.53,1.76,0.11,0.35,-9.25,0.21
25,1.43,1.66,1.89,1.76,0.22,0.29,-5.04,-2.39
26,1.41,1.65,1.75,1.76,0.24,0.22,-4.13,-4.87
27,1.93,1.66,1.97,1.77,0.24,0.35,-4.06,-0.01
28,1.71,1.67,1.89,1.78,0.38,0.22,1.29,-4.94
29,1.99,1.68,1.43,1.76,0.07,0.36,-10.77,0.57
30,1.71,1.68,1.85,1.77,0.33,0.27,-0.6,-2.91
31,1.51,1.67,1.41,1.76,0.12,0.29,-8.99,-2.39
32,1.79,1.68,1.41,1.74,0.06,0.34,-11.51,-0.21
33,1.85,1.68,1.67,1.74,0.07,0.5,-10.87,6.15
34,1.99,1.69,1.97,1.75,0.18,0.43,-6.64,3.47
35,1.83,1.69,1.83,1.75,0.18,0.37,-6.58,0.72
36,1.97,1.7,1.69,1.75,0.12,0.39,-9.0,1.79
37,1.43,1.69,1.67,1.75,0.3,0.12,-1.84,-8.98
38,1.65,1.69,1.85,1.75,0.38,0.18,1.35,-6.57
39,1.77,1.69,1.51,1.74,0.23,0.27,-4.81,-2.95
40,1.71,1.7,1.55,1.74,0.31,0.21,-1.63,-5.44
41,1.93,1.7,1.93,1.74,0.49,0.11,5.86,-9.27
42,1.43,1.69,1.77,1.74,0.39,0.03,1.55,-12.55
43,1.61,1.69,1.43,1.74,0.33,0.15,-0.48,-7.92
44,1.79,1.69,1.53,1.73,0.38,0.2,1.47,-5.95
45,1.61,1.69,1.75,1.73,0.4,0.16,2.22,-7.44
46,1.45,1.69,1.65,1.73,0.34,0.12,-0.2,-9.01
47,1.63,1.69,1.53,1.73,0.24,0.29,-4.42,-2.45
48,1.93,1.69,1.57,1.72,0.15,0.41,-7.84,2.59
49,1.47,1.69,1.93,1.73,0.4,0.07,2.05,-10.79
50,1.69,1.69,1.53,1.72,0.17,0.36,-7.02,0.5
51,1.59,1.68,1.73,1.72,0.23,0.36,-4.66,0.52
52,1.43,1.68,1.99,1.73,0.34,0.08,-0.27,-10.49
53,1.99,1.69,1.95,1.73,0.27,0.27,-2.89,-2.91
54,1.85,1.69,1.55,1.73,0.08,0.4,-10.44,2.24
55,1.93,1.69,1.95,1.73,0.18,0.33,-6.73,-0.63
56,1.71,1.69,1.55,1.73,0.18,0.33,-6.53,-0.51
57,1.79,1.7,1.43,1.73,0.1,0.31,-9.63,-1.28
58,1.41,1.69,1.55,1.72,0.3,0.1,-1.87,-9.7
59,1.57,1.69,1.73,1.72,0.35,0.17,0.24,-6.95
60,1.57,1.69,1.71,1.72,0.39,0.12,1.8,-8.98
61,1.79,1.69,1.61,1.72,0.37,0.19,1.04,-6.02
62,1.45,1.68,1.43,1.72,0.32,0.08,-1.22,-10.45
63,1.93,1.69,1.51,1.71,0.2,0.28,-5.84,-2.82
64,1.73,1.69,1.61,1.71,0.3,0.19,-1.86,-6.15
65,1.53,1.69,1.65,1.71,0.37,0.1,0.78,-9.73
66,1.59,1.68,1.57,1.71,0.39,0.12,1.71,-9.0
67,1.45,1.68,1.45,1.7,0.32,0.1,-1.22,-9.76
68,1.69,1.68,1.65,1.7,0.49,0.1,5.79,-9.77
69,1.87,1.68,1.83,1.7,0.58,0.06,9.3,-11.25
70,1.75,1.68,1.73,1.71,0.5,0.11,5.87,-9.27
71,1.81,1.69,1.41,1.7,0.29,0.21,-2.26,-5.41
72,1.87,1.69,1.43,1.7,0.17,0.28,-6.87,-2.75
73,1.95,1.69,1.45,1.69,0.18,0.28,-6.49,-2.53
74,1.69,1.69,1.79,1.7,0.38,0.18,1.24,-6.48
75,1.89,1.7,1.43,1.69,0.12,0.32,-8.83,-0.87
76,1.51,1.69,1.57,1.69,0.27,0.21,-3.06,-5.51
77,1.61,1.69,1.59,1.69,0.22,0.3,-5.02,-1.97
78,1.71,1.69,1.79,1.69,0.35,0.24,0.27,-4.05
79,1.59,1.69,1.77,1.69,0.34,0.21,-0.24,-5.29
80,1.99,1.69,1.89,1.69,0.17,0.48,-7.14,5.28
81,1.57,1.69,1.57,1.69,0.2,0.33,-5.92,-0.77
82,1.91,1.7,1.91,1.69,0.24,0.5,-4.4,6.23
83,1.43,1.69,1.97,1.7,0.29,0.22,-2.34,-5.15
84,1.75,1.69,1.81,1.7,0.28,0.34,-2.55,-0.09
85,1.43,1.69,1.63,1.7,0.27,0.18,-3.07,-6.49
86,1.97,1.69,1.61,1.7,0.23,0.37,-4.56,1.11
87,1.49,1.69,1.99,1.7,0.41,0.08,2.48,-10.61
88,1.89,1.69,1.81,1.7,0.26,0.41,-3.51,2.42
89,1.41,1.69,1.69,1.7,0.24,0.24,-4.2,-4.14
90,1.61,1.69,1.97,1.7,0.43,0.18,3.22,-6.74
