t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,1.22,1.22,1.01,1.01,0.48,0.61,-0.16,0.89
1,1.15,1.19,1.1,1.05,0.54,0.58,0.35,0.63
2,1.21,1.19,1.19,1.1,0.59,0.61,0.73,0.85
3,1.18,1.19,1.21,1.12,0.61,0.58,0.86,0.67
4,1.06,1.16,1.0,1.1,0.5,0.53,-0.03,0.25
5,0.97,1.13,1.02,1.09,0.51,0.49,0.07,-0.11
6,1.04,1.12,1.27,1.11,0.64,0.49,1.1,-0.07
7,1.04,1.11,1.04,1.1,0.52,0.52,0.16,0.16
8,1.19,1.12,1.02,1.09,0.49,0.59,-0.05,0.76
9,1.14,1.12,1.1,1.09,0.55,0.57,0.36,0.58
10,1.23,1.13,1.07,1.09,0.52,0.62,0.15,0.97
11,0.96,1.12,0.96,1.08,0.48,0.48,-0.15,-0.15
12,1.29,1.13,1.16,1.09,0.56,0.65,0.52,1.23
13,1.15,1.13,1.09,1.09,0.54,0.58,0.3,0.64
14,1.22,1.14,1.28,1.1,0.64,0.6,1.15,0.82
15,1.1,1.13,1.14,1.1,0.57,0.55,0.58,0.36
16,1.07,1.13,1.19,1.11,0.6,0.53,0.78,0.21
17,1.01,1.12,0.96,1.1,0.48,0.5,-0.15,0.02
18,1.25,1.13,1.03,1.1,0.49,0.63,-0.11,1.04
19,1.28,1.14,1.23,1.1,0.61,0.64,0.88,1.15
20,1.28,1.15,1.03,1.1,0.48,0.64,-0.15,1.13
21,1.09,1.14,1.12,1.1,0.56,0.54,0.49,0.33
22,1.16,1.14,1.09,1.1,0.54,0.59,0.29,0.68
23,1.01,1.14,1.21,1.1,0.61,0.48,0.84,-0.14
24,1.06,1.13,0.96,1.1,0.48,0.53,-0.18,0.24
25,1.29,1.14,1.01,1.09,0.46,0.64,-0.29,1.16
26,1.29,1.15,1.23,1.1,0.61,0.65,0.86,1.2
27,1.01,1.14,1.06,1.1,0.53,0.5,0.26,0.02
28,1.19,1.14,1.11,1.1,0.55,0.6,0.37,0.78
29,1.28,1.15,1.25,1.1,0.62,0.64,0.99,1.13
30,1.21,1.15,1.09,1.1,0.53,0.61,0.24,0.88
31,1.09,1.15,1.11,1.1,0.56,0.54,0.44,0.33
32,1.23,1.15,1.14,1.1,0.56,0.62,0.48,0.98
33,1.19,1.15,1.03,1.1,0.5,0.6,0.0,0.77
34,1.06,1.15,1.24,1.11,0.63,0.51,1.02,0.08
35,1.1,1.15,1.01,1.1,0.5,0.55,-0.01,0.39
36,1.03,1.14,1.27,1.11,0.64,0.48,1.09,-0.13
37,1.25,1.15,1.27,1.11,0.63,0.63,1.07,1.0
38,1.27,1.15,1.1,1.11,0.53,0.64,0.21,1.13
39,1.02,1.15,1.16,1.11,0.58,0.5,0.67,-0.02
40,1.24,1.15,1.18,1.11,0.58,0.63,0.64,1.02
41,1.24,1.15,1.21,1.12,0.6,0.62,0.8,1.0
42,1.07,1.15,1.21,1.12,0.61,0.52,0.88,0.19
43,1.29,1.15,1.05,1.12,0.49,0.65,-0.06,1.2
44,1.11,1.15,1.25,1.12,0.63,0.54,1.08,0.28
45,1.01,1.15,1.22,1.12,0.61,0.48,0.89,-0.16
46,1.01,1.15,1.25,1.13,0.63,0.47,1.02,-0.22
47,1.13,1.14,1.06,1.12,0.53,0.57,0.22,0.54
48,1.09,1.14,1.25,1.13,0.63,0.52,1.07,0.17
49,1.16,1.14,1.25,1.13,0.63,0.57,1.07,0.57
50,0.97,1.14,1.15,1.13,0.57,0.47,0.59,-0.21
51,1.24,1.14,1.25,1.13,0.63,0.62,1.03,0.96
52,1.16,1.14,1.2,1.13,0.6,0.58,0.81,0.63
53,1.21,1.14,1.03,1.13,0.5,0.61,-0.03,0.86
54,0.96,1.14,1.09,1.13,0.54,0.48,0.32,-0.19
55,1.03,1.14,0.96,1.13,0.48,0.51,-0.16,0.11
56,1.1,1.14,1.29,1.13,0.65,0.52,1.22,0.17
57,1.09,1.14,1.24,1.13,0.63,0.52,1.02,0.19
58,1.0,1.13,1.14,1.13,0.57,0.49,0.56,-0.1
59,1.04,1.13,1.2,1.13,0.6,0.5,0.82,0.04
60,1.29,1.14,1.01,1.13,0.46,0.64,-0.29,1.16
61,1.29,1.14,1.13,1.13,0.54,0.65,0.34,1.23
62,1.13,1.14,1.04,1.13,0.51,0.57,0.12,0.54
63,1.16,1.14,1.16,1.13,0.58,0.58,0.66,0.66
64,0.98,1.14,1.04,1.13,0.52,0.49,0.16,-0.07
65,1.23,1.14,1.15,1.13,0.57,0.62,0.54,0.97
66,1.16,1.14,0.98,1.13,0.48,0.58,-0.18,0.65
67,1.02,1.14,1.21,1.13,0.61,0.49,0.85,-0.09
68,1.06,1.14,1.11,1.13,0.56,0.53,0.44,0.23
69,1.12,1.14,1.09,1.13,0.54,0.56,0.33,0.49
70,1.03,1.13,1.27,1.13,0.64,0.48,1.09,-0.13
71,1.0,1.13,1.22,1.13,0.61,0.47,0.88,-0.21
72,1.04,1.13,1.27,1.13,0.64,0.49,1.1,-0.07
73,1.29,1.13,1.03,1.13,0.48,0.65,-0.18,1.18
74,1.06,1.13,1.04,1.13,0.52,0.53,0.16,0.26
75,1.27,1.13,1.01,1.13,0.47,0.63,-0.24,1.07
76,1.07,1.13,1.14,1.13,0.57,0.53,0.59,0.26
77,1.19,1.13,1.02,1.13,0.49,0.59,-0.05,0.76
78,1.09,1.13,1.23,1.13,0.62,0.53,0.98,0.21
79,1.1,1.13,1.12,1.13,0.56,0.55,0.49,0.38
80,1.02,1.13,0.98,1.13,0.49,0.51,-0.06,0.07
81,1.25,1.13,1.1,1.13,0.53,0.63,0.23,1.08
82,1.23,1.13,1.29,1.13,0.65,0.61,1.2,0.86
83,1.14,1.13,1.05,1.13,0.52,0.57,0.16,0.59
84,1.29,1.14,1.05,1.13,0.49,0.65,-0.06,1.2
85,1.02,1.13,1.15,1.13,0.58,0.5,0.62,-0.01
86,1.01,1.13,1.15,1.13,0.58,0.49,0.62,-0.06
87,1.2,1.13,0.98,1.13,0.47,0.6,-0.23,0.78
88,1.05,1.13,1.21,1.13,0.61,0.51,0.87,0.08
89,1.24,1.13,1.01,1.13,0.48,0.62,-0.2,0.98
90,1.18,1.13,1.2,1.13,0.6,0.59,0.81,0.68
91,1.29,1.14,1.06,1.13,0.5,0.65,-0.0,1.21
92,1.25,1.14,1.19,1.13,0.58,0.63,0.68,1.07
93,1.04,1.14,0.97,1.12,0.49,0.52,-0.12,0.16
94,1.13,1.14,1.13,1.12,0.57,0.57,0.52,0.52
95,1.27,1.14,1.12,1.12,0.54,0.64,0.32,1.13
96,1.11,1.14,1.2,1.13,0.6,0.55,0.83,0.36
97,1.09,1.14,0.98,1.12,0.49,0.54,-0.09,0.34
98,1.27,1.14,1.0,1.12,0.46,0.63,-0.3,1.06
99,1.28,1.14,1.22,1.12,0.6,0.64,0.82,1.15
100,1.25,1.14,1.25,1.12,0.63,0.63,1.02,1.02
101,1.2,1.14,1.09,1.12,0.53,0.6,0.25,0.83
102,0.96,1.14,1.13,1.12,0.56,0.47,0.5,-0.24
103,1.0,1.14,1.02,1.12,0.51,0.5,0.07,-0.02
