t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,1.51,1.51,1.75,1.75,0.33,0.19,0.97,-0.32
1,1.89,1.7,1.43,1.59,0.11,0.34,-0.99,1.01
2,1.89,1.76,1.59,1.59,0.18,0.39,-0.4,1.5
3,1.53,1.7,1.57,1.58,0.26,0.24,0.35,0.16
4,1.59,1.68,1.81,1.63,0.37,0.21,1.26,-0.14
5,1.73,1.69,1.55,1.61,0.21,0.33,-0.08,0.96
6,1.51,1.66,1.45,1.59,0.21,0.24,-0.11,0.11
7,1.67,1.66,1.69,1.6,0.31,0.29,0.72,0.59
8,1.45,1.64,1.47,1.59,0.22,0.21,-0.03,-0.1
9,1.83,1.66,1.75,1.6,0.29,0.36,0.56,1.18
10,1.77,1.67,1.89,1.63,0.38,0.27,1.39,0.43
11,1.55,1.66,1.93,1.66,0.4,0.15,1.52,-0.68
12,1.73,1.66,1.41,1.64,0.15,0.3,-0.67,0.64
13,1.73,1.67,1.65,1.64,0.27,0.33,0.39,0.93
14,1.89,1.68,1.47,1.63,0.12,0.36,-0.86,1.18
15,1.53,1.67,1.73,1.63,0.33,0.2,0.94,-0.17
16,1.55,1.67,1.55,1.63,0.25,0.25,0.26,0.26
17,1.45,1.65,1.55,1.62,0.25,0.21,0.24,-0.15
18,1.53,1.65,1.79,1.63,0.35,0.18,1.12,-0.34
19,1.93,1.66,1.87,1.64,0.31,0.37,0.73,1.25
20,1.87,1.67,1.77,1.65,0.28,0.37,0.51,1.31
21,1.47,1.66,1.75,1.65,0.32,0.17,0.88,-0.48
22,1.89,1.67,1.41,1.64,0.1,0.33,-1.05,0.92
23,1.45,1.66,1.73,1.65,0.31,0.16,0.77,-0.52
24,1.45,1.65,1.57,1.64,0.26,0.2,0.31,-0.18
25,1.57,1.65,1.81,1.65,0.36,0.2,1.24,-0.23
26,1.81,1.66,1.51,1.64,0.17,0.35,-0.49,1.13
27,1.81,1.66,1.57,1.64,0.2,0.36,-0.23,1.24
28,1.81,1.67,1.71,1.64,0.27,0.36,0.44,1.18
29,1.51,1.66,1.63,1.64,0.29,0.22,0.57,-0.02
30,1.85,1.67,1.65,1.64,0.22,0.38,0.01,1.4
31,1.53,1.66,1.57,1.64,0.26,0.24,0.35,0.16
32,1.65,1.66,1.93,1.65,0.41,0.19,1.67,-0.28
33,1.49,1.66,1.45,1.64,0.21,0.23,-0.1,0.04
34,1.73,1.66,1.55,1.64,0.21,0.33,-0.08,0.96
35,1.75,1.66,1.43,1.64,0.15,0.31,-0.64,0.76
36,1.61,1.66,1.45,1.63,0.19,0.27,-0.25,0.44
37,1.43,1.65,1.47,1.63,0.22,0.2,-0.04,-0.17
38,1.67,1.66,1.99,1.64,0.43,0.18,1.85,-0.41
39,1.49,1.65,1.69,1.64,0.31,0.19,0.75,-0.25
