t,firm1_price,firm1_price_rolling_average,firm2_price,firm2_price_rolling_average,firm1_profit,firm2_profit,firm1_delta,firm2_delta
0,0.42,0.42,0.45,0.45,0.2,0.19,0.05,-0.02
1,0.5,0.46,0.49,0.47,0.2,0.2,0.03,0.12
2,0.49,0.47,0.46,0.46,0.19,0.2,-0.02,0.13
3,0.51,0.48,0.46,0.46,0.19,0.2,-0.05,0.16
4,0.48,0.48,0.48,0.47,0.2,0.2,0.07,0.07
5,0.48,0.48,0.46,0.47,0.2,0.2,0.02,0.09
6,0.42,0.47,0.49,0.47,0.2,0.19,0.13,-0.1
7,0.49,0.48,0.49,0.47,0.2,0.2,0.08,0.08
8,0.49,0.48,0.48,0.47,0.2,0.2,0.04,0.1
9,0.5,0.48,0.49,0.48,0.2,0.2,0.07,0.08
10,0.5,0.48,0.46,0.47,0.19,0.2,-0.04,0.16
11,0.44,0.48,0.49,0.47,0.2,0.19,0.12,-0.04
12,0.48,0.48,0.5,0.48,0.2,0.2,0.12,0.02
13,0.42,0.47,0.44,0.47,0.2,0.2,0.02,-0.01
14,0.49,0.48,0.42,0.47,0.19,0.2,-0.08,0.12
15,0.47,0.47,0.43,0.47,0.19,0.2,-0.02,0.09
16,0.48,0.47,0.5,0.47,0.2,0.2,0.12,0.02
17,0.44,0.47,0.43,0.47,0.2,0.2,-0.01,0.03
18,0.42,0.47,0.43,0.47,0.2,0.19,0.01,-0.02
19,0.5,0.47,0.43,0.46,0.19,0.2,-0.09,0.15
20,0.49,0.47,0.48,0.46,0.2,0.2,0.04,0.1
21,0.49,0.47,0.48,0.47,0.2,0.2,0.04,0.1
22,0.47,0.47,0.48,0.47,0.2,0.2,0.09,0.05
23,0.45,0.47,0.49,0.47,0.2,0.2,0.12,-0.01
24,0.43,0.47,0.48,0.47,0.2,0.19,0.11,-0.06
25,0.47,0.47,0.45,0.47,0.2,0.2,0.01,0.08
26,0.47,0.47,0.49,0.47,0.2,0.2,0.12,0.0
27,0.46,0.47,0.49,0.47,0.2,0.2,0.11,0.02
28,0.51,0.47,0.43,0.47,0.19,0.2,-0.12,0.17
29,0.5,0.47,0.46,0.47,0.19,0.2,-0.04,0.16
30,0.47,0.47,0.5,0.47,0.2,0.2,0.13,0.0
31,0.47,0.47,0.42,0.47,0.19,0.2,-0.06,0.09
32,0.49,0.47,0.48,0.47,0.2,0.2,0.05,0.09
33,0.42,0.47,0.43,0.47,0.2,0.2,0.01,-0.02
34,0.49,0.47,0.51,0.47,0.2,0.2,0.11,0.03
35,0.43,0.47,0.46,0.47,0.2,0.2,0.07,-0.01
36,0.46,0.47,0.42,0.47,0.19,0.2,-0.03,0.06
37,0.42,0.47,0.49,0.47,0.2,0.19,0.11,-0.09
38,0.49,0.47,0.48,0.47,0.2,0.2,0.05,0.09
39,0.45,0.47,0.48,0.47,0.2,0.2,0.1,0.01
40,0.46,0.47,0.47,0.47,0.2,0.2,0.07,0.04
41,0.5,0.47,0.43,0.47,0.19,0.2,-0.09,0.15
42,0.49,0.47,0.44,0.47,0.19,0.2,-0.03,0.13
43,0.45,0.47,0.47,0.47,0.2,0.2,0.07,0.02
44,0.48,0.47,0.5,0.47,0.2,0.2,0.12,0.03
45,0.46,0.47,0.44,0.47,0.2,0.2,-0.0,0.07
46,0.49,0.47,0.44,0.46,0.19,0.2,-0.04,0.13
47,0.49,0.47,0.44,0.46,0.19,0.2,-0.04,0.13
48,0.43,0.47,0.44,0.46,0.2,0.2,0.03,0.0
49,0.43,0.47,0.46,0.46,0.2,0.2,0.07,-0.01
50,0.48,0.47,0.48,0.46,0.2,0.2,0.06,0.07
51,0.51,0.47,0.49,0.46,0.2,0.2,0.02,0.13
52,0.46,0.47,0.47,0.46,0.2,0.2,0.08,0.03
53,0.49,0.47,0.42,0.46,0.19,0.2,-0.09,0.13
54,0.42,0.47,0.46,0.46,0.2,0.19,0.06,-0.04
55,0.42,0.47,0.51,0.46,0.2,0.19,0.16,-0.15
56,0.5,0.47,0.47,0.46,0.2,0.2,0.0,0.13
57,0.44,0.47,0.42,0.46,0.19,0.2,-0.02,0.02
58,0.48,0.47,0.49,0.46,0.2,0.2,0.08,0.06
59,0.47,0.47,0.44,0.46,0.2,0.2,-0.01,0.09
60,0.43,0.47,0.49,0.46,0.2,0.19,0.13,-0.07
61,0.47,0.47,0.44,0.46,0.2,0.2,-0.0,0.09
62,0.51,0.47,0.43,0.46,0.19,0.21,-0.14,0.17
63,0.49,0.47,0.48,0.46,0.2,0.2,0.06,0.08
64,0.44,0.47,0.43,0.46,0.2,0.2,0.01,0.02
65,0.45,0.47,0.51,0.46,0.2,0.19,0.17,-0.08
66,0.43,0.47,0.48,0.46,0.2,0.19,0.1,-0.05
67,0.49,0.47,0.44,0.46,0.19,0.2,-0.03,0.13
68,0.45,0.47,0.46,0.46,0.2,0.2,0.05,0.04
69,0.47,0.47,0.43,0.46,0.2,0.2,-0.02,0.08
70,0.44,0.47,0.51,0.46,0.21,0.19,0.17,-0.09
71,0.44,0.47,0.5,0.46,0.2,0.19,0.15,-0.08
72,0.48,0.47,0.46,0.46,0.2,0.2,0.03,0.09
73,0.44,0.47,0.49,0.46,0.2,0.19,0.14,-0.05
74,0.45,0.47,0.43,0.46,0.2,0.2,-0.0,0.04
75,0.43,0.47,0.49,0.46,0.2,0.19,0.13,-0.08
76,0.45,0.47,0.42,0.46,0.19,0.2,-0.04,0.05
77,0.51,0.47,0.5,0.46,0.2,0.2,0.06,0.09
78,0.42,0.47,0.47,0.46,0.2,0.19,0.09,-0.05
79,0.47,0.47,0.49,0.47,0.2,0.2,0.11,0.02
80,0.45,0.47,0.43,0.46,0.2,0.2,0.0,0.04
81,0.51,0.47,0.49,0.46,0.2,0.2,0.03,0.12
82,0.47,0.47,0.45,0.46,0.2,0.2,0.02,0.08
83,0.42,0.47,0.49,0.47,0.2,0.19,0.13,-0.1
84,0.47,0.47,0.49,0.47,0.2,0.2,0.11,0.02
85,0.48,0.47,0.44,0.47,0.19,0.2,-0.02,0.1
86,0.42,0.47,0.46,0.46,0.2,0.19,0.05,-0.04
87,0.45,0.46,0.46,0.46,0.2,0.2,0.06,0.03
88,0.5,0.47,0.48,0.47,0.2,0.2,0.01,0.13
89,0.51,0.47,0.44,0.46,0.19,0.21,-0.09,0.17
90,0.48,0.47,0.42,0.46,0.19,0.2,-0.07,0.11
91,0.46,0.47,0.51,0.46,0.2,0.19,0.16,-0.04
92,0.47,0.47,0.47,0.46,0.2,0.2,0.05,0.07
93,0.5,0.47,0.42,0.46,0.19,0.2,-0.12,0.14
94,0.45,0.47,0.42,0.46,0.2,0.2,-0.02,0.04
95,0.49,0.47,0.47,0.46,0.2,0.2,0.03,0.11
96,0.44,0.47,0.47,0.46,0.2,0.2,0.08,0.01
97,0.48,0.47,0.49,0.46,0.2,0.2,0.1,0.04
98,0.49,0.47,0.44,0.46,0.19,0.2,-0.03,0.12
99,0.5,0.47,0.5,0.46,0.2,0.2,0.07,0.08
100,0.49,0.47,0.47,0.46,0.2,0.2,0.03,0.1
101,0.51,0.47,0.51,0.46,0.2,0.2,0.07,0.07
102,0.42,0.47,0.51,0.47,0.2,0.19,0.16,-0.13
103,0.5,0.47,0.48,0.47,0.2,0.2,0.02,0.12
104,0.48,0.47,0.5,0.47,0.2,0.2,0.12,0.03
105,0.42,0.47,0.44,0.47,0.2,0.19,0.03,-0.03
106,0.48,0.47,0.5,0.47,0.2,0.2,0.12,0.02
107,0.46,0.47,0.43,0.47,0.19,0.2,-0.02,0.07
108,0.44,0.47,0.43,0.47,0.2,0.2,-0.01,0.02
109,0.48,0.47,0.48,0.47,0.2,0.2,0.07,0.07
110,0.43,0.47,0.44,0.47,0.2,0.2,0.03,0.0
111,0.43,0.47,0.5,0.47,0.2,0.19,0.16,-0.1
112,0.42,0.47,0.43,0.47,0.2,0.19,0.0,-0.02
113,0.44,0.47,0.46,0.47,0.2,0.2,0.06,0.0
114,0.45,0.47,0.5,0.47,0.2,0.19,0.15,-0.05
115,0.49,0.47,0.47,0.47,0.2,0.2,0.03,0.1
116,0.51,0.47,0.5,0.47,0.2,0.2,0.05,0.1
117,0.44,0.47,0.46,0.47,0.2,0.2,0.06,0.01
118,0.42,0.47,0.45,0.47,0.2,0.2,0.04,-0.02
119,0.47,0.47,0.42,0.47,0.19,0.2,-0.04,0.08
120,0.51,0.47,0.49,0.47,0.2,0.2,0.03,0.12
121,0.45,0.47,0.46,0.47,0.2,0.2,0.05,0.03
122,0.47,0.47,0.46,0.47,0.2,0.2,0.03,0.08
123,0.45,0.47,0.47,0.47,0.2,0.2,0.08,0.01
124,0.49,0.47,0.49,0.47,0.2,0.2,0.07,0.08
125,0.45,0.47,0.47,0.47,0.2,0.2,0.07,0.03
126,0.51,0.47,0.43,0.47,0.19,0.21,-0.12,0.18
127,0.51,0.47,0.48,0.47,0.2,0.2,0.0,0.14
128,0.49,0.47,0.44,0.47,0.19,0.2,-0.04,0.12
129,0.47,0.47,0.48,0.47,0.2,0.2,0.08,0.05
130,0.51,0.47,0.45,0.47,0.19,0.2,-0.07,0.17
131,0.5,0.47,0.46,0.46,0.19,0.2,-0.04,0.16
132,0.46,0.47,0.44,0.46,0.2,0.2,-0.0,0.07
133,0.46,0.47,0.44,0.46,0.2,0.2,0.01,0.07
134,0.45,0.47,0.44,0.46,0.2,0.2,0.02,0.04
135,0.49,0.47,0.45,0.46,0.2,0.2,-0.01,0.12
136,0.43,0.47,0.45,0.46,0.2,0.2,0.05,-0.0
137,0.44,0.47,0.45,0.46,0.2,0.2,0.05,0.02
138,0.45,0.47,0.42,0.46,0.19,0.2,-0.02,0.04
139,0.48,0.47,0.45,0.46,0.2,0.2,0.01,0.1
140,0.47,0.47,0.45,0.46,0.2,0.2,0.02,0.07
141,0.47,0.47,0.51,0.46,0.2,0.19,0.15,-0.03
142,0.46,0.47,0.49,0.46,0.2,0.2,0.11,0.02
143,0.48,0.47,0.42,0.46,0.19,0.2,-0.07,0.11
144,0.48,0.47,0.42,0.46,0.19,0.2,-0.07,0.11
145,0.46,0.47,0.45,0.46,0.2,0.2,0.03,0.07
146,0.46,0.47,0.42,0.46,0.19,0.2,-0.03,0.07
147,0.5,0.47,0.45,0.46,0.19,0.2,-0.03,0.14
148,0.49,0.47,0.44,0.46,0.19,0.2,-0.03,0.12
149,0.43,0.47,0.42,0.46,0.2,0.2,-0.01,0.01
150,0.5,0.47,0.47,0.46,0.2,0.2,-0.0,0.14
151,0.5,0.47,0.45,0.46,0.19,0.2,-0.05,0.15
152,0.47,0.47,0.51,0.46,0.2,0.19,0.16,-0.03
153,0.49,0.47,0.43,0.46,0.19,0.2,-0.07,0.12
154,0.45,0.47,0.47,0.46,0.2,0.2,0.08,0.02
155,0.51,0.47,0.43,0.46,0.19,0.2,-0.13,0.17
156,0.51,0.47,0.42,0.46,0.19,0.21,-0.14,0.17
157,0.49,0.47,0.43,0.46,0.19,0.2,-0.07,0.13
158,0.44,0.47,0.49,0.46,0.2,0.19,0.14,-0.06
159,0.44,0.47,0.5,0.46,0.2,0.19,0.16,-0.08
160,0.45,0.47,0.43,0.46,0.2,0.2,-0.01,0.04
161,0.45,0.47,0.45,0.46,0.2,0.2,0.04,0.03
162,0.46,0.47,0.48,0.46,0.2,0.2,0.09,0.03
163,0.45,0.47,0.48,0.46,0.2,0.2,0.11,0.0
