run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.14,1.13,,
2,1.13,1.13,,
3,1.13,1.14,1.13,1.13
4,1.14,1.14,1.13,1.14
5,1.14,1.14,1.14,1.14
6,1.14,1.13,1.14,1.14
7,1.14,1.14,1.14,1.14
8,1.14,1.13,1.14,1.13
9,1.13,1.13,1.14,1.13
10,1.12,1.13,1.13,1.13
11,1.14,1.14,1.13,1.13
12,1.13,1.13,1.13,1.13
13,1.14,1.14,1.14,1.14
14,1.13,1.14,1.13,1.14
15,1.13,1.13,1.13,1.14
16,1.13,1.13,1.13,1.13
17,1.13,1.14,1.13,1.13
18,1.15,1.14,1.14,1.14
19,1.14,1.14,1.14,1.14
20,1.13,1.13,1.14,1.14
21,1.14,1.14,1.14,1.14
22,1.14,1.13,1.14,1.13
23,1.14,1.14,1.14,1.14
24,1.13,1.14,1.14,1.14
25,1.14,1.13,1.14,1.14
26,1.14,1.13,1.14,1.13
27,1.13,1.12,1.14,1.13
28,1.13,1.12,1.13,1.12
29,1.13,1.14,1.13,1.13
30,1.13,1.14,1.13,1.13
31,1.14,1.12,1.13,1.13
32,1.13,1.14,1.13,1.13
33,1.14,1.14,1.14,1.13
34,1.14,1.14,1.14,1.14
35,1.13,1.14,1.14,1.14
36,1.13,1.13,1.13,1.14
37,1.14,1.14,1.13,1.14
38,1.13,1.13,1.13,1.13
39,1.14,1.14,1.14,1.14
40,1.14,1.12,1.14,1.13
41,1.14,1.13,1.14,1.13
42,1.13,1.14,1.14,1.13
43,1.13,1.14,1.13,1.14
44,1.13,1.13,1.13,1.14
45,1.14,1.13,1.13,1.13
46,1.14,1.13,1.14,1.13
47,1.14,1.14,1.14,1.13
48,1.14,1.13,1.14,1.13
49,1.15,1.14,1.14,1.14
50,1.13,1.13,1.14,1.13
