run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.13,1.13,,
2,1.13,1.13,,
3,1.13,1.13,1.13,1.13
4,1.14,1.14,1.13,1.13
5,1.13,1.14,1.13,1.14
6,1.13,1.14,1.13,1.14
7,1.13,1.13,1.13,1.14
8,1.14,1.13,1.13,1.13
9,1.13,1.13,1.13,1.13
10,1.13,1.13,1.13,1.13
11,1.13,1.13,1.13,1.13
12,1.12,1.13,1.13,1.13
13,1.14,1.14,1.13,1.13
14,1.14,1.14,1.13,1.14
15,1.13,1.13,1.14,1.14
16,1.14,1.14,1.14,1.14
17,1.13,1.13,1.13,1.13
18,1.13,1.13,1.13,1.13
19,1.13,1.12,1.13,1.13
20,1.14,1.13,1.13,1.13
21,1.13,1.14,1.13,1.13
22,1.14,1.13,1.14,1.13
23,1.14,1.13,1.14,1.13
24,1.14,1.14,1.14,1.13
25,1.13,1.14,1.14,1.14
26,1.13,1.14,1.13,1.14
27,1.13,1.13,1.13,1.14
28,1.13,1.13,1.13,1.13
29,1.13,1.13,1.13,1.13
30,1.13,1.13,1.13,1.13
31,1.14,1.13,1.13,1.13
32,1.13,1.14,1.13,1.13
33,1.14,1.14,1.14,1.14
34,1.13,1.14,1.13,1.14
35,1.13,1.13,1.13,1.14
36,1.14,1.14,1.13,1.14
37,1.12,1.13,1.13,1.13
38,1.13,1.13,1.13,1.13
39,1.13,1.13,1.13,1.13
40,1.14,1.14,1.13,1.13
41,1.14,1.14,1.14,1.14
42,1.13,1.14,1.14,1.14
43,1.14,1.13,1.14,1.14
44,1.14,1.13,1.14,1.13
45,1.14,1.14,1.14,1.13
46,1.13,1.13,1.14,1.13
47,1.13,1.14,1.13,1.14
48,1.12,1.12,1.13,1.13
49,1.14,1.13,1.13,1.13
50,1.13,1.13,1.13,1.13
