run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.69,1.7,,
2,1.69,1.69,,
3,1.69,1.69,1.69,1.69
4,1.68,1.69,1.69,1.69
5,1.7,1.7,1.69,1.69
6,1.69,1.69,1.69,1.69
7,1.69,1.69,1.69,1.69
8,1.68,1.68,1.69,1.69
9,1.69,1.7,1.69,1.69
10,1.7,1.7,1.69,1.69
11,1.69,1.69,1.69,1.7
12,1.7,1.7,1.7,1.7
13,1.69,1.69,1.69,1.69
14,1.69,1.7,1.69,1.7
15,1.71,1.69,1.7,1.69
16,1.7,1.7,1.7,1.7
17,1.7,1.7,1.7,1.7
18,1.7,1.68,1.7,1.69
19,1.68,1.69,1.69,1.69
20,1.7,1.7,1.69,1.69
21,1.69,1.68,1.69,1.69
22,1.69,1.69,1.69,1.69
23,1.69,1.68,1.69,1.68
24,1.68,1.7,1.69,1.69
25,1.7,1.69,1.69,1.69
26,1.69,1.69,1.69,1.69
27,1.69,1.7,1.69,1.69
28,1.68,1.7,1.69,1.7
29,1.7,1.7,1.69,1.7
30,1.7,1.7,1.69,1.7
31,1.68,1.69,1.69,1.7
32,1.69,1.71,1.69,1.7
33,1.69,1.68,1.69,1.69
34,1.7,1.7,1.69,1.7
35,1.69,1.7,1.69,1.69
36,1.7,1.69,1.7,1.7
37,1.68,1.7,1.69,1.7
38,1.7,1.69,1.69,1.69
39,1.7,1.69,1.69,1.69
40,1.68,1.69,1.69,1.69
41,1.7,1.71,1.69,1.7
42,1.69,1.7,1.69,1.7
43,1.69,1.69,1.69,1.7
44,1.7,1.69,1.69,1.69
45,1.69,1.69,1.69,1.69
46,1.69,1.69,1.69,1.69
47,1.69,1.7,1.69,1.69
48,1.7,1.69,1.69,1.69
49,1.69,1.68,1.69,1.69
50,1.7,1.7,1.7,1.69
