run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.7,1.7,,
2,1.69,1.68,,
3,1.7,1.7,1.7,1.69
4,1.69,1.69,1.69,1.69
5,1.69,1.7,1.69,1.7
6,1.69,1.7,1.69,1.7
7,1.7,1.69,1.69,1.7
8,1.7,1.68,1.7,1.69
9,1.7,1.69,1.7,1.69
10,1.69,1.69,1.7,1.69
11,1.7,1.7,1.7,1.69
12,1.7,1.7,1.7,1.7
13,1.69,1.69,1.7,1.7
14,1.69,1.69,1.69,1.69
15,1.69,1.69,1.69,1.69
16,1.69,1.69,1.69,1.69
17,1.68,1.7,1.69,1.69
18,1.69,1.71,1.69,1.7
19,1.69,1.69,1.69,1.7
20,1.7,1.68,1.69,1.69
21,1.7,1.7,1.7,1.69
22,1.69,1.69,1.7,1.69
23,1.71,1.69,1.7,1.69
24,1.69,1.69,1.7,1.69
25,1.69,1.69,1.7,1.69
26,1.7,1.7,1.69,1.69
27,1.69,1.69,1.69,1.69
28,1.7,1.69,1.7,1.69
29,1.69,1.69,1.69,1.69
30,1.69,1.69,1.69,1.69
31,1.69,1.69,1.69,1.69
32,1.69,1.71,1.69,1.7
33,1.7,1.69,1.69,1.7
34,1.69,1.69,1.69,1.7
35,1.69,1.7,1.69,1.69
36,1.69,1.7,1.69,1.7
37,1.69,1.69,1.69,1.7
38,1.69,1.69,1.69,1.69
39,1.69,1.69,1.69,1.69
40,1.69,1.69,1.69,1.69
41,1.7,1.69,1.69,1.69
42,1.69,1.69,1.69,1.69
43,1.7,1.69,1.7,1.69
44,1.7,1.69,1.7,1.69
45,1.68,1.69,1.69,1.69
46,1.69,1.68,1.69,1.69
47,1.7,1.69,1.69,1.69
48,1.7,1.69,1.7,1.69
49,1.7,1.68,1.7,1.69
50,1.68,1.7,1.69,1.69
