market,algorithm,shock,delta,rpdi
Logit,Q-Learning,No Shock,0.45,0.46
Logit,Q-Learning,No Shock,0.47,0.46
Logit,Q-Learning,No Shock,0.45,0.46
Logit,Q-Learning,No Shock,0.45,0.46
Logit,Q-Learning,No Shock,0.46,0.47
Logit,Q-Learning,No Shock,0.45,0.46
Logit,Q-Learning,No Shock,0.44,0.46
Hotelling,Q-Learning,No Shock,0.46,0.49
Hotelling,Q-Learning,No Shock,0.46,0.48
Hotelling,Q-Learning,No Shock,0.45,0.49
Hotelling,Q-Learning,No Shock,0.45,0.49
Hotelling,Q-Learning,No Shock,0.45,0.5
Hotelling,Q-Learning,No Shock,0.47,0.49
Hotelling,Q-Learning,No Shock,0.45,0.49
Linear,Q-Learning,No Shock,0.04,0.5
Linear,Q-Learning,No Shock,0.04,0.49
Linear,Q-Learning,No Shock,0.04,0.5
Linear,Q-Learning,No Shock,0.04,0.49
Linear,Q-Learning,No Shock,0.04,0.49
Linear,Q-Learning,No Shock,0.04,0.49
Linear,Q-Learning,No Shock,0.04,0.5
Logit,Q-Learning,Scheme A,-1.56,-0.39
Logit,Q-Learning,Scheme A,-1.32,-0.36
Logit,Q-Learning,Scheme A,-1.36,-0.37
Logit,Q-Learning,Scheme A,-1.17,-0.33
Logit,Q-Learning,Scheme A,-1.24,-0.35
Logit,Q-Learning,Scheme A,-1.38,-0.37
Logit,Q-Learning,Scheme A,-1.22,-0.33
Hotelling,Q-Learning,Scheme A,0.5,0.51
Hotelling,Q-Learning,Scheme A,0.49,0.51
Hotelling,Q-Learning,Scheme A,0.47,0.51
Hotelling,Q-Learning,Scheme A,0.48,0.51
Hotelling,Q-Learning,Scheme A,0.5,0.51
Hotelling,Q-Learning,Scheme A,0.49,0.51
Hotelling,Q-Learning,Scheme A,0.46,0.51
Linear,Q-Learning,Scheme A,0.7,0.51
Linear,Q-Learning,Scheme A,0.7,0.51
Linear,Q-Learning,Scheme A,0.71,0.51
Linear,Q-Learning,Scheme A,0.71,0.51
Linear,Q-Learning,Scheme A,0.73,0.51
Linear,Q-Learning,Scheme A,0.67,0.51
Linear,Q-Learning,Scheme A,0.7,0.51
Logit,Q-Learning,Scheme B,0.3,0.36
Logit,Q-Learning,Scheme B,0.26,0.35
Logit,Q-Learning,Scheme B,0.3,0.35
Logit,Q-Learning,Scheme B,0.27,0.35
Logit,Q-Learning,Scheme B,0.31,0.36
Logit,Q-Learning,Scheme B,0.29,0.36
Logit,Q-Learning,Scheme B,0.31,0.35
Hotelling,Q-Learning,Scheme B,0.44,0.5
Hotelling,Q-Learning,Scheme B,0.46,0.49
Hotelling,Q-Learning,Scheme B,0.5,0.49
Hotelling,Q-Learning,Scheme B,0.51,0.49
Hotelling,Q-Learning,Scheme B,0.45,0.5
Hotelling,Q-Learning,Scheme B,0.49,0.5
Hotelling,Q-Learning,Scheme B,0.43,0.49
Linear,Q-Learning,Scheme B,-0.06,0.5
Linear,Q-Learning,Scheme B,0.1,0.5
Linear,Q-Learning,Scheme B,0.11,0.5
Linear,Q-Learning,Scheme B,0.0,0.49
Linear,Q-Learning,Scheme B,0.07,0.5
Linear,Q-Learning,Scheme B,0.07,0.51
Linear,Q-Learning,Scheme B,0.01,0.5
Logit,Q-Learning,Scheme C,-2.67,-0.79
Logit,Q-Learning,Scheme C,-2.9,-0.82
Logit,Q-Learning,Scheme C,-2.57,-0.77
Logit,Q-Learning,Scheme C,-2.87,-0.8
Logit,Q-Learning,Scheme C,-2.88,-0.83
Logit,Q-Learning,Scheme C,-2.48,-0.79
Logit,Q-Learning,Scheme C,-2.73,-0.82
Hotelling,Q-Learning,Scheme C,0.43,0.51
Hotelling,Q-Learning,Scheme C,0.61,0.51
Hotelling,Q-Learning,Scheme C,0.49,0.52
Hotelling,Q-Learning,Scheme C,0.46,0.51
