run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.44,0.45,,
2,0.44,0.42,,
3,0.43,0.42,0.44,0.43
4,0.44,0.42,0.44,0.42
5,0.44,0.42,0.44,0.42
6,0.44,0.43,0.44,0.42
7,0.44,0.42,0.44,0.42
8,0.44,0.5,0.44,0.45
9,0.44,0.49,0.44,0.47
10,0.44,0.42,0.44,0.47
11,0.44,0.49,0.44,0.47
12,0.44,0.42,0.44,0.44
13,0.44,0.51,0.44,0.47
14,0.44,0.48,0.44,0.47
15,0.44,0.45,0.44,0.48
16,0.43,0.42,0.44,0.45
17,0.44,0.42,0.44,0.43
18,0.44,0.51,0.44,0.45
19,0.44,0.44,0.44,0.46
20,0.44,0.5,0.44,0.48
21,0.44,0.44,0.44,0.46
22,0.44,0.5,0.44,0.48
23,0.44,0.46,0.44,0.47
24,0.44,0.45,0.44,0.47
25,0.44,0.45,0.44,0.45
26,0.44,0.49,0.44,0.46
27,0.44,0.44,0.44,0.46
28,0.44,0.47,0.44,0.47
29,0.44,0.5,0.44,0.47
30,0.44,0.45,0.44,0.47
31,0.43,0.42,0.44,0.46
32,0.44,0.49,0.44,0.45
33,0.44,0.51,0.44,0.47
34,0.44,0.46,0.44,0.49
35,0.44,0.49,0.44,0.49
36,0.44,0.42,0.44,0.46
37,0.43,0.42,0.44,0.44
38,0.44,0.42,0.44,0.42
39,0.43,0.42,0.43,0.42
40,0.44,0.42,0.44,0.42
41,0.44,0.42,0.44,0.42
42,0.44,0.45,0.44,0.43
43,0.44,0.51,0.44,0.46
44,0.44,0.42,0.44,0.46
45,0.44,0.49,0.44,0.47
46,0.44,0.45,0.44,0.45
47,0.44,0.48,0.44,0.47
48,0.44,0.42,0.44,0.45
49,0.44,0.42,0.44,0.44
50,0.44,0.43,0.44,0.42
