run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.65,1.41,,
2,1.67,1.8,,
3,1.67,1.75,1.66,1.65
4,1.64,1.57,1.66,1.71
5,1.69,1.47,1.67,1.6
6,1.66,1.67,1.66,1.57
7,1.63,1.57,1.66,1.57
8,1.68,1.92,1.66,1.72
9,1.66,1.6,1.66,1.7
10,1.68,1.7,1.67,1.74
11,1.69,1.75,1.68,1.68
12,1.65,1.5,1.67,1.65
13,1.67,1.87,1.67,1.71
14,1.63,1.47,1.65,1.61
15,1.68,1.71,1.66,1.68
16,1.67,1.8,1.66,1.66
17,1.66,1.67,1.67,1.73
18,1.67,1.75,1.67,1.74
19,1.69,1.41,1.67,1.61
20,1.69,1.83,1.68,1.66
21,1.69,1.51,1.69,1.58
22,1.67,1.57,1.68,1.64
23,1.67,1.6,1.68,1.56
24,1.69,1.41,1.68,1.53
25,1.69,1.44,1.68,1.48
26,1.65,1.56,1.68,1.47
27,1.66,1.65,1.67,1.55
28,1.66,1.67,1.66,1.63
29,1.69,1.41,1.67,1.58
30,1.69,1.41,1.68,1.5
31,1.66,1.76,1.68,1.53
32,1.67,1.74,1.67,1.64
33,1.67,1.72,1.67,1.74
34,1.69,1.83,1.68,1.76
35,1.69,1.41,1.68,1.65
36,1.67,1.71,1.68,1.65
37,1.65,1.64,1.67,1.59
38,1.69,1.48,1.67,1.61
39,1.69,1.41,1.68,1.51
40,1.66,1.68,1.68,1.52
41,1.69,1.44,1.68,1.51
42,1.67,1.8,1.67,1.64
43,1.66,1.81,1.67,1.68
44,1.64,1.49,1.66,1.7
45,1.66,1.64,1.65,1.65
46,1.64,1.5,1.65,1.54
47,1.66,1.85,1.65,1.66
48,1.67,1.93,1.66,1.76
49,1.68,1.83,1.67,1.87
50,1.67,1.64,1.67,1.8
