run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.14,1.29,,
2,1.14,1.29,,
3,1.1,0.96,1.13,1.18
4,1.1,0.96,1.11,1.07
5,1.13,1.15,1.11,1.02
6,1.1,0.96,1.11,1.02
7,1.12,0.96,1.12,1.02
8,1.14,1.29,1.12,1.07
9,1.14,1.29,1.13,1.18
10,1.11,0.96,1.13,1.18
11,1.16,0.96,1.14,1.07
12,1.11,0.96,1.13,0.96
13,1.11,0.96,1.13,0.96
14,1.11,0.96,1.11,0.96
15,1.14,1.29,1.12,1.07
16,1.07,0.96,1.11,1.07
17,1.14,1.28,1.12,1.18
18,1.13,0.96,1.11,1.07
19,1.11,0.96,1.13,1.07
20,1.14,1.29,1.13,1.07
21,1.14,0.97,1.13,1.07
22,1.14,1.29,1.14,1.18
23,1.14,1.29,1.14,1.18
24,1.14,1.29,1.14,1.29
25,1.14,1.29,1.14,1.29
26,1.15,0.96,1.14,1.18
27,1.11,0.96,1.13,1.07
28,1.14,1.29,1.13,1.07
29,1.14,1.29,1.13,1.18
30,1.07,0.96,1.12,1.18
31,1.14,1.29,1.12,1.18
32,1.14,1.29,1.12,1.18
33,1.14,1.29,1.14,1.29
34,1.11,0.96,1.13,1.18
35,1.11,0.96,1.12,1.07
36,1.11,0.96,1.11,0.96
37,1.14,1.29,1.12,1.07
38,1.14,0.96,1.13,1.07
39,1.14,1.06,1.14,1.1
40,1.14,1.29,1.14,1.1
41,1.14,1.29,1.14,1.21
42,1.14,1.29,1.14,1.29
43,1.14,1.29,1.14,1.29
44,1.14,1.29,1.14,1.29
45,1.14,1.29,1.14,1.29
46,1.09,0.96,1.12,1.18
47,1.07,0.96,1.1,1.07
48,1.09,0.97,1.08,0.96
49,1.11,0.96,1.09,0.96
50,1.1,0.96,1.1,0.96
