run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.67,1.8,,
2,1.64,1.56,,
3,1.67,1.41,1.66,1.59
4,1.69,1.57,1.67,1.51
5,1.69,1.44,1.68,1.47
6,1.67,1.78,1.68,1.6
7,1.69,1.47,1.68,1.56
8,1.68,1.75,1.68,1.67
9,1.66,1.57,1.68,1.6
10,1.69,1.41,1.68,1.58
11,1.63,1.46,1.66,1.48
12,1.69,1.45,1.67,1.44
13,1.69,1.55,1.67,1.49
14,1.66,1.67,1.68,1.56
15,1.69,1.57,1.68,1.6
16,1.66,1.77,1.67,1.67
17,1.63,1.44,1.66,1.59
18,1.65,1.57,1.65,1.59
19,1.69,1.71,1.66,1.57
20,1.66,1.59,1.67,1.62
21,1.69,1.59,1.68,1.63
22,1.69,1.53,1.68,1.57
23,1.67,1.61,1.68,1.58
24,1.69,1.44,1.68,1.53
25,1.69,1.85,1.68,1.63
26,1.65,1.45,1.68,1.58
27,1.65,1.6,1.66,1.63
28,1.66,1.7,1.65,1.58
29,1.69,1.46,1.67,1.59
30,1.69,1.41,1.68,1.52
31,1.67,1.71,1.68,1.53
32,1.68,1.8,1.68,1.64
33,1.65,1.68,1.67,1.73
34,1.67,1.7,1.67,1.73
35,1.69,1.61,1.67,1.66
36,1.69,1.47,1.68,1.59
37,1.67,1.61,1.68,1.56
38,1.69,1.47,1.68,1.52
39,1.69,1.73,1.68,1.6
40,1.69,1.58,1.69,1.59
41,1.69,1.62,1.69,1.64
42,1.69,1.57,1.69,1.59
43,1.69,1.47,1.69,1.55
44,1.69,1.49,1.69,1.51
45,1.69,1.46,1.69,1.47
46,1.68,1.65,1.69,1.53
47,1.68,1.71,1.68,1.61
48,1.68,1.61,1.68,1.66
49,1.69,1.54,1.68,1.62
50,1.66,1.59,1.68,1.58
