run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.44,0.51,,
2,0.44,0.47,,
3,0.44,0.51,0.44,0.5
4,0.44,0.43,0.44,0.47
5,0.44,0.51,0.44,0.48
6,0.44,0.42,0.44,0.45
7,0.44,0.42,0.44,0.45
8,0.44,0.48,0.44,0.44
9,0.44,0.51,0.44,0.47
10,0.44,0.5,0.44,0.5
11,0.44,0.51,0.44,0.51
12,0.44,0.42,0.44,0.48
13,0.44,0.51,0.44,0.48
14,0.44,0.51,0.44,0.48
15,0.44,0.51,0.44,0.51
16,0.44,0.48,0.44,0.5
17,0.44,0.46,0.44,0.48
18,0.44,0.51,0.44,0.48
19,0.44,0.49,0.44,0.49
20,0.44,0.42,0.44,0.47
21,0.43,0.42,0.44,0.44
22,0.44,0.51,0.44,0.45
23,0.44,0.51,0.44,0.48
24,0.44,0.45,0.44,0.49
25,0.44,0.51,0.44,0.49
26,0.44,0.51,0.44,0.49
27,0.44,0.42,0.44,0.48
28,0.44,0.51,0.44,0.48
29,0.44,0.51,0.44,0.48
30,0.44,0.42,0.44,0.48
31,0.44,0.51,0.44,0.48
32,0.44,0.51,0.44,0.48
33,0.44,0.42,0.44,0.48
34,0.44,0.42,0.44,0.45
35,0.44,0.42,0.44,0.42
36,0.44,0.42,0.44,0.42
37,0.44,0.42,0.44,0.42
38,0.44,0.51,0.44,0.45
39,0.44,0.48,0.44,0.47
40,0.43,0.43,0.44,0.47
41,0.44,0.51,0.44,0.47
42,0.44,0.49,0.44,0.48
43,0.43,0.42,0.44,0.47
44,0.44,0.51,0.44,0.47
45,0.43,0.42,0.43,0.45
46,0.44,0.51,0.44,0.48
47,0.44,0.42,0.44,0.45
48,0.44,0.51,0.44,0.48
49,0.44,0.51,0.44,0.48
50,0.44,0.5,0.44,0.51
