run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.14,1.15,,
2,1.14,1.19,,
3,1.14,1.29,1.14,1.21
4,1.12,0.96,1.13,1.15
5,1.11,0.96,1.12,1.07
6,1.14,1.29,1.12,1.07
7,1.1,0.96,1.12,1.07
8,1.14,1.29,1.13,1.18
9,1.12,1.01,1.12,1.09
10,1.14,1.29,1.13,1.2
11,1.14,1.29,1.13,1.2
12,1.14,1.09,1.14,1.22
13,1.1,0.96,1.13,1.11
14,1.1,0.96,1.11,1.0
15,1.09,0.96,1.1,0.96
16,1.11,0.96,1.1,0.96
17,1.1,0.96,1.1,0.96
18,1.14,1.29,1.12,1.07
19,1.14,0.96,1.13,1.07
20,1.14,1.29,1.14,1.18
21,1.14,1.29,1.14,1.18
22,1.14,1.29,1.14,1.29
23,1.14,1.29,1.14,1.29
24,1.14,1.29,1.14,1.29
25,1.14,1.29,1.14,1.29
26,1.14,1.29,1.14,1.29
27,1.1,1.09,1.13,1.22
28,1.14,1.29,1.13,1.22
29,1.14,1.29,1.13,1.22
30,1.14,1.29,1.14,1.29
31,1.14,1.29,1.14,1.29
32,1.14,1.29,1.14,1.29
33,1.14,1.29,1.14,1.29
34,1.1,1.0,1.13,1.19
35,1.14,1.29,1.13,1.19
36,1.09,0.96,1.11,1.08
37,1.13,0.96,1.12,1.07
38,1.14,1.29,1.12,1.07
39,1.14,1.29,1.14,1.18
40,1.14,1.29,1.14,1.29
41,1.14,1.29,1.14,1.29
42,1.14,1.22,1.14,1.27
43,1.14,1.29,1.14,1.27
44,1.13,0.96,1.14,1.16
45,1.1,0.96,1.12,1.07
46,1.11,0.96,1.11,0.96
47,1.14,1.29,1.12,1.07
48,1.1,0.96,1.12,1.07
49,1.14,1.19,1.13,1.15
50,1.12,0.97,1.12,1.04
