run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.44,0.5,,
2,0.44,0.5,,
3,0.44,0.5,0.44,0.5
4,0.44,0.5,0.44,0.5
5,0.44,0.42,0.44,0.47
6,0.44,0.49,0.44,0.47
7,0.44,0.45,0.44,0.45
8,0.44,0.43,0.44,0.46
9,0.44,0.51,0.44,0.46
10,0.44,0.5,0.44,0.48
11,0.44,0.43,0.44,0.48
12,0.44,0.5,0.44,0.48
13,0.44,0.42,0.44,0.45
14,0.44,0.42,0.44,0.45
15,0.44,0.43,0.44,0.42
16,0.44,0.5,0.44,0.45
17,0.44,0.44,0.44,0.46
18,0.44,0.43,0.44,0.46
19,0.44,0.5,0.44,0.46
20,0.44,0.44,0.44,0.46
21,0.44,0.5,0.44,0.48
22,0.44,0.5,0.44,0.48
23,0.44,0.43,0.44,0.48
24,0.44,0.42,0.44,0.45
25,0.44,0.5,0.44,0.45
26,0.44,0.51,0.44,0.48
27,0.44,0.51,0.44,0.51
28,0.44,0.51,0.44,0.51
29,0.44,0.51,0.44,0.51
30,0.44,0.5,0.44,0.51
31,0.44,0.48,0.44,0.5
32,0.44,0.51,0.44,0.5
33,0.44,0.5,0.44,0.5
34,0.44,0.42,0.44,0.48
35,0.44,0.5,0.44,0.47
36,0.44,0.5,0.44,0.47
37,0.44,0.43,0.44,0.48
38,0.44,0.42,0.44,0.45
39,0.44,0.42,0.44,0.42
40,0.44,0.42,0.44,0.42
41,0.44,0.42,0.44,0.42
42,0.44,0.42,0.44,0.42
43,0.44,0.5,0.44,0.45
44,0.44,0.44,0.44,0.45
45,0.44,0.5,0.44,0.48
46,0.44,0.44,0.44,0.46
47,0.44,0.42,0.44,0.45
48,0.44,0.5,0.44,0.45
49,0.44,0.5,0.44,0.47
50,0.44,0.43,0.44,0.48
