run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.67,1.81,,
2,1.68,1.88,,
3,1.69,1.53,1.68,1.74
4,1.66,1.78,1.68,1.73
5,1.69,1.41,1.68,1.57
6,1.65,1.6,1.67,1.6
7,1.69,1.87,1.68,1.63
8,1.67,1.84,1.67,1.77
9,1.67,1.78,1.68,1.83
10,1.69,1.41,1.68,1.68
11,1.66,1.68,1.67,1.62
12,1.66,1.77,1.67,1.62
13,1.69,1.5,1.67,1.65
14,1.69,1.44,1.68,1.57
15,1.67,1.68,1.68,1.54
16,1.68,1.87,1.68,1.66
17,1.63,1.57,1.66,1.71
18,1.65,1.64,1.65,1.69
19,1.69,1.41,1.66,1.54
20,1.67,1.86,1.67,1.64
21,1.68,1.84,1.68,1.7
22,1.68,1.95,1.68,1.88
23,1.68,1.88,1.68,1.89
24,1.65,1.43,1.67,1.75
25,1.69,1.74,1.67,1.68
26,1.65,1.7,1.66,1.62
27,1.69,1.76,1.68,1.73
28,1.69,1.86,1.68,1.77
29,1.69,1.97,1.69,1.86
30,1.65,1.43,1.68,1.75
31,1.67,1.8,1.67,1.73
32,1.66,1.75,1.66,1.66
33,1.67,1.71,1.67,1.75
34,1.69,1.41,1.67,1.62
35,1.69,1.41,1.68,1.51
36,1.69,1.43,1.69,1.42
37,1.67,1.67,1.68,1.5
38,1.67,1.72,1.68,1.61
39,1.67,1.85,1.67,1.75
40,1.69,1.42,1.68,1.66
41,1.69,1.46,1.68,1.58
42,1.66,1.75,1.68,1.54
43,1.69,1.47,1.68,1.56
44,1.69,1.59,1.68,1.6
45,1.69,1.41,1.69,1.49
46,1.65,1.45,1.68,1.48
47,1.65,1.65,1.66,1.5
48,1.64,1.58,1.65,1.56
49,1.69,1.46,1.66,1.56
50,1.69,1.41,1.67,1.48
