run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.63,1.58,,
2,1.65,1.66,,
3,1.69,1.41,1.66,1.55
4,1.69,1.69,1.68,1.59
5,1.64,1.43,1.67,1.51
6,1.63,1.41,1.65,1.51
7,1.67,1.41,1.65,1.42
8,1.65,1.41,1.65,1.41
9,1.69,1.65,1.67,1.49
10,1.65,1.41,1.66,1.49
11,1.67,1.51,1.67,1.52
12,1.69,1.41,1.67,1.44
13,1.68,1.71,1.68,1.54
14,1.63,1.41,1.67,1.51
15,1.68,1.69,1.66,1.6
16,1.69,1.41,1.67,1.5
17,1.68,1.95,1.68,1.68
18,1.66,1.67,1.68,1.68
19,1.69,1.72,1.68,1.78
20,1.69,1.5,1.68,1.63
21,1.69,1.6,1.69,1.61
22,1.65,1.41,1.68,1.5
23,1.69,1.52,1.68,1.51
24,1.67,1.71,1.67,1.55
25,1.69,1.76,1.68,1.66
26,1.66,1.68,1.67,1.72
27,1.65,1.64,1.67,1.69
28,1.67,1.78,1.66,1.7
29,1.69,1.46,1.67,1.63
30,1.69,1.99,1.68,1.74
31,1.64,1.51,1.67,1.65
32,1.66,1.53,1.66,1.68
33,1.67,1.66,1.66,1.57
34,1.64,1.54,1.66,1.58
35,1.68,1.81,1.66,1.67
36,1.61,1.41,1.64,1.59
37,1.69,1.79,1.66,1.67
38,1.67,1.77,1.66,1.66
39,1.63,1.41,1.66,1.66
40,1.67,1.41,1.66,1.53
41,1.66,1.69,1.65,1.5
42,1.63,1.55,1.65,1.55
43,1.65,1.44,1.65,1.56
44,1.65,1.41,1.64,1.47
45,1.62,1.53,1.64,1.46
46,1.69,1.41,1.65,1.45
47,1.67,1.72,1.66,1.55
48,1.65,1.41,1.67,1.51
49,1.68,1.91,1.67,1.68
50,1.69,1.74,1.67,1.69
