run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.14,1.03,,
2,1.13,1.19,,
3,1.11,0.96,1.13,1.06
4,1.11,1.01,1.12,1.05
5,1.14,0.96,1.12,0.98
6,1.1,0.96,1.12,0.98
7,1.1,0.98,1.11,0.97
8,1.14,1.29,1.11,1.08
9,1.14,1.24,1.13,1.17
10,1.14,1.22,1.14,1.25
11,1.11,1.17,1.13,1.21
12,1.14,1.22,1.13,1.2
13,1.14,1.18,1.13,1.19
14,1.14,1.27,1.14,1.22
15,1.11,1.1,1.13,1.18
16,1.11,1.05,1.12,1.14
17,1.1,0.96,1.11,1.04
18,1.13,1.2,1.11,1.07
19,1.11,0.97,1.11,1.04
20,1.14,1.13,1.13,1.1
21,1.11,1.11,1.12,1.07
22,1.13,1.2,1.13,1.15
23,1.11,0.96,1.12,1.09
24,1.13,0.96,1.12,1.04
25,1.14,1.12,1.13,1.01
26,1.14,1.01,1.14,1.03
27,1.14,1.13,1.14,1.09
28,1.11,1.01,1.13,1.05
29,1.14,1.29,1.13,1.14
30,1.14,1.12,1.13,1.14
31,1.12,1.11,1.13,1.17
32,1.14,1.1,1.13,1.11
33,1.14,1.29,1.13,1.17
34,1.11,1.16,1.13,1.18
35,1.14,0.97,1.13,1.14
36,1.12,1.03,1.12,1.05
37,1.14,1.25,1.13,1.08
38,1.12,1.12,1.13,1.13
39,1.14,1.29,1.13,1.22
40,1.13,0.96,1.13,1.12
41,1.13,1.18,1.13,1.14
42,1.14,1.13,1.13,1.09
43,1.14,0.96,1.14,1.09
44,1.14,1.25,1.14,1.11
45,1.11,1.21,1.13,1.14
46,1.13,1.2,1.13,1.22
47,1.14,1.22,1.13,1.21
48,1.14,1.12,1.14,1.18
49,1.14,1.14,1.14,1.16
50,1.14,1.1,1.14,1.12
