run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.11,1.08,,
2,1.12,1.11,,
3,1.14,1.29,1.12,1.16
4,1.14,1.06,1.13,1.15
5,1.14,1.1,1.14,1.15
6,1.14,1.19,1.14,1.12
7,1.14,1.15,1.14,1.15
8,1.12,1.14,1.13,1.16
9,1.14,1.03,1.13,1.11
10,1.13,1.17,1.13,1.11
11,1.12,0.99,1.13,1.06
12,1.13,1.23,1.13,1.13
13,1.14,1.28,1.13,1.17
14,1.14,1.13,1.14,1.21
15,1.15,1.13,1.14,1.18
16,1.13,1.16,1.14,1.14
17,1.13,1.04,1.14,1.11
18,1.14,1.29,1.13,1.16
19,1.14,1.15,1.14,1.16
20,1.14,1.19,1.14,1.21
21,1.13,1.18,1.14,1.17
22,1.14,0.97,1.14,1.11
23,1.1,0.96,1.12,1.04
24,1.14,1.29,1.13,1.07
25,1.14,1.23,1.13,1.16
26,1.12,1.16,1.13,1.23
27,1.14,1.18,1.13,1.19
28,1.14,1.24,1.13,1.19
29,1.14,1.1,1.14,1.17
30,1.14,1.26,1.14,1.2
31,1.14,1.06,1.14,1.14
32,1.14,1.13,1.14,1.15
33,1.14,1.13,1.14,1.11
34,1.11,1.09,1.13,1.12
35,1.14,1.11,1.13,1.11
36,1.14,1.28,1.13,1.16
37,1.09,0.98,1.12,1.12
38,1.1,1.02,1.11,1.09
39,1.14,1.26,1.11,1.09
40,1.14,1.03,1.13,1.1
41,1.11,1.11,1.13,1.13
42,1.12,1.12,1.12,1.09
43,1.14,1.2,1.12,1.14
44,1.11,1.06,1.12,1.13
45,1.12,1.04,1.12,1.1
46,1.14,1.24,1.12,1.11
47,1.12,1.01,1.13,1.1
48,1.14,1.07,1.13,1.11
49,1.14,1.07,1.13,1.05
50,1.13,1.21,1.14,1.12
