run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.14,1.13,,
2,1.14,1.13,,
3,1.14,1.13,1.14,1.13
4,1.14,1.14,1.14,1.13
5,1.14,1.14,1.14,1.14
6,1.14,1.13,1.14,1.14
7,1.14,1.13,1.14,1.13
8,1.14,1.13,1.14,1.13
9,1.14,1.12,1.14,1.13
10,1.14,1.14,1.14,1.13
11,1.14,1.13,1.14,1.13
12,1.14,1.13,1.14,1.13
13,1.14,1.14,1.14,1.13
14,1.14,1.14,1.14,1.14
15,1.14,1.14,1.14,1.14
16,1.14,1.13,1.14,1.14
17,1.14,1.13,1.14,1.13
18,1.14,1.13,1.14,1.13
19,1.14,1.14,1.14,1.13
20,1.14,1.14,1.14,1.14
21,1.14,1.14,1.14,1.14
22,1.14,1.14,1.14,1.14
23,1.14,1.13,1.14,1.14
24,1.14,1.13,1.14,1.13
25,1.14,1.11,1.14,1.12
26,1.14,1.13,1.14,1.12
27,1.14,1.12,1.14,1.12
28,1.14,1.13,1.14,1.13
29,1.14,1.12,1.14,1.12
30,1.14,1.13,1.14,1.13
31,1.14,1.13,1.14,1.13
32,1.14,1.13,1.14,1.13
33,1.14,1.14,1.14,1.13
34,1.14,1.14,1.14,1.14
35,1.14,1.14,1.14,1.14
36,1.14,1.13,1.14,1.14
37,1.14,1.12,1.14,1.13
38,1.14,1.14,1.14,1.13
39,1.14,1.13,1.14,1.13
40,1.14,1.13,1.14,1.13
41,1.14,1.13,1.14,1.13
42,1.14,1.14,1.14,1.13
43,1.14,1.14,1.14,1.14
44,1.14,1.13,1.14,1.14
45,1.14,1.13,1.14,1.13
46,1.14,1.13,1.14,1.13
47,1.14,1.13,1.14,1.13
48,1.14,1.14,1.14,1.13
49,1.14,1.12,1.14,1.13
50,1.14,1.14,1.14,1.13
