run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.14,1.12,,
2,1.14,1.12,,
3,1.14,1.12,1.14,1.12
4,1.14,1.12,1.14,1.12
5,1.14,1.12,1.14,1.12
6,1.14,1.12,1.14,1.12
7,1.14,1.12,1.14,1.12
8,1.14,1.12,1.14,1.12
9,1.14,1.11,1.14,1.12
10,1.14,1.12,1.14,1.12
11,1.14,1.12,1.14,1.12
12,1.14,1.12,1.14,1.12
13,1.14,1.12,1.14,1.12
14,1.14,1.12,1.14,1.12
15,1.14,1.11,1.14,1.12
16,1.14,1.12,1.14,1.12
17,1.14,1.12,1.14,1.12
18,1.14,1.12,1.14,1.12
19,1.14,1.13,1.14,1.12
20,1.14,1.13,1.14,1.13
21,1.14,1.12,1.14,1.13
22,1.14,1.12,1.14,1.12
23,1.14,1.13,1.14,1.12
24,1.14,1.12,1.14,1.12
25,1.14,1.12,1.14,1.12
26,1.14,1.12,1.14,1.12
27,1.14,1.12,1.14,1.12
28,1.14,1.12,1.14,1.12
29,1.14,1.12,1.14,1.12
30,1.14,1.12,1.14,1.12
31,1.14,1.12,1.14,1.12
32,1.14,1.12,1.14,1.12
33,1.14,1.12,1.14,1.12
34,1.14,1.13,1.14,1.12
35,1.14,1.13,1.14,1.13
36,1.14,1.12,1.14,1.13
37,1.14,1.12,1.14,1.12
38,1.14,1.12,1.14,1.12
39,1.14,1.13,1.14,1.12
40,1.14,1.13,1.14,1.13
41,1.14,1.12,1.14,1.13
42,1.14,1.12,1.14,1.12
43,1.14,1.12,1.14,1.12
44,1.14,1.12,1.14,1.12
45,1.14,1.12,1.14,1.12
46,1.14,1.12,1.14,1.12
47,1.14,1.12,1.14,1.12
48,1.14,1.12,1.14,1.12
49,1.14,1.12,1.14,1.12
50,1.14,1.13,1.14,1.12
