run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.06,1.1,,
2,1.09,1.07,,
3,1.04,1.06,1.06,1.08
4,1.06,1.02,1.06,1.05
5,1.09,1.06,1.06,1.05
6,1.11,1.12,1.09,1.07
7,1.05,1.05,1.08,1.08
8,1.02,1.05,1.06,1.07
9,1.06,1.06,1.04,1.05
10,1.04,1.05,1.04,1.05
11,1.06,1.0,1.05,1.04
12,1.1,1.05,1.07,1.03
13,1.03,1.06,1.06,1.04
14,1.06,1.09,1.06,1.07
15,1.02,1.1,1.04,1.08
16,1.04,1.05,1.04,1.08
17,1.05,1.05,1.04,1.07
18,1.06,1.05,1.05,1.05
19,1.03,1.03,1.05,1.04
20,1.09,1.05,1.06,1.04
21,1.11,1.09,1.08,1.06
22,1.04,1.07,1.08,1.07
23,1.06,1.05,1.07,1.07
24,1.07,1.06,1.06,1.06
25,1.09,1.1,1.07,1.07
26,1.13,1.06,1.1,1.07
27,1.09,1.06,1.1,1.07
28,1.03,1.03,1.08,1.05
29,1.09,1.1,1.07,1.06
30,1.06,1.1,1.06,1.08
31,1.04,1.05,1.06,1.08
32,1.1,1.07,1.07,1.07
33,1.09,1.04,1.08,1.05
34,1.03,1.01,1.07,1.04
35,1.07,1.05,1.06,1.03
36,1.04,1.09,1.05,1.05
37,1.05,1.06,1.05,1.07
38,1.06,1.06,1.05,1.07
39,1.04,1.07,1.05,1.06
40,1.04,1.07,1.05,1.07
41,1.05,1.04,1.04,1.06
42,1.05,1.05,1.05,1.05
43,1.09,1.06,1.06,1.05
44,1.07,1.04,1.07,1.05
45,1.05,1.02,1.07,1.04
46,1.07,1.05,1.06,1.04
47,1.06,1.09,1.06,1.05
48,1.06,1.05,1.06,1.06
49,1.05,1.05,1.06,1.06
50,1.04,1.07,1.05,1.06
