run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.43,0.43,,
2,0.44,0.43,,
3,0.43,0.43,0.43,0.43
4,0.43,0.44,0.43,0.43
5,0.43,0.43,0.43,0.43
6,0.43,0.44,0.43,0.44
7,0.43,0.43,0.43,0.43
8,0.43,0.44,0.43,0.44
9,0.42,0.44,0.43,0.44
10,0.43,0.43,0.43,0.44
11,0.42,0.44,0.42,0.44
12,0.43,0.43,0.43,0.43
13,0.42,0.43,0.42,0.43
14,0.42,0.43,0.42,0.43
15,0.44,0.43,0.43,0.43
16,0.43,0.43,0.43,0.43
17,0.43,0.44,0.43,0.43
18,0.43,0.43,0.43,0.43
19,0.43,0.44,0.43,0.44
20,0.44,0.44,0.43,0.44
21,0.43,0.43,0.43,0.44
22,0.43,0.44,0.43,0.44
23,0.43,0.43,0.43,0.43
24,0.43,0.42,0.43,0.43
25,0.43,0.42,0.43,0.42
26,0.44,0.44,0.43,0.43
27,0.43,0.43,0.43,0.43
28,0.43,0.43,0.43,0.43
29,0.43,0.43,0.43,0.43
30,0.42,0.43,0.43,0.43
31,0.43,0.43,0.43,0.43
32,0.44,0.43,0.43,0.43
33,0.43,0.43,0.43,0.43
34,0.43,0.43,0.43,0.43
35,0.43,0.43,0.43,0.43
36,0.44,0.44,0.43,0.43
37,0.42,0.44,0.43,0.44
38,0.43,0.43,0.43,0.44
39,0.44,0.43,0.43,0.43
40,0.42,0.44,0.43,0.43
41,0.43,0.42,0.43,0.43
42,0.44,0.45,0.43,0.44
43,0.42,0.43,0.43,0.43
44,0.44,0.43,0.43,0.44
45,0.42,0.43,0.43,0.43
46,0.43,0.43,0.43,0.43
47,0.42,0.44,0.42,0.43
48,0.42,0.44,0.42,0.44
49,0.45,0.43,0.43,0.44
50,0.44,0.43,0.44,0.43
