run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.05,1.06,,
2,1.1,1.09,,
3,1.05,1.07,1.07,1.07
4,1.06,1.07,1.07,1.08
5,1.06,1.1,1.06,1.08
6,1.04,1.01,1.05,1.06
7,1.05,1.05,1.05,1.05
8,1.06,1.07,1.05,1.04
9,1.06,1.09,1.06,1.07
10,1.05,1.06,1.06,1.07
11,1.04,1.07,1.05,1.07
12,1.09,1.01,1.06,1.05
13,1.07,1.07,1.07,1.05
14,1.03,1.04,1.06,1.04
15,1.03,1.05,1.04,1.05
16,1.1,1.07,1.05,1.05
17,1.05,1.05,1.06,1.06
18,1.06,1.06,1.07,1.06
19,1.05,1.06,1.05,1.06
20,1.05,1.04,1.05,1.05
21,1.03,1.03,1.04,1.04
22,1.07,1.09,1.05,1.05
23,1.05,1.06,1.05,1.06
24,1.03,1.09,1.05,1.08
25,1.05,1.06,1.04,1.07
26,1.05,1.06,1.04,1.07
27,1.07,1.02,1.06,1.05
28,1.11,1.07,1.08,1.05
29,1.03,1.07,1.07,1.05
30,1.06,1.05,1.07,1.06
31,1.06,1.09,1.05,1.07
32,1.04,1.05,1.05,1.06
33,1.07,1.09,1.06,1.08
34,1.1,1.05,1.07,1.06
35,1.05,1.04,1.07,1.06
36,1.06,1.04,1.07,1.04
37,1.11,1.04,1.07,1.04
38,1.07,1.07,1.08,1.05
39,1.05,1.09,1.08,1.07
40,1.07,1.07,1.06,1.08
41,1.1,1.06,1.07,1.07
42,1.07,1.06,1.08,1.06
43,1.07,1.07,1.08,1.06
44,1.05,1.11,1.06,1.08
45,1.09,1.07,1.07,1.08
46,1.09,1.14,1.08,1.11
47,1.1,1.04,1.09,1.08
48,1.13,1.1,1.11,1.09
49,1.07,1.06,1.1,1.07
50,1.03,1.04,1.08,1.07
