run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.61,1.53,,
2,1.55,1.67,,
3,1.53,1.53,1.56,1.58
4,1.65,1.55,1.58,1.58
5,1.57,1.59,1.58,1.56
6,1.51,1.59,1.58,1.58
7,1.55,1.53,1.54,1.57
8,1.61,1.61,1.56,1.58
9,1.57,1.51,1.58,1.55
10,1.63,1.55,1.6,1.56
11,1.57,1.59,1.59,1.55
12,1.65,1.61,1.62,1.58
13,1.59,1.65,1.6,1.62
14,1.61,1.57,1.62,1.61
15,1.57,1.57,1.59,1.6
16,1.59,1.61,1.59,1.58
17,1.65,1.55,1.6,1.58
18,1.57,1.53,1.6,1.56
19,1.59,1.53,1.6,1.54
20,1.59,1.57,1.58,1.54
21,1.61,1.59,1.6,1.56
22,1.55,1.55,1.58,1.57
23,1.69,1.61,1.62,1.58
24,1.61,1.53,1.62,1.56
25,1.53,1.61,1.61,1.58
26,1.59,1.51,1.58,1.55
27,1.59,1.53,1.57,1.55
28,1.57,1.55,1.58,1.53
29,1.55,1.55,1.57,1.54
30,1.61,1.47,1.58,1.52
31,1.55,1.53,1.57,1.52
32,1.55,1.61,1.57,1.54
33,1.59,1.55,1.56,1.56
34,1.53,1.49,1.56,1.55
35,1.55,1.55,1.56,1.53
36,1.57,1.57,1.55,1.54
37,1.57,1.49,1.56,1.54
38,1.53,1.53,1.56,1.53
39,1.63,1.57,1.58,1.53
40,1.59,1.55,1.58,1.55
41,1.61,1.61,1.61,1.58
42,1.49,1.57,1.56,1.58
43,1.57,1.57,1.56,1.58
44,1.57,1.55,1.54,1.56
45,1.59,1.57,1.58,1.56
46,1.59,1.59,1.58,1.57
47,1.59,1.55,1.59,1.57
48,1.61,1.55,1.6,1.56
49,1.61,1.53,1.6,1.54
50,1.61,1.53,1.61,1.54
