run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.59,1.55,,
2,1.49,1.53,,
3,1.57,1.57,1.55,1.55
4,1.63,1.59,1.56,1.56
5,1.59,1.57,1.6,1.58
6,1.53,1.59,1.58,1.58
7,1.57,1.55,1.56,1.57
8,1.53,1.57,1.54,1.57
9,1.59,1.57,1.56,1.56
10,1.61,1.59,1.58,1.58
11,1.63,1.63,1.61,1.6
12,1.61,1.61,1.62,1.61
13,1.61,1.63,1.62,1.62
14,1.61,1.65,1.61,1.63
15,1.55,1.53,1.59,1.6
16,1.55,1.55,1.57,1.58
17,1.61,1.57,1.57,1.55
18,1.61,1.63,1.59,1.58
19,1.55,1.55,1.59,1.58
20,1.59,1.49,1.58,1.56
21,1.57,1.53,1.57,1.52
22,1.53,1.59,1.56,1.54
23,1.57,1.59,1.56,1.57
24,1.49,1.65,1.53,1.61
25,1.55,1.59,1.54,1.61
26,1.63,1.57,1.56,1.6
27,1.57,1.67,1.58,1.61
28,1.63,1.57,1.61,1.6
29,1.63,1.55,1.61,1.6
30,1.61,1.57,1.62,1.56
31,1.55,1.59,1.6,1.57
32,1.57,1.61,1.58,1.59
33,1.53,1.57,1.55,1.59
34,1.53,1.59,1.54,1.59
35,1.55,1.63,1.54,1.6
36,1.59,1.53,1.56,1.58
37,1.59,1.55,1.58,1.57
38,1.51,1.57,1.56,1.55
39,1.59,1.55,1.56,1.56
40,1.57,1.55,1.56,1.56
41,1.59,1.57,1.58,1.56
42,1.69,1.57,1.62,1.56
43,1.57,1.61,1.62,1.58
44,1.55,1.55,1.6,1.58
45,1.59,1.55,1.57,1.57
46,1.53,1.57,1.56,1.56
47,1.53,1.55,1.55,1.56
48,1.61,1.55,1.56,1.56
49,1.67,1.61,1.6,1.57
50,1.55,1.61,1.61,1.59
